athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
at_9ea95d9be088,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Fr.,Fr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,Chartiers Valley,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_3d359ee71f12,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base,Base,So.,So,"Katy, Texas",Katy,TX,domestic,Tompkins,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_216dc0d1ee61,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Tumbler,Tumbler,Fr.,Fr,"Murfreesboro, Tenn.",Murfreesboro,TN,domestic,Homeschool,1,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_471664cb83a5,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Tumbler,Tumbler,So.,So,"Marietta, Ga.",Marietta,GA,domestic,Lassiter,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_83e1f5ef87c2,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Jr.,Jr,"Chesterfield, Mich.",Chesterfield,MI,domestic,Cardinal Mooney,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_f0ba52ad743e,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Fr.,Fr,"Canton, Ohio",Canton,OH,domestic,Walsh Jesuit,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_2614819e4e67,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base,Base,So.,So,"Charlotte, N.C.",Charlotte,NC,domestic,Mountain Island Charter,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_01908d242bf7,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Fr.,Fr,"West Des Moines, Iowa",West Des Moines,IA,domestic,Dowling Catholic,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_85cdb198c67c,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base,Base,Sr.,Sr,"Easton, Pa.",Easton,PA,domestic,Easton Area,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_03cd10bc1dca,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,So.,So,"Phillipsburg, N.J.",Phillipsburg,NJ,domestic,Phillipsburg,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
