athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bb_f43fde1a714e,Kayne,Braxton,,Indian Hills CC,6-0,72.0,175,175,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,RHP,Pitcher,Jr.,Jr,"Lawrence, KS",Lawrence,KS,domestic,Truman Highschool,0,https://cbubucs.com/sports/baseball/roster/2026
bb_b86025429eca,Jackson,Licata,,Cypress  College,6-0,72.0,170,170,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,SS,Infield,Sr.,Sr,"Orange, Calif.",Orange,CA,domestic,el modena high school,0,https://cbubucs.com/sports/baseball/roster/2026
bb_fe7fed1d051e,Lucas,Franz,,Grand Canyon University/Yavapai CC,5-11,71.0,170,170,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,C,Catcher,r-So.,So,"Phoenix, AZ",Phoenix,AZ,domestic,Brophy College Prep,1,https://cbubucs.com/sports/baseball/roster/2026
bb_1538b913d6bb,Thomas,Leiden,,Grambling State,6-1,73.0,,,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,LHP,Pitcher,Sr.,Sr,"Omaha, NE",Omaha,NE,domestic,Creighton Prep,1,https://cbubucs.com/sports/baseball/roster/2026
bb_3dd418cc30c4,Cayden,Freels,,Roanoke College,6-2,74.0,185,185,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,1B,Infield,Jr.,Jr,"Coral Springs, Fla.",Coral Springs,FL,domestic,Marjory Stoneman Douglas,0,https://cbubucs.com/sports/baseball/roster/2026
bb_23694879ee0c,Charlie,Wooten,,Lamar University,6-2,74.0,205,205,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,1B,Infield,Sr.,Sr,"Beaumont, Texas",Beaumont,TX,domestic,West Brook High School,0,https://cbubucs.com/sports/baseball/roster/2026
bb_d509aec15d0b,Ivan,Zambrano,,Florida Memorial,5-11,71.0,205,205,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,OF,Outfield,Sr.,Sr,"Maracaibo, Venezuela",Maracaibo,,international,Doral Academy,1,https://cbubucs.com/sports/baseball/roster/2026
bb_14d32fd5c893,Mikey,Rodriguez,,Mt. St.Mary's University/Herkimer CC,5-10,70.0,180,180,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,OF,Outfield,Sr.,Sr,"New York, NY",New York,NY,domestic,P27 Academy,1,https://cbubucs.com/sports/baseball/roster/2026
bb_3564a4ba617d,Brayden,Basey,,Trine University,5-9,69.0,190,190,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,2B,Infield,r-Jr.,Jr,"Shelbyville, Ind.",Shelbyville,IN,domestic,Shelbyville Highschool,0,https://cbubucs.com/sports/baseball/roster/2026
bb_7a99528d7aa9,Jack,Todd,,,6-4,76.0,280,280,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,RHP,Pitcher,Fr.,Fr,"Paris, TN",Paris,TN,domestic,Henry County Highschool,0,https://cbubucs.com/sports/baseball/roster/2026
bb_70b5bff9424e,Kade,Johnson,,Lake Michigan College,6-3,75.0,210,210,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,RHP,Pitcher,Jr.,Jr,"Muskegon, MI",Muskegon,MI,domestic,Montague Highschool,0,https://cbubucs.com/sports/baseball/roster/2026
bb_0e8ab92053c8,John,Decoste,,Grambling State University,6-3,75.0,215,215,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,RHP,Pitcher,Sr.,Sr,"Truro, Nova Scotia, Canada",Truro,,international,Cobequid Educational Centre,0,https://cbubucs.com/sports/baseball/roster/2026
bb_978ff2974477,Bennett,Musser,,Valparaiso University,6-2,74.0,195,195,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,RHP,Pitcher,So.,So,"Round Lake, Il",Round Lake,IL,domestic,Mundelein,0,https://cbubucs.com/sports/baseball/roster/2026
bb_274314be9500,Will,Gossett,,,6-1,73.0,200,200,baseball,2025-26,2026,D2,Men,Gulf South Conference,Christian Brothers,INF,Infield,Sr.,Sr,"Memphis, Tenn.",Memphis,TN,domestic,Christian Brothers High School,0,https://cbubucs.com/sports/baseball/roster/2026
