athlete_id,first_name,last_name,gp,gs,ab,r,h,doubles,triples,hr,rbi,tb,bb,so,sb,sb_att,avg,ip,era,w,l,sv,k,app
bb_89dd4ee01dc3,Hideki,Prather,52,52,204,48,68,17,1,14,46,129,26,40,5,8,0.333,,,,,,,
bb_86dbb6d096ac,Jett,Kenady,51,51,206,36,66,17,1,11,34,118,10,46,1,1,0.32,,,,,,,
bb_be2cb78d4111,Daniel,Murillo,53,53,218,33,69,10,2,11,45,116,12,32,9,12,0.317,,,,,,,
bb_f42a8c6a1313,Carl,Schmidt,48,47,179,20,50,10,0,9,15,87,14,57,0,3,0.279,,,,,,,
bb_bf21a0126dba,Cade,Campbell,55,55,211,28,56,9,0,6,22,83,17,46,4,5,0.265,,,,,,,
bb_2d872249047d,Ethan,Kodama,49,42,127,21,29,5,0,1,12,37,19,45,5,9,0.228,,,,,,,
bb_2252fde22185,Jacob,French,33,33,131,27,45,10,0,4,24,67,8,18,4,4,0.344,,,,,,,
bb_c378babcb6e6,Kevin,Jeon,8,8,29,4,8,2,0,2,8,16,4,7,2,2,0.276,,,,,,,
bb_c166a0830b96,Taichi,Nakao,15,8,31,2,7,2,0,0,2,9,4,9,1,1,0.226,,,,,,,
bb_2d1cb3c17f29,Lawson,Olmstead,38,36,128,16,28,3,0,6,18,49,17,57,0,0,0.219,,,,,,,
bb_4bc852ee3219,Jordy,Lopez,17,11,38,5,8,2,0,1,2,13,6,9,2,3,0.211,18.1,4.42,1,0,0,16,
bb_f0d22448a48f,Brady,Errecart,17,13,48,7,10,1,0,0,2,11,4,10,4,4,0.208,,,,,,,
bb_772aeeb58fc4,Joshua,Hanson,37,32,114,23,23,5,0,4,25,40,18,40,8,9,0.202,,,,,,,
bb_cf42f1003ead,Kalen,Applefield,16,10,40,6,8,0,0,0,2,8,5,13,0,0,0.2,,,,,,,
bb_0a5a39a0dab3,Gannon,Snyder,37,35,118,14,23,7,1,1,11,35,10,18,3,4,0.195,,,,,,,
bb_66fc86153d32,Tyler,Leroy,10,6,21,2,4,1,0,2,3,11,3,11,0,0,0.19,,,,,,,
bb_85cdc084a43a,Tristan,Head,6,0,8,0,1,0,0,0,0,1,0,1,0,0,0.125,,,,,,,
bb_cfe845540a86,Jackson,Norum,10,4,12,1,1,0,0,0,0,1,2,7,0,1,0.083,,,,,,,
bb_f5f4aaed424e,Gavin,Eddy,,,,,,,,,,,,,,,,84.2,2.87,6,3,0,94,
bb_25a0d44d0512,Oliver,de la Torre,,,,,,,,,,,,,,,,81.1,3.76,5,5,0,72,
bb_18eb2c1db40b,Ethan,Foley,,,,,,,,,,,,,,,,55.1,5.53,4,3,4,44,
bb_38feae273a43,Trent,Roach,,,,,,,,,,,,,,,,30.2,2.93,2,1,1,22,
bb_1db5a1903a86,Otto,Espinoza,,,,,,,,,,,,,,,,46.1,3.69,2,3,2,49,
bb_1f7b75a05bfa,Cole,Clark,,,,,,,,,,,,,,,,35.1,3.82,4,3,4,44,
bb_3454d8ee7874,Tanner,Grove,,,,,,,,,,,,,,,,17.2,4.08,1,0,0,18,
bb_0b7d76489f23,Cade,Colombara,,,,,,,,,,,,,,,,21.2,4.15,0,2,2,19,
bb_95769a8739d9,Ryan,Spalliero,,,,,,,,,,,,,,,,19.0,4.26,1,0,0,18,
bb_2b7e486e5134,Jett,Wright,,,,,,,,,,,,,,,,17.0,5.82,2,2,0,17,
bb_7bc5603e234b,Take,Kreis,,,,,,,,,,,,,,,,18.0,6.5,1,1,1,22,
bb_d2945cbbe519,Quinn,Larson,,,,,,,,,,,,,,,,20.0,7.65,0,1,0,23,
bb_c7df56e97846,JJ,Hollis,,,,,,,,,,,,,,,,4.1,8.31,0,0,0,3,
bb_8d85fc2e3cfe,Garrett,Mackowiak,,,,,,,,,,,,,,,,4.2,11.57,0,1,0,7,
bb_b4837c2dd60c,Duncan,Russell,,,,,,,,,,,,,,,,4.0,13.5,0,1,0,3,
bb_1ff43811804a,Owen,Hull,69,69,262,60,103,27,2,9,87,161,48,49,18,23,0.393,,,,,,,
bb_dd7d1e945838,Jake,Schaffner,68,68,270,85,96,19,8,6,50,149,45,32,26,29,0.356,,,,,,,
bb_ec270f3bb015,Erik,Paulsen,68,68,255,58,77,13,0,11,56,123,42,61,1,1,0.302,,,,,,,
bb_7a540cb6c25b,Gavin,Gallaher,69,69,289,79,84,14,3,12,64,140,41,57,8,9,0.291,,,,,,,
bb_6313ef17490e,Macon,Winslow,68,67,238,61,67,14,0,10,57,111,48,46,0,2,0.282,,,,,,,
bb_01a98220b239,Colin,Hynek,69,66,249,49,63,17,3,10,59,116,29,64,1,1,0.253,,,,,,,
bb_c90430727f77,Cooper,Nicholson,69,69,221,54,56,14,1,17,53,123,45,67,1,1,0.253,,,,,,,
bb_f9696ed15b5e,Carter,French,63,40,129,30,32,3,2,0,14,39,26,29,5,6,0.248,,,,,,,
bb_a0e41ad1df0d,Tyler,Howe,67,61,219,40,51,8,0,4,30,71,33,55,4,4,0.233,,,,,,,
bb_86d2d2cf03b2,Jadyn,Nunez,14,7,29,5,9,0,1,1,8,14,3,7,0,0,0.31,,,,,,,
bb_2bfefed2fe03,Rom,Kellis V,33,19,71,11,21,3,0,4,19,36,4,15,1,1,0.296,,,,,,,
bb_a56576257ce7,Perry,Hargett,14,3,11,6,3,1,0,0,2,4,1,1,0,1,0.273,,,,,,,
bb_684a215e3e4c,Michael,Maginnis,15,10,35,6,7,0,0,0,4,7,3,14,0,2,0.2,,,,,,,
bb_9ac366462718,Lee,Sowers,15,2,15,3,2,0,0,0,0,2,5,6,0,0,0.133,,,,,,,
bb_1d503a2d5d0a,Sawyer,Black,10,2,14,2,1,0,0,0,2,1,1,6,0,0,0.071,,,,,,,
bb_fb72eb5e6778,AJ,Terry,4,1,4,1,0,0,0,0,0,0,2,0,0,0,0.0,,,,,,,
bb_4e21a61c9a81,RJ,Hamilton,54,54,189,51,63,10,4,7,41,102,23,45,29,35,0.333,,,,,,,
bb_4c54b1de93e9,Matthew,Strand,47,47,174,35,55,9,2,14,45,110,22,51,15,15,0.316,,,,,,,
bb_f9659225c1d5,Kaden,Smith,45,45,174,32,50,9,1,13,48,100,15,48,2,3,0.287,,,,,,,
bb_c7d168ead07b,Jake,Lambdin,56,56,204,50,56,18,1,8,32,100,25,46,20,24,0.275,,,,,,,
bb_bcd13588bc15,Collin,Anderson,44,40,153,27,40,7,1,6,23,67,14,49,8,9,0.261,,,,,,,
bb_92303935d01e,Coltin,Quagliano,56,56,186,42,48,6,0,1,13,57,18,37,7,10,0.258,,,,,,,
bb_40fe9ef186cb,Michael,DiMartini,51,48,184,29,46,9,1,9,28,84,7,52,14,16,0.25,,,,,,,
bb_a701cd9710d2,Tyler,Albright,50,48,141,33,34,6,0,4,27,52,50,51,21,26,0.241,,,,,,,
bb_8f808ad6685f,Cider,Canon,14,14,42,18,19,1,1,6,21,40,13,8,9,10,0.452,,,,,,,
bb_098be0a4b5f2,Andrew,Bell,11,0,3,5,1,0,0,1,1,4,0,1,1,1,0.333,,,,,,,
bb_13c8f5244c41,Harley,Goodner,3,0,3,1,1,0,0,1,1,4,1,2,0,0,0.333,,,,,,,
bb_4fe97cfda3b2,Adam,Troch,23,4,22,6,6,0,1,0,4,8,5,8,7,8,0.273,,,,,,,
bb_3e7125fe5382,Bobby,Marsh,31,27,88,8,22,5,0,3,14,36,11,31,2,2,0.25,,,,,,,
bb_238e050617e4,Adin,Zorn,28,26,103,11,24,5,0,2,15,35,6,16,1,1,0.233,,,,,,,
bb_cabed74de54d,Ben,Petrone,9,4,18,3,4,1,0,0,3,5,1,5,1,2,0.222,,,,,,,
bb_f49552d8652e,Brooks,Perez,41,36,110,20,24,2,2,2,12,36,33,44,14,17,0.218,,,,,,,
