athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bbk_6dbf331728c1,Lili,Wilken,Chemistry,Trevecca Nazarene,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,G,Guard,Sr.,Sr,"Nolensville, Tenn.",Nolensville,TN,domestic,Page High School,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_77686e90a2be,Ava,McSwain,Exploratory Advising,Good Hope HS,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,G,Guard,Fr.,Fr,"Cullman, Ala.",Cullman,AL,domestic,Good Hope HS,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_04b4088d579a,Bella,White,Marketing,Baylor HS,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,G,Guard,Jr.,Jr,"Cleveland, Tenn.",Cleveland,TN,domestic,Baylor HS,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_401d4333a484,Mia,Hollingsworth,Secondary Education History,Jasper HS,5-9,69.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,G,Guard,So.,So,"Jasper, Ala.",Jasper,AL,domestic,Jasper HS,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_05da074339ad,Millie,Brown,Nursing,UNC Asheville,5-6,66.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,G,Guard,Sr.,Sr,"Nashville, Tenn.",Nashville,TN,domestic,Brentwood Academy,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_03b1d0585dad,Danika,Starr,Business Management,Northwest Nazarene,6-1,73.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,F,Forward,Jr.,Jr,"Pleasant Hill, Ore",Pleasant Hill,OR,domestic,Sheldon High School,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_e1f93c24e9f7,Ivey,Maddox,Secondary Education English Language Arts,Good Hope HS,5-11,71.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,G,Guard,So.,So,"Good Hope, Ala.",Good Hope,AL,domestic,Good Hope HS,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_dc814e8685d4,Paris,Opelt,Psychology,William & Jewell,6-0,72.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,F,Forward,So.,So,"Neillsville, Wis.",Neillsville,WI,domestic,William & Jewell,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_8b9e2b36b24e,Chloe,Siegel,Political Science,North Alabama,5-7,67.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,G,Guard,Jr.,Jr,"Tuscumbia, Ala.",Tuscumbia,AL,domestic,North Alabama,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_4ae5ec8194cc,Lindsay,Garner,Psychology,West Georgia,6-2,74.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,F,Forward,Jr.,Jr,"Lexington, S.C.",Lexington,SC,domestic,West Georgia,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_1946e5c5b23e,Grace,Lynch,Psychology,Johnson CC,6-1,73.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,F,Forward,Jr.,Jr,"Gurnee, Ill.",Gurnee,IL,domestic,Johnson CC,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_4e2327cd48a9,McKenzie,Percoski,Mechanical Engineering,Houston HS,6-1,73.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Alabama Huntsville,F,Forward,Fr.,Fr,"Germantown, TN",Germantown,TN,domestic,Houston HS,0,https://uahchargers.com/sports/womens-basketball/roster
bbk_12ea100537e7,Harmony,Sullivan,,,5-7,67.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G,Guard,Freshman,Fr,"Morristown, Tenn.",Morristown,TN,domestic,Morristown Hamblen East,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_dd7b4164a0e5,Karli,Haworth,,,5-5,65.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G,Guard,Junior,Jr,"Maryville, Tenn.",Maryville,TN,domestic,Alcoa,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_e49adb2b843e,Kali,McMahan,,,6-1,73.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,F,Forward,Senior,Sr,"Dandridge, Tenn.",Dandridge,TN,domestic,Jefferson County,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_6a5dcea29ea5,Madelyn,Ladd,,,5-10,70.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G,Guard,Junior,Jr,"Harriman, Tenn.",Harriman,TN,domestic,Webb School,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_51a7febc7294,Mattie,Nuckolls,,,6-0,72.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,F,Forward,Junior,Jr,"Chatsworth, Ga.",Chatsworth,GA,domestic,Murray County,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_31cbbe1fb765,Caroline,Hill,,,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G,Guard,Sophomore,So,"Kingsport, Tenn",Kingsport,TN,domestic,Dobbyns-Bennett,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_aee21d8fcf45,Delaney,Weddington,,,5-10,70.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,F,Forward,Freshman,Fr,"Morristown, Tenn.",Morristown,TN,domestic,Morristown Hamblen West,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_a28458ae21a1,Cybil,Penland,,,5-10,70.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G/F,Guard,Freshman,Fr,"Sevierville, Tenn.",Sevierville,TN,domestic,Sevier County,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_0a0f70ee0423,Emily,Gonzalez,,,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G,Guard,Senior,Sr,"Lenoir City, Tenn.",Lenoir City,TN,domestic,Bearden,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_70848f0cc315,Jennifer,Sullivan,,Previous College: Tennessee Tech,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G,Guard,Senior,Sr,"Knoxville, Tenn",Knoxville,TN,domestic,Bearden,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_09f5372d5349,Chloe,Heath,,,6-2,74.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,F,Forward,Freshman,Fr,"Maryville, Tenn.",Maryville,TN,domestic,Heritage,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_1d3d1bfee2ed,Keeleigh,Rogers,,,5-10,70.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,G,Guard,RS-Junior,Jr,"Knoxville, Tenn.",Knoxville,TN,domestic,Farragut,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_867e639551c1,Abigail,Johnson,,,5-10,70.0,,,basketball,2025-26,2025-26,D2,Women,South Atlantic Conference,Carson-Newman,F,Forward,RS-Sophomore,So,"Cookeville, Tenn.",Cookeville,TN,domestic,Upperman,0,https://cneagles.com/sports/w-baskbl/2025-26/roster
bbk_04e5d4a5d8ad,Darling,Harris,,Converse University,5-6,66.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G,Guard,Sr.,Sr,"El Paso, TX",El Paso,TX,domestic,El Dorado High School,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_fa9593c55f11,Mariah,Curley,,Lemoyne Owen College,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G,Guard,Gr.,Gr,"Oklahoma City, OK",Oklahoma City,OK,domestic,Epic Charter High School,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_a8e9c1d7aeea,Alice,Conrad,,Pellissippi Community College,5-7,67.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G,Guard,Jr.,Jr,"Arlon, Belgium",Arlon,,international,Winston Salem Christian School,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_d4be3999b4e1,Amani,Lipscomb,,,5-3,63.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G,Guard,So.,So,"Lakeland, Tenn.",Lakeland,TN,domestic,Houston,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_ddbcefe8ce92,DeAnna,Carrington,,,5-10,70.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G,Guard,Fr.,Fr,"Colchester, England",Colchester,,international,,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_e14eb9a076c0,Anastasija,Cernova,,Ranger College,5-11,71.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G/F,Guard,Jr.,Jr,"Jurmala, Latvia",Jurmala,,international,Jurmala High School,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_98e0bff61442,Mya,Bourget,,Cedarville University,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G,Guard,So.,So,"Edmonton, Alberta",Edmonton,,international,Jasper Place High School,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_39214993088d,Maria,Braga,,Pellissippi Community College,5-9,69.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G/F,Guard,Jr.,Jr,"Porto Velno, Brazil",Porto Velno,,international,,,https://cbubucs.com/sports/womens-basketball/roster
bbk_b61cdcab92aa,Taylor,Farrar,,,5-9,69.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G,Guard,So.,So,"Athens, Ala.",Athens,AL,domestic,Clements,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_7b6a38100d55,Hanne,Alvarez,,Western Texas Community College,5-10,70.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,G/F,Guard,Jr.,Jr,"Barcelona, Spain",Barcelona,,international,Lestonnac Barcelona,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_1361debe2eb0,Teuila,Faalogo,,Utah State Eastern College,5-11,71.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,F,Forward,Jr.,Jr,"Te Tai Tokerau, Aotearoa",Te Tai Tokerau,,international,Huanui College,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_70f43934e186,Emily,Sawyer,,Central Wyoming College,6-2,74.0,,,basketball,2025-26,2025-26,D2,Women,Gulf South Conference,Christian Brothers,C,Center,Jr.,Jr,"Evanston, Wyo.",Evanston,WY,domestic,Evanston,0,https://cbubucs.com/sports/womens-basketball/roster
bbk_ff48af0e7418,Ellie,Reynolds,Business,Oakton College,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,Rocky Mountain Athletic Conference,UC Colorado Springs,G,Guard,Sr.,Sr,"Kenosha, Wis.",Kenosha,WI,domestic,Westosha Central,0,https://gomountainlions.com/sports/womens-basketball/roster
bbk_8f5694cca8a2,Gia,Bradley,Exercise Science,Otero Junior College,5-8,68.0,,,basketball,2025-26,2025-26,D2,Women,Rocky Mountain Athletic Conference,UC Colorado Springs,G,Guard,Sr.,Sr,"Fort Worth, Texas",Fort Worth,TX,domestic,Chisholm Trail,0,https://gomountainlions.com/sports/womens-basketball/roster
