athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bw_84d05c26d57e,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Jr.,Jr,"Spring, Texas",Spring,TX,domestic,Oak Ridge HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_ba79cae93c9d,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,So.,So,"Zapopan, Mexico",Zapopan,,international,Western Institute,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_aea0ecaa8d4a,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Sr.,Sr,"Columbia, SC.",Columbia,SC,domestic,Ridge View HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_fcb69af53138,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,So.,So,"Jackson, La.",Jackson,LA,domestic,St. Joseph's Academy,1,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_8c08cfeb26ba,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,So.,So,"Harvest, Ala.",Harvest,AL,domestic,Sparkman HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_bc51f26acc27,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Sr.,Sr,"Palm Coast, Fla.",Palm Coast,FL,domestic,Flagler Palm Coast HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_2f15bf6a8754,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Sr.,Sr,"Niceville, Fla.",Niceville,FL,domestic,Niceville HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_22697ebf4f03,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Fr.,Fr,"Titusville, Fla.",Titusville,FL,domestic,Titusville HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_df8608fbf6d9,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Gr.,Gr,"Pinellas Park, Fla.",Pinellas Park,FL,domestic,Pinellas Park HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_5b0ffda14d7a,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Gr.,Gr,"Pensacola, Fla.",Pensacola,FL,domestic,Pensacola HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_0eacb6a65b02,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Fr.,Fr,"Penn Yan, N.Y.",Penn Yan,NY,domestic,Penn Yan Academy,1,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_a9dcc51d4fb4,bowling,2025-26,2025-26,D1,Women,Southwestern Athletic Conference,Alabama St.,,Bowler,So.,So,"Bowie, Md.",Bowie,MD,domestic,Bowie HS,0,https://bamastatesports.com/sports/womens-bowling/roster/2025-26
bw_98355a72582f,bowling,2025-26,2025-26,D1,Women,Southwestern Athletic Conference,Alabama St.,,Bowler,Fr.,Fr,"Queens, N.Y.",Queens,NY,domestic,Newtown HS,0,https://bamastatesports.com/sports/womens-bowling/roster/2025-26
bw_e266601f8ead,bowling,2025-26,2025-26,D1,Women,Southwestern Athletic Conference,Alabama St.,,Bowler,So.,So,"Lima, Ohio",Lima,OH,domestic,Shawnee HS,0,https://bamastatesports.com/sports/womens-bowling/roster/2025-26
bw_3450d3236df1,bowling,2025-26,2025-26,D1,Women,Southwestern Athletic Conference,Alabama St.,,Bowler,So.,So,"Canal Winchester, Ohio",Canal Winchester,OH,domestic,Groveport Maddison HS,0,https://bamastatesports.com/sports/womens-bowling/roster/2025-26
bw_9ad92176a2ec,bowling,2025-26,2025-26,D1,Women,Southwestern Athletic Conference,Alabama St.,,Bowler,Fr.,Fr,"Cincinnati, Ohio",Cincinnati,OH,domestic,Walnut Hills HS,0,https://bamastatesports.com/sports/womens-bowling/roster/2025-26
bw_0a2243e3664c,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,R-So.,So,"Louisville, Ky.",Louisville,KY,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_1ca698df1ce7,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,Fr.,Fr,"Pinellas Park, Fla.",Pinellas Park,FL,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_4f2b0b1c9390,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,Sr.,Sr,"Derby, Kan.",Derby,KS,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_a77e5cb55425,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,So.,So,"Arlington Heights, Ill.",Arlington Heights,IL,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_2f99497632a4,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,Sr.,Sr,"New Braunfels, Texas",New Braunfels,TX,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_114ed0fcc2cd,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,So.,So,"Laval, Quebec",Laval,,international,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_4ab8db80e602,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,So.,So,"Orlando, Fla.",Orlando,FL,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_fe8e82e7b0d2,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,R-Sr.,Sr,"Lindenhurst, Ill.",Lindenhurst,IL,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_d1289f2458c9,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,Jr.,Jr,"Joliet, Ill.",Joliet,IL,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_5c95e1a2dee0,bowling,2025-26,2025-26,D1,Women,Sun Belt Conference,Arkansas St.,,Bowler,Sr.,Sr,"New Era, Mich.",New Era,MI,domestic,,0,https://astateredwolves.com/sports/womens-bowling/roster/2025-26
bw_459e911a5b6e,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,"5'2""",Bowler,Fr.,Fr,"Worcester, Mass.",Worcester,MA,domestic,Attleboro,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_3882d0951c68,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,"5'2""",Bowler,Sr.,Sr,"Attleboro, Mass.",Attleboro,MA,domestic,Attleboro,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_6656a3f366ad,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,,Bowler,So.,So,"Frisco, TX.",Frisco,TX,domestic,Frisco,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_a625a424000b,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,,Bowler,Jr.,Jr,"New Millford, Conn.",New Millford,CT,domestic,New Millford,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_e71658aad13b,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,,Bowler,Jr.,Jr,"Staten Island, N.Y.",Staten Island,NY,domestic,Tottenville,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_228360144150,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,,Bowler,Fr.,Fr,"Freehold, NJ",Freehold,NJ,domestic,,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_f1c0917a84f7,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,,Bowler,So.,So,"Assonet, Mass.",Assonet,MA,domestic,Assonet,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_7fa772e3d478,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,,Bowler,Sr.,Sr,"Port Jefferson Station, N.Y.",Port Jefferson Station,NY,domestic,Comsewogue,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_ba927426014f,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,"5'9""",Bowler,Sr.,Sr,"Old Bridge, N.J.",Old Bridge,NJ,domestic,Old Bridge,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
bw_f49951c17f46,bowling,2025-26,2025-26,D1,Women,America East Conference,Bryant,"5'6""",Bowler,Sr.,Sr,"Rochester, N.Y.",Rochester,NY,domestic,Gates Chili,0,https://bryantbulldogs.com/sports/womens-bowling/roster/2025-26
