athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
xc_bd0a396e6f34,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Jr.,Jr,"Niwot, CO",Niwot,CO,domestic,Niwot High School,0,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_5df8d1d17fdd,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Sr.,Sr,"Palo Alto, CA",Palo Alto,CA,domestic,Palo Alto High School,0,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_be52918d98c4,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Gr.,Gr,"Fairfax, CA",Fairfax,CA,domestic,Archie Williams HS,0,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_06cac6826655,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Jr.,Jr,"Santa Rosa, CA",Santa Rosa,CA,domestic,Sonoma Academy,1,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_c439c75573dc,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Fr.,Fr,"St. Louis, MO",St. Louis,MO,domestic,John Burroughs High School,0,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_0d7d8b4935dd,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Sr.,Sr,"Greeley, CO",Greeley,CO,domestic,Frontier Academy,1,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_5126dfaaf7b4,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Fr.,Fr,"Portland, OR",Portland,OR,domestic,Central Catholic,0,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_9c7140983ade,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,So.,So,"Oakland, CA",Oakland,CA,domestic,College Preparatory School,1,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_ca08942c4a40,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,So.,So,"San Diego, CA",San Diego,CA,domestic,Canyon Crest Academy,1,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_a02acb10e309,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Fr.,Fr,"San Francisco, CA",San Francisco,CA,domestic,The Academy,1,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_2bff21adf5ba,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Jr.,Jr,"Denver, CO",Denver,CO,domestic,George Washington High School,0,https://sagehens.com/sports/mens-cross-country/roster/2025
xc_9920e2d5d750,cross_country,2025-26,2025,D3,Men,,Pomona-Pitzer,,Runner,Fr.,Fr,"Cambridge, MA",Cambridge,MA,domestic,Cambridge Rindge and Latin School,0,https://sagehens.com/sports/mens-cross-country/roster/2025
