athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
xc_b2ade6310200,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,So.,So,"Pleasant Prairie, WI",Pleasant Prairie,WI,domestic,Tremper High School,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_0d6ccb944448,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,Fr.,Fr,"Oak Forest, IL",Oak Forest,IL,domestic,Oak Forest,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_33ad41249d5d,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,Jr.,Jr,"Cicero, IL",Cicero,IL,domestic,Morton East High School,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_4f5e07cdc348,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,Sr.,Sr,"Bensenville, Ill",Bensenville,IL,domestic,Fenton,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_b9f78236b640,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,So.,So,"Berwyn, IL",Berwyn,IL,domestic,Morton West,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_598f7f2542a4,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,Jr.,Jr,"Chicago, IL",Chicago,IL,domestic,Carl Schurz High School,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_092e00559d53,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,So.,So,"Cicero, IL",Cicero,IL,domestic,Morton East High School,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_201a75ecfe4a,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,Sr.,Sr,"Lame Deer, Mont",Lame Deer,MT,domestic,Saint Labre Indian Catholic,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_6647adfd38ff,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,So.,So,"Cicero, IL",Cicero,IL,domestic,Morton East,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_b95532f4e7b8,cross_country,2025-26,2025,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,,Runner,So.,So,"Berwyn, IL",Berwyn,IL,domestic,Morton West,0,https://dustars.com/sports/womens-cross-country/roster/2025
xc_17833092c071,cross_country,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,,Runner,So.,So,"Richmond, Va.",Richmond,VA,domestic,Mills E. Godwin,0,https://www.cnusports.com/sports/womens-cross-country/roster/2025
