athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
fen_c73842340f72,Josiah,Atkinson,,,5-11,71.0,151,151,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Foil Foil,Foil,Fr.,Fr,"Ann Arbor, Mich.",Ann Arbor,MI,domestic,Pioneer,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_2792d3ac755e,Hunter,Battisfore,,,5-11,71.0,210,210,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Sabre Sabre,Sabre,Sr.,Sr,"Hancock, Mich.",Hancock,MI,domestic,Houghton High School,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_c10ba73a72a8,Justin,Chenh,,,5-9,69.0,143,143,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Epee Epee,Épée,Fr.,Fr,"Falls Church, Va.",Falls Church,VA,domestic,Falls Church,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_87705df884f5,Connor,Desautels,,,5-8,68.0,143,143,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Sabre Sabre,Sabre,Fr.,Fr,"Redding, Conn.",Redding,CT,domestic,Joel Barlow,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_fee4a7ce91b4,Shuayb,Dinkins,,Celebration,5-10,70.0,156,156,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Epee Epee,Épée,Sr.,Sr,"Kissimmee, Fla.",Kissimmee,FL,domestic,Lincoln Park / Celebration,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_2b1e0b8d4add,Gabriel,Dumoulin,,,6-1,73.0,154,154,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Sabre Sabre,Sabre,Fr.,Fr,"Newtown, Conn.",Newtown,CT,domestic,Newtown,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_a07c601b61e4,Mahmoud,Elsayed,,,6-2,74.0,170,170,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Epee Epee,Épée,So.,So,"Tanta, Gharbia, Egypt",Tanta,,international,El Nasr Official Language School,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_b03450d9245b,Sam,Garrett,,,6-3,75.0,185,185,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Epee Epee,Épée,Sr.,Sr,"San Francisco, Calif.",San Francisco,CA,domestic,San Francisco School,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_38bab4e1f124,Mitchell,Gatrell,,,6-1,73.0,221,221,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Foil Foil,Foil,Sr.,Sr,"Livonia, Mich.",Livonia,MI,domestic,Churchill,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_a5e3f2eafcc4,Sam,Gneuhs,,,5-10,70.0,152,152,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Foil Foil,Foil,Jr.,Jr,"Mason, Ohio",Mason,OH,domestic,William Mason,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
fen_e2176cd3054d,Brendan,Goeddeke,,,6-1,73.0,130,130,fencing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Wayne State Michigan,Sabre Sabre,Sabre,So.,So,"Sterling Heights, Mich.",Sterling Heights,MI,domestic,Warren De La Salle,0,https://wsuathletics.com/sports/mens-fencing/roster/2025-26
