athlete_id,first_name,last_name,gp,gs,minutes,goals,assists,points,shots,sog,gwg,pk_goals,pk_att,yc,rc,gk_ga,gk_gaa,gk_saves,gk_sv_pct,gk_shutouts
fh_7a08a1c32f5c,Liz,Klompmaker,16,16,839,16,2,34,77,32,4,0,0,,,,,,,
fh_88f7c94a32ae,Olivia,Sharratt,16,15,826,6,3,15,10,7,1,1,1,,,,,,,
fh_a08f10b5185d,Holly,Pears,16,14,711,4,3,11,21,11,1,0,0,,,,,,,
fh_7c3f94ebdd99,Zara,Schmitz,16,12,570,3,4,10,14,7,1,0,0,,,,,,,
fh_c4364b0e6b21,Maya,Hoepfner,14,14,853,3,2,8,19,7,0,0,0,,,,,,,
fh_6757a6b5517c,Josefina,Moyano,16,6,706,2,4,8,13,4,0,0,0,,,,,,,
fh_d842dba64cf7,Lieve,Schalk,16,16,976,0,7,7,3,2,0,0,0,,,,,,,
fh_7c4aa1b00114,Agustina,Daud,16,16,882,1,3,5,7,1,0,0,0,,,,,,,
fh_3715ffb5008a,Victoria,Beiro,11,2,290,1,2,4,8,3,0,0,0,,,,,,,
fh_2d81fe6e7008,Morgan,Kallmann,15,2,432,1,2,4,8,4,0,0,0,,,,,,,
fh_6e0a910bea1b,Hannah,Ward,3,0,12,1,0,2,1,1,0,0,0,,,,,,,
fh_c5e4239754f2,Emma,Becker,16,16,891,0,1,1,0,0,0,0,0,,,,,,,
fh_a7de035ec238,Adya,Kadam,10,1,161,0,1,1,0,0,0,0,0,,,,,,,
fh_a3253a710e6f,Is,Panikowski,6,0,99,0,1,1,1,0,0,0,0,,,,,,,
fh_e09ea1f734d0,Delphine,Ayitey-Hammond,13,11,708,0,0,0,0,0,0,0,0,,,27,2.39,47,0.635,2
fh_c14e55d41fbf,Mia,DiGiulio,15,9,631,0,0,0,3,0,0,0,0,,,,,,,
fh_7ef1cbb47508,Elizabeth,Edmonston,2,0,64,0,0,0,0,0,0,0,0,,,,,,,
fh_450dd8e55881,Lauren,Halenkamp,2,1,75,0,0,0,0,0,0,0,0,,,7,7.0,8,0.533,0
fh_7f3e3346a983,Samantha,Imokawa,2,0,6,0,0,0,0,0,0,0,0,,,,,,,
fh_6202ed60275b,Tina,Jolly,3,2,120,0,0,0,0,0,0,0,0,,,3,2.0,2,0.4,1
fh_59b159a64a12,Jaiya,Labana,4,0,67,0,0,0,0,0,0,0,0,,,,,,,
fh_747a7a45e145,Jessica,Lewis,15,13,639,0,0,0,2,2,0,0,0,,,,,,,
fh_56325727b09f,Anika,Miedema,5,0,51,0,0,0,0,0,0,0,0,,,,,,,
fh_83b1cf367765,Audrey,Post,4,2,145,0,0,0,0,0,0,0,0,,,6,2.48,3,0.333,0
fh_625cf4f0e51e,Cassidy,Puleo,15,7,412,0,0,0,0,0,0,0,0,,,,,,,
fh_c7423d15ae9b,Samantha,Reder,1,0,15,0,0,0,0,0,0,0,0,,,,,,,
fh_027282156328,Ryleigh,Heck,23,23,1166,19,13,51,64,41,3,0,0,,,,,,,
fh_ef919101c83d,Dani,Mendez,23,23,1075,15,16,46,39,25,4,0,0,,,,,,,
fh_8afeef2ad236,Charly,Bruder,21,19,932,18,6,42,119,72,6,0,0,,,,,,,
fh_ab0360e1d7e7,Isabel,Boere,23,23,1303,9,8,26,79,43,3,0,0,,,,,,,
fh_714ecf8334d8,Sanne,Hak,23,23,1177,7,10,24,24,12,2,3,3,,,,,,,
fh_a05be05fbd08,Kara,Heck,23,4,699,8,5,21,31,19,1,0,0,,,,,,,
fh_fba875cdf729,Reese,Anetsberger,23,23,1095,5,9,19,27,14,1,0,0,,,,,,,
fh_55d33be3355b,Eliza,Perrin,21,0,530,3,1,7,6,5,0,0,0,,,,,,,
fh_77003fc45ad3,Sietske,Brüning,18,17,880,0,6,6,5,1,0,0,0,,,,,,,
fh_42d786c6b9ed,Coco,Courtright,23,6,763,1,2,4,6,2,0,0,0,,,,,,,
fh_ab0f61c1d1d7,Ella,Barbacci,14,0,283,1,0,2,2,1,0,0,0,,,,,,,
fh_314fb8356751,Molly,Catchpole,23,23,1220,0,1,1,7,4,0,0,0,,,,,,,
fh_00c2ab03332d,Sylvie,Notine,10,0,207,0,1,1,1,1,0,0,0,,,,,,,
fh_a74c76e24826,Olivia,Anderson,4,0,37,0,0,0,0,0,0,0,0,,,,,,,
fh_e9c07c3f2fc5,Caroline,Golden,5,0,37,0,0,0,0,0,0,0,0,,,,,,,
fh_b6484a7b4604,Hope,Haynes,23,23,1185,0,0,0,1,1,0,0,0,,,,,,,
fh_835cc280e1ea,Jenna,Narleski,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
fh_34456ba3010a,Grace,Pottebaum,23,23,1362,0,0,0,0,0,0,0,0,,,,,,,
fh_728a68e91fbd,Merritt,Skubisz,23,11,674,0,0,0,0,0,0,0,0,,,,,,,
fh_fb6a7c75c72a,Katie,Wimmer,23,12,867,0,0,0,0,0,0,0,0,,,,,,,
fh_6e4e94b7e580,Mia,Schoenbeck,20,20,1065,23,5,51,84,52,7,3,4,,,,,,,
fh_358ae39862b3,Lauren,Storey,15,15,743,14,6,34,79,49,2,1,1,,,,,,,
fh_3ed66c1b8543,Mia,Montag,18,18,1022,5,18,28,16,13,1,0,0,,,,,,,
fh_d73c9912a4c1,Sarah,Mudd,20,1,222,9,0,18,20,16,2,0,0,,,,,,,
fh_827e0c349abe,Faye,Janse,20,19,1025,6,2,14,52,27,1,0,1,,,,,,,
fh_32a805ab4b98,Amelia,Frey,20,10,377,4,0,8,14,12,0,0,0,,,,,,,
fh_ae3a1961432e,Logan,Marthinus,20,16,845,2,4,8,15,9,1,0,0,,,,,,,
fh_ddc951f0acd4,Lena,Keller,18,17,910,1,4,6,23,10,0,0,0,,,,,,,
fh_07af0dfc9364,Ava,Moore,20,20,1056,1,3,5,26,9,0,0,0,,,,,,,
fh_7337df9fb56a,Florence,Tuthill,20,13,706,0,5,5,2,1,0,0,0,,,,,,,
fh_f3564bc49858,Rory,Heslin,16,0,100,1,1,3,4,2,0,0,0,,,,,,,
fh_f345e9b5c2cf,Georgia,Pollock,20,1,186,0,3,3,9,2,0,0,0,,,,,,,
fh_7780ebe9a60a,Rachel,Thetford,19,2,242,0,3,3,13,8,0,0,0,,,,,,,
fh_14d03dee80a5,Lexi,Causa,12,0,120,1,0,2,1,1,0,0,0,,,,,,,
fh_1eabf0229484,Reabetswe,Phume,20,20,1123,0,1,1,2,1,0,0,0,,,,,,,
fh_9bd6b4c54031,Brooke,Bettencourt,19,14,727,0,0,0,10,4,0,0,0,,,,,,,
fh_31ac3b6c9223,Calista,Boos,2,0,0,0,0,0,1,0,0,0,0,,,,,,,
fh_e7ae1df1e52f,Ruby,Butterfield,9,1,100,0,0,0,0,0,0,0,0,,,,,,,
fh_9a968586cc66,Brenna,Campagna,18,0,122,0,0,0,4,2,0,0,0,,,,,,,
fh_90fc3a155a06,Allie,Campbell,19,5,255,0,0,0,0,0,0,0,0,,,,,,,
fh_66845f4ef4f0,Caroline,Grebe,7,0,0,0,0,0,0,0,0,0,0,,,,,,,
fh_31c6446d8c28,Penelope,Kousouris,6,0,13,0,0,0,0,0,0,0,0,,,,,,,
fh_e25a5721d549,Georgia,Leary,11,0,97,0,0,0,0,0,0,0,0,,,,,,,
fh_ab0e2db60626,Sarah,Grace Raynes,14,5,364,0,0,0,0,0,0,0,0,,,,,,,
fh_7d428d4a4f57,Ellie,Todd,19,19,1032,0,0,0,0,0,0,0,0,,,,,,,
fh_1276240583fa,Bo,van Kempen,20,20,1126,23,7,53,81,55,4,5,6,,,,,,,
fh_7be0bbd3be34,Pati,Strunk,20,20,1004,2,23,27,8,5,0,0,0,,,,,,,
fh_8e9b60a4b3d6,Hattie,Madden,20,20,977,9,1,19,32,22,1,0,0,,,,,,,
fh_9680339c8f63,Aubrey,Turner,20,20,942,7,4,18,32,18,3,0,0,,,,,,,
fh_d55a8f7cf17b,Lana,Hamilton,20,4,512,1,14,16,11,8,1,0,0,,,,,,,
fh_5b54a5cbd94a,Liz,Stange,17,15,682,2,9,13,17,10,1,0,0,,,,,,,
fh_4ba9e90961ca,Danique,Schuurman,20,20,1015,5,2,12,21,10,2,0,0,,,,,,,
fh_a83ab478a917,Ally,Snyder,20,0,330,4,0,8,9,7,1,0,0,,,,,,,
fh_2e23787bdea8,Lieke,Leeggangers,20,19,836,3,0,6,24,13,0,0,0,,,,,,,
fh_d3a1c1102b35,Karsin,Beatty,16,0,159,2,0,4,4,3,0,0,0,,,,,,,
fh_8b04e4166c31,Aiden,Drabick,20,19,942,0,3,3,12,7,0,0,0,,,,,,,
fh_69f35d842acf,Sammie,Goin,17,0,255,1,1,3,8,6,0,0,0,,,,,,,
fh_ddff1af2176d,Bo,Madden,20,20,947,0,2,2,6,3,0,0,0,,,,,,,
fh_ce33ddc50b6a,Henni,Nation,19,1,390,0,2,2,5,3,0,0,0,,,,,,,
fh_6656fed15fad,Taylor,Bigbie,20,1,599,0,0,0,17,6,0,0,0,,,,,,,
fh_c496717257d0,Jessie,Eiselin,20,19,742,0,0,0,0,0,0,0,0,,,,,,,
fh_4495f0fd3e4d,Phoebe,Hall,12,0,200,0,0,0,0,0,0,0,0,,,,,,,
fh_ded0c29e9d11,Tane,King,17,1,500,0,0,0,0,0,0,0,0,,,,,,,
fh_a4418c57a6f0,Lotti,Knights,20,20,941,0,0,0,1,1,0,0,0,,,,,,,
fh_3c1a32887ece,Carla,Mauer,1,0,16,0,0,0,0,0,0,0,0,,,,,,,
fh_0075c026779a,Grace,O'Connor,17,0,196,0,0,0,0,0,0,0,0,,,,,,,
fh_143e37dda10a,Catalina,Pravda,4,0,43,0,0,0,3,2,0,0,0,,,,,,,
fh_232b99f64497,Sarah,Smalley,13,0,84,0,0,0,3,2,0,0,0,,,,,,,
fh_c392fad8f918,Sophia,Lefranc,17,17,,7,8,22,44,32,2,0,0,,,,,,,
fh_839f448457f8,Alicia,Battistelli,19,6,,9,2,20,31,21,3,2,3,,,,,,,
fh_c114cf4d22ce,Consu,de Castro,19,19,,7,3,17,41,26,3,0,0,,,,,,,
fh_68b0a8cf1fbe,Veerle,Nijhuis,19,19,,7,2,16,39,24,0,1,1,,,,,,,
fh_0b9a133b0116,Maddie,Priestly,19,14,,5,2,12,20,14,1,0,0,,,,,,,
fh_bd1d92c7ba3f,Maddy,Weaver,19,18,,3,2,8,4,4,1,0,0,,,,,,,
fh_bb1c9f8a10ac,Addie,DelOrefice,19,17,,3,1,7,31,21,0,0,0,,,,,,,
fh_62409c95ef39,Mora,Fernandez de Oliveira,19,8,,0,5,5,9,5,0,0,0,,,,,,,
fh_16c764c35d54,Gabby,Santini,19,17,,2,1,5,12,3,0,0,0,,,,,,,
fh_e0f6f92db39e,Fiona,McMahon,19,19,,0,4,4,1,1,0,0,0,,,,,,,
fh_b721d741331d,Isi,McMahon,19,1,,1,0,2,6,2,0,0,0,,,,,,,
fh_93759a82c062,Klara,Mikulaskova,14,10,,0,2,2,10,5,0,0,0,,,,,,,
fh_db413697e617,Lara,Cleophas,19,13,,0,1,1,5,1,0,0,0,,,,,,,
fh_c86225f7c82b,Abby,Wilber,15,7,,0,1,1,6,2,0,0,0,,,,,,,
fh_36f5777bcd84,Gloria,Allen,7,0,,0,0,0,0,0,0,0,0,,,,,,,
fh_c94ec646f3d4,Maya,Bilanin,2,0,,0,0,0,0,0,0,0,0,,,,,,,
fh_49f915b71c89,Ila,Gunner,4,0,,0,0,0,0,0,0,0,0,,,3,2.4,2,0.4,0
fh_f1d97b4e6909,Ainsley,Hubbard,9,3,,0,0,0,0,0,0,0,0,,,,,,,
fh_a71fec56acdf,Kate,Stockwell,4,0,,0,0,0,0,0,0,0,0,,,,,,,
fh_71a9927995ff,Merle,Vaandrager,19,19,,0,0,0,0,0,0,0,0,,,27,1.44,85,0.759,4
fh_30a276ff6440,Emily,Weaver,13,0,,0,0,0,2,1,0,0,0,,,,,,,
fh_2e130cbb7ebb,Alaina,McVeigh,21,21,1086,15,9,39,68,42,4,1,3,,,,,,,
fh_3a747ccc2c05,Julia,Boehringer,21,21,1073,10,5,25,38,21,3,0,0,,,,,,,
fh_295f9d37d941,Madison,Beach,21,21,1164,3,12,18,20,12,1,0,0,,,,,,,
fh_e2f774c71c2a,Macy,Szukics,21,21,1274,3,6,12,35,11,1,0,0,,,,,,,
fh_d7bf06693bbc,Maggie,Kondrath,20,13,826,4,3,11,13,10,0,1,1,,,,,,,
fh_45c0b8abeb68,Ashley,Stockdale,21,21,1002,4,1,9,13,10,1,0,0,,,,,,,
fh_d395d942066a,Shae,Wozniak,14,7,391,4,1,9,11,7,0,0,0,,,,,,,
fh_fbb4264e8828,Sofia,Fidalgo Schioppa,12,10,487,2,0,4,5,3,1,0,0,,,,,,,
fh_3a039cd82b55,Kyle,Massey,21,0,385,1,1,3,12,8,0,0,0,,,,,,,
fh_9cb351dd62c1,Juliette,Schulten,21,21,1162,1,1,3,10,5,0,0,0,,,,,,,
fh_9a3f3f98a87f,Paige,Bitting,21,21,1268,0,2,2,2,1,0,0,0,,,,,,,
fh_0711e6c6df25,Issy,Carey,16,0,258,1,0,2,5,4,0,0,0,,,,,,,
fh_f0704fd43bcf,Reagan,Ciabattoni,6,0,53,1,0,2,1,1,0,0,0,,,,,,,
fh_93770951a0b1,Lily,Soldan,7,0,90,1,0,2,1,1,0,0,0,,,,,,,
fh_6544e7f9ca1c,Brynn,Crouse,21,0,468,0,1,1,9,5,0,0,0,,,,,,,
fh_b450480e75e1,Brooke,Borzymowski,3,0,17,0,0,0,0,0,0,0,0,,,,,,,
fh_72ea90172e1a,Stella,Bumgarner,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
fh_cd1b241879bb,Gracie,Butler,2,0,3,0,0,0,0,0,0,0,0,,,,,,,
