athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
fh_f958f99c1934,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,GK,Goalkeeper,So.,So,"Lancaster, Pa.",Lancaster,PA,domestic,Penn Manor,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_06c5b1736331,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F,Forward,Sr.,Sr,"Selbyville, Del.",Selbyville,DE,domestic,Indian River,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_885d6a3122e8,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F,Forward,RJr.,Jr,"Durban, South Africa",Durban,,international,St. Mary's DSG Kloof,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_3e23d8460325,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F,Forward,Fr.,Fr,"Easton, Pa.",Easton,PA,domestic,Easton,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_20463aafdd22,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,So.,So,"Palmyra, Pa.",Palmyra,PA,domestic,Palmyra Area,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_4f7479cbc98b,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,Sr.,Sr,"Myerstown, Pa.",Myerstown,PA,domestic,Eastern Lebanon County,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_cc862f4463fe,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F,Forward,Fr.,Fr,"Lancaster, Pa.",Lancaster,PA,domestic,Manheim Township,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_93bed3332488,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,Sr.,Sr,"Lewisberry, Pa.",Lewisberry,PA,domestic,Red Land,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_a41614959964,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,Jr.,Jr,"State College, Pa.",State College,PA,domestic,State College Area,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_0656f1a4fab3,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,So.,So,"Littlestown, Pa.",Littlestown,PA,domestic,Littlestown,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_2c7acf83fefc,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F/M,Multi,Gr.,Gr,"Harrisburg, Pa.",Harrisburg,PA,domestic,Susquehanna Twp.,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_f40f553b185d,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,Jr.,Jr,"Lititz, Pa.",Lititz,PA,domestic,Warwick,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_a9e7ea6bed84,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F,Forward,Jr.,Jr,"Johannesburg, South Africa",Johannesburg,,international,St. Andrews School,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_14031d3093ae,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,So.,So,"Hummelstown, Pa.",Hummelstown,PA,domestic,Lower Dauphin,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_23a04c528a5a,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,Jr.,Jr,"Feasterville, Pa.",Feasterville,PA,domestic,Neshaminy,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_9711062095af,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,Sr.,Sr,"Pocono Summit, Pa.",Pocono Summit,PA,domestic,Pocono Mountain East,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_ec902d0ba220,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,Jr.,Jr,"Lancaster, Pa.",Lancaster,PA,domestic,Conestoga Valley,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_feee6c9cd31b,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,RSo.,So,"Mars, Pa.",Mars,PA,domestic,North Allegheny,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_0e55bcb8d91a,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,Sr.,Sr,"Breinigsville, Pa.",Breinigsville,PA,domestic,Parkland,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_fa8ec465aa8e,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,Sr.,Sr,"Drums, Pa.",Drums,PA,domestic,Hazleton Area,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_4f7d87f359ab,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,Fr.,Fr,"Mechanicsburg, Pa.",Mechanicsburg,PA,domestic,Cumberland Valley,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_cef38a4daf12,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,Sr.,Sr,"Spotsylvania, Va.",Spotsylvania,VA,domestic,Courtland,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_b940c86a6591,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defender,RSr.,Sr,"West Chester, Pa.",West Chester,PA,domestic,Unionville,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_a5eca02c7bcf,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,So.,So,"Temecula, Calif.",Temecula,CA,domestic,Great Oak,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_97a6c1399105,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F,Forward,So.,So,"Vineland, N.J.",Vineland,NJ,domestic,Vineland,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_2f69469a5f78,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,GK,Goalkeeper,So.,So,"Malvern, Pa",Malvern,PA,domestic,Great Valley,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_395ee51eee64,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfielder,So.,So,"Elverson, Pa.",Elverson,PA,domestic,Twin Valley,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_221adcf6e530,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,F,Forward,Sr.,Sr,"East Stroudsburg, Pa.",East Stroudsburg,PA,domestic,Stroudsburg,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_6d3b1d93caee,field_hockey,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Millersville,GK,Goalkeeper,Sr.,Sr,"Marlton, N.J.",Marlton,NJ,domestic,Cherokee,0,https://millersvilleathletics.com/sports/field-hockey/roster/2025
fh_6964d6ee534a,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,F,Forward,Fr.,Fr,"Asheville, N.C.",Asheville,NC,domestic,Asheville HS,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_f47e3150a626,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,F,Forward,Fr.,Fr,"Monsheim, Germany",Monsheim,,international,Nelly-Sachs-IGS Horchheim,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_e1e5fd1f98b0,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,MF,Midfielder,Fr.,Fr,"Lusby, Md.",Lusby,MD,domestic,Patuxent HS,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_d969d475fb2f,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,D,Defender,Sr.,Sr,"Felton, Del.",Felton,DE,domestic,Smyrna HS,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_779444c23029,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,MF/F,Multi,Fr.,Fr,"Morgantown, Pa.",Morgantown,PA,domestic,Twin Valley HS,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_47ec125eae87,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,F/MF,Multi,So.,So,"Santa Rosa, Argentina",Santa Rosa,,international,Instituto Pampeano de Ensenanza Media,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_5ec82c4c5f6b,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,D/MF,Multi,So.,So,"Henrico, Va.",Henrico,VA,domestic,Mills E. Godwin HS,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_4e5fb3f9be1c,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,MF,Midfielder,Fr.,Fr,"Buenos Aires, Argentina",Buenos Aires,,international,Colegio Santa Ines,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_0638008d8c8c,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,D,Defender,Fr.,Fr,"Wilmington, Del.",Wilmington,DE,domestic,Padua Academy,1,https://govalkyries.com/sports/field-hockey/roster/2025
fh_4083a90ff3ba,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,MF,Midfielder,Fr.,Fr,"Benoni, South Africa",Benoni,,international,Kempton Park Hoerskool,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_ddac673198b4,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,MF,Midfielder,Jr.,Jr,"Fredericksburg, Va.",Fredericksburg,VA,domestic,James Monroe HS,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_07be9c2def82,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,D,Defender,So.,So,"Buenos Aires, Argentina",Buenos Aires,,international,Escuela Argentina General Belgrano,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_a458e7a76ad8,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,F/M/D,Multi,So.,So,"Leidschendam, Netherlands",Leidschendam,,international,Dalton Voorburg,0,https://govalkyries.com/sports/field-hockey/roster/2025
fh_aaf7695b7c11,field_hockey,2025-26,2025,D2,Women,Conference Carolinas,Converse,F,Forward,Fr.,Fr,"Buenos Aires, Argentina",Buenos Aires,,international,Instituto libre de Segunda Ensenanza,0,https://govalkyries.com/sports/field-hockey/roster/2025
