athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
glf_70b0c48f8a21,Claire,Green,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,So.,So,,,,unknown,"Okatie, S.C.",0,https://clemsontigers.com/sports/womens-golf/roster
glf_a6b808d8abe4,Caroline,Hawkins,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,Fr.,Fr,,,,unknown,"Columbia, S.C.",0,https://clemsontigers.com/sports/womens-golf/roster
glf_2a49c32befcc,Julia,Herzberg,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,Fr.,Fr,,,,unknown,"Gilbert, Ariz.",0,https://clemsontigers.com/sports/womens-golf/roster
glf_9d02c59224f5,Annika,Kohoutek,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,So.,So,,,,unknown,,0,https://clemsontigers.com/sports/womens-golf/roster
glf_a454a67ca86f,Nami,Luesattha,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,Jr.,Jr,,,,unknown,"Chonburi, Thailand",0,https://clemsontigers.com/sports/womens-golf/roster
glf_893a7772e406,Keya,Naik,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,So.,So,,,,unknown,"Ashburn, Va.",0,https://clemsontigers.com/sports/womens-golf/roster
glf_2d4bf73c6c1f,Ivy,Schulze,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,Sr.,Sr,,,,unknown,"Anderson, S.C.",0,https://clemsontigers.com/sports/womens-golf/roster
glf_9aebe4697149,Aitana,Tuesta,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,Jr.,Jr,,,,unknown,"Lima, Peru",0,https://clemsontigers.com/sports/womens-golf/roster
glf_1a658d0c3ff9,Sarah,Uebelhart,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Clemson,,Golfer,So.,So,,,,unknown,"Hünenberg See, Switzerland",0,https://clemsontigers.com/sports/womens-golf/roster
glf_167d880f52d4,Kayla,Bryant,,,,,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Florida St.,,Golfer,Fr.,Fr,"Boca Raton, Fla.",Boca Raton,FL,domestic,Florida Atlantic University High School,0,https://seminoles.com/sports/womens-golf/roster
glf_a88f787dba21,Haley,Davis,,,5-7,67.0,,,golf,2025-26,2026,D1,Women,Atlantic Coast Conference,Florida St.,,Golfer,So.,So,"Ocala, Fla.",Ocala,FL,domestic,Forest,0,https://seminoles.com/sports/womens-golf/roster
