athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
gym_eb0136c5d74e,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,FX. V,Event Specialist,Sr.,Sr,"Woodland, Calif.",Woodland,CA,domestic,South Sutter Charter School,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_88d97f2ec6bd,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,PH,Event Specialist,Sr.,Sr,"Fort Worth, Texas",Fort Worth,TX,domestic,Byron Nelson,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_9d77474edd1c,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,SR-HB,Event Specialist,Fr.,Fr,"New Oxford, Pa.",New Oxford,PA,domestic,New Oxford,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_3f83ff1ced4a,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"PH, SR",Event Specialist,Jr.,Jr,"Naugatuck, Conn.",Naugatuck,CT,domestic,Holy Cross,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_06808386a635,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, SR, V,",Event Specialist,Jr.,Jr,"Roswell, Ga.",Roswell,GA,domestic,Roswell,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_4e4019378168,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"PH, SR, V, PB, HB",Event Specialist,So.,So,"Houston, Texas",Houston,TX,domestic,Clear Lake,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_1c366d217c57,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, PH, SR, V, PB, HB",Event Specialist,So.,So,"Lubbock, Texas",Lubbock,TX,domestic,Frenship,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_b2e2f53ff466,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, PH, SR, V, PB, HB",Event Specialist,Fr.,Fr,"Buffalo Grove, Ill.",Buffalo Grove,IL,domestic,Adlai E Stevenson,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_994406fa3b5e,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, SR, PB, HB",Event Specialist,Sr.,Sr,"Buffalo Grove, Ill.",Buffalo Grove,IL,domestic,Adlai E Stevenson,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_db056948b36f,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,,UNK,Fr.,Fr,"Coppell, Texas",Coppell,TX,domestic,,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_7c077e9b2fa4,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"Sr, V, HB",Event Specialist,Sr.,Sr,"Hallandale, Fla.",Hallandale,FL,domestic,Florida Virtual School,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_0e75c0be653b,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"PH, SR, PB",Event Specialist,So.,So,"Elk Grove, Calif.",Elk Grove,CA,domestic,Elk Grove,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_9934f0bf2cae,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, PH, SR, V, HB",Event Specialist,Fr.,Fr,"Brookfield, Wis.",Brookfield,WI,domestic,Brookfield Academy,1,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_73cd06a7f8f4,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, PH, SR, V, PB, HB",Event Specialist,Fr.,Fr,"Fort Worth, Texas",Fort Worth,TX,domestic,Home School,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_56fc88c6befb,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, V, PB, HB",Event Specialist,Fr.,Fr,"Pilot Point, Texas",Pilot Point,TX,domestic,Denton Calvary Academy,1,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_62ee813d084f,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,PH,Event Specialist,Sr.,Sr,"Virginia Beach, Va.",Virginia Beach,VA,domestic,Western Branch,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_926040b0b535,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"PH, V, PB, HB",Event Specialist,So.,So,"Montclair, Va.",Montclair,VA,domestic,Osbourn Park Senior,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_d2255b17fbf1,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"FX, PH, SR, V, PB, HB",Event Specialist,Fr.,Fr,"Lenexa, Kan.",Lenexa,KS,domestic,Olathe Northwest,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_c214b2d84f5c,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,HB,Event Specialist,Sr.,Sr,"Glen Allen, Va.",Glen Allen,VA,domestic,Glen Allen,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_3a70fd563667,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,PH,Event Specialist,Jr.,Jr,"Roswell, Ga.",Roswell,GA,domestic,Roswell,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_fbe0c11dcdeb,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,"PH, HB",Event Specialist,Fr.,Fr,"Kernersville, N.C.",Kernersville,NC,domestic,East Forsyth,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_109721665931,gymnastics,2025-26,2025-26,D1,Men,Mountain West Conference,Air Force,PB,Event Specialist,Sr.,Sr,"Edmond, Okla.",Edmond,OK,domestic,Epic Charter Schools,0,https://goairforcefalcons.com/sports/mens-gymnastics/roster/2025-26
gym_2f0a68e47fe5,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Senior,Sr,"Lakewood, Colo.",Lakewood,CO,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_00a9481a6b80,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Sophomore,So,"Cypress, Texas",Cypress,TX,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_e37805ac9728,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Senior,Sr,"Cape Town, South Africa",Cape Town,,international,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_13b97a234bff,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Senior,Sr,"Plainfield, Ill.",Plainfield,IL,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_2afe1661b1cf,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Redshirt Sophomore,So,"Fayetteville, Ga.",Fayetteville,GA,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_8dd121190e61,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Sophomore,So,"Knoxville, Tenn.",Knoxville,TN,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_c357fee13400,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Junior,Jr,"Lawrence, Kan.",Lawrence,KS,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_c1add6e33a24,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Junior,Jr,"Knoxville, Tenn.",Knoxville,TN,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_bdc9c70663e2,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Junior,Jr,"Scottsdale, Ariz.",Scottsdale,AZ,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_89698b98398f,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Junior,Jr,"Bountiful, Utah",Bountiful,UT,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_b1857772b974,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Senior,Sr,"Huntington Beach, Calif.",Huntington Beach,CA,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_f7d1a3ff8dcf,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Arvada, Colo.",Arvada,CO,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_5dc9aeb7b2b2,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Chicago, Ill.",Chicago,IL,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_3ea1ef744fff,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Strongsville, Ohio",Strongsville,OH,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_7bf8c473d52b,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Knoxville, Tenn.",Knoxville,TN,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_29f8292cc8ea,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Aurora, Ontario",Aurora,,international,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_2d8ab4f60ea3,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Simi Valley, Calif.",Simi Valley,CA,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_48e2d286c463,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Morgan, Utah",Morgan,UT,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_b9b6f6a4c9a2,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Nebraska,All-Around,All-Around,Freshman,Fr,"Taylors, S.C.",Taylors,SC,domestic,,0,https://huskers.com/sports/mens-gymnastics/roster
gym_8c4fefb05d4d,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,Jr.,Jr,"Plano, Texas",Plano,TX,domestic,Laurel Springs,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_2efb05e99279,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,So.,So,"Las Vegas, Nev.",Las Vegas,NV,domestic,Foothill,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_972ac25f94a1,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,Sr.,Sr,"Rochester, N.Y.",Rochester,NY,domestic,Greece Athena,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_6858d68cc715,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,Fr.,Fr,"Powell, Ohio",Powell,OH,domestic,Olentangy Liberty H.S.,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_e26aead985f7,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,So.,So,"Lancaster, Ohio",Lancaster,OH,domestic,Lancaster,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_09c24cbe86c4,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,R-So.,So,"Johns Creek, Ga.",Johns Creek,GA,domestic,Northview,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_eb64011f1c52,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,Sr.,Sr,"Penfield, N.Y.",Penfield,NY,domestic,Penfield,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_be783aa315d5,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,Sr.,Sr,"Hooksett, N.H.",Hooksett,NH,domestic,Londonderry H.S.,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_29c454aa4256,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,R-Fr.,Fr,"Las Vegas, Nev.",Las Vegas,NV,domestic,Arbor View,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_d2da06573554,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,Sr.,Sr,"Salt Lake, Hawaii",Salt Lake,HI,domestic,Hawaii Technology Academy,1,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_6ad66a0fb12c,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,So.,So,"Nipomo, Calif.",Nipomo,CA,domestic,Arroyo Grande,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_ca86766d2385,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,AA,All-Around,Fr.,Fr,"Dayton, Ohio",Dayton,OH,domestic,Dayton Christian,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
gym_994eb5559029,gymnastics,2025-26,2025-26,D1,Men,Big Ten Conference,Ohio St.,"PH, PB",Event Specialist,R-So.,So,"Galloway, Ohio",Galloway,OH,domestic,Metro Early College,0,https://ohiostatebuckeyes.com/sports/mens-gymnastics/roster/2025-26
