athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
gym_ec1a9037bc30,Autumn,Adkins,Biology,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Uneven Bars, Floor Exercise VT, UB, FX",Event Specialist,Jr.,Jr,"Aledo, TX",Aledo,TX,domestic,Impact Athletics Training Center,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_5eb78f1a6348,Rory,Allan,Exercise Science and Psychology,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Balance Beam VT, BB",Event Specialist,Jr.,Jr,"Dubai, United Arab Emirates",Dubai,,international,Fly High,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_9ee51bcffde3,Emily,Baradic,Applied Kinesiology with Athletic Training,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Uneven Bars, Floor Exercise UB, FX",Event Specialist,Fr.,Fr,"Chandler, AZ",Chandler,AZ,domestic,Gold Medal Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_11389e9b0616,Shyann,Bootman,Psychology,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Balance Beam, Floor Exercise VT, BB, FX",Event Specialist,Fr.,Fr,East Greenbush,East Greenbush,NY,domestic,World,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_d5bc72df8010,Kyleigh,Brown,Business Economics,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Uneven Bars VT, UB",Event Specialist,Jr.,Jr,"Tunkhannock, PA",Tunkhannock,PA,domestic,Endless Mountains Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_bea59abf997b,Victoria,Cave,Exercise Science,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Balance Beam, Floor Exercise BB, FX",Event Specialist,Jr.,Jr,"Roanoke, VA",Roanoke,VA,domestic,Roanoke Academy,1,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_0bd3561c7084,Olivia,Chapman,Exercise Science,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,All-Around All-Around,All-Around,Fr.,Fr,Buffalo,Buffalo,NY,domestic,Stumpf's Gymnastics Center,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_e06c356dddf8,Anna,Lee Dobson,Coaching,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,All-Around All-Around,All-Around,So.,So,"Hueytown, AL",Hueytown,AL,domestic,JamJev Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_00f625c7e4ac,Rylee,Fishkin,Business Economics,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Balance Beam, Floor Exercise BB, FX",Event Specialist,Sr.,Sr,Manlius,Manlius,NY,domestic,CNY Gym Centre,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_78ea90209909,Marisa,Frascatore,Early Childhood Education,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Balance Beam, Floor Exercise VT, BB, FX",Event Specialist,Sr.,Sr,Clay,Clay,NY,domestic,CNY Gym Centre,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_34a98dc255e9,Taylor,Goldstein,Exercise Science,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Uneven Bars, Balance Beam UB, BB",Event Specialist,Jr.,Jr,Dix Hills,Dix Hills,NY,domestic,Apex Athletics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_93e7f18fa195,Tayah,Graham,Strength and Conditioning for Human Performance,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Balance Beam VT, BB",Event Specialist,So.,So,Syracuse,Syracuse,NY,domestic,Blaze Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_9027c842114f,Amy,Hamilton,Early Childhood Education,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Uneven Bars, Floor Exercise UB, FX",Event Specialist,Jr.,Jr,Buffalo,Buffalo,NY,domestic,Stumpf's Gymnastics Center,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_98488fe6c0be,Kathryn,McSweeney,Individualized Degree Program,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Uneven Bars, Floor Exercise UB, FX",Event Specialist,Jr.,Jr,"East Brunswick, NJ",East Brunswick,NJ,domestic,NJ Premier Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_2f4d70b667de,Samantha,Meadows,Musical Theater,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Balance Beam, Floor Exercise VT, BB, FX",Event Specialist,Jr.,Jr,"Cypress, TX",Cypress,TX,domestic,Cypress Academy,1,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_8cface32c8af,Gianna,Mirigliano,Criminology,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Balance Beam, Floor Exercise VT, BB, FX",Event Specialist,Sr.,Sr,"Springfield, PA",Springfield,PA,domestic,Roth's CrossPoint Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_cb84dabe106c,Anna,Ockerbloom,Physics and Engineering,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,All-Around All-Around,All-Around,Fr.,Fr,"Granby, CT",Granby,CT,domestic,"Gymnastics Training Center, CT",0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_4c3998d772ae,Alexa,Rose Pahila,Biomedical Sciences,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Uneven Bars, Balance Beam VT, UB, BB",Event Specialist,Jr.,Jr,"Greenville, SC",Greenville,SC,domestic,Acrosmith Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_6c4a22ed9740,Aria,Roberts,Biomedical Sciences,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,All-Around All-Around,All-Around,So.,So,"Charlotte, NC",Charlotte,NC,domestic,Everest Gymnastics,0,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
gym_cd88c82674a7,Tessa,Sutton,Childhood/Early Childhood Education,,,,,,gymnastics,2025-26,2025-26,D3,Women,Eastern College Athletic Conference (Men's Gymnastics),SUNY Cortland,"Vault, Balance Beam, Floor Exercise VT, BB, FX",Event Specialist,Sr.,Sr,Fairport,Fairport,NY,domestic,Rochester Gymnastics Academy,1,https://www.cortlandreddragons.com/sports/womens-gymnastics/roster/2025-26
