athlete_id,first_name,last_name,gp,goals,assists,points,plus_minus,minutes,goalie_ga,goalie_gaa,goalie_saves,goalie_sv_pct
ih_8ad730c9b4ff,Kristian,Kostadinski,34,0,3,3,4,1,,,,
ih_a710db6a581a,Teddy,Stiga,31,6,15,21,-3,7,,,,
ih_b2f553d050ff,Drew,Fortescue,36,4,10,14,3,16,,,,
ih_36d2bd7d7634,Will,Skahan,31,1,0,1,3,5,,,,
ih_636af53c6157,Lukas,Gustafsson,36,6,16,22,-3,15,,,,
ih_96dcd38f79f0,Oscar,Hemming,19,1,7,8,0,9,,,,
ih_bffb097d61eb,James,Hagens,34,23,24,47,10,12,,,,
ih_90b27105889a,Michael,Hagens,33,0,5,5,-4,3,,,,
ih_0c7799f4b863,Jake,Sondreal,36,7,14,21,7,6,,,,
ih_09bb67fa6471,Landan,Resendes,34,3,3,6,-2,12,,,,
ih_49f26b861e12,Oskar,Jellvik,9,2,1,3,-5,2,,,,
ih_17bd07ef0b96,Aram,Minnetian,36,2,9,11,15,14,,,,
ih_900f8a4d70f0,Paul,Davey,9,1,0,1,-2,2,,,,
ih_1c5db8c15a40,Brady,Berard,36,5,1,6,-2,7,,,,
ih_15e512013ec0,Will,Vote,36,10,11,21,4,0,,,,
ih_fcf697bcdbee,Will,Traeger,18,1,1,2,2,0,,,,
ih_38ccb0fd80c2,Andre,Gasseau,23,6,17,23,-2,6,,,,
ih_ded581563be3,Luka,Radivojevic,34,1,15,16,9,5,,,,
ih_2fd62d9c60ad,Nolan,Joyce,35,2,2,4,5,5,,,,
ih_e2e2c2714ab5,Timmy,Delay,1,0,0,0,0,0,,,,
ih_ea59e50b9edf,Dean,Letourneau,36,22,17,39,9,11,,,,
ih_edabc6bb67c4,Ryan,Conmy,35,9,18,27,-1,5,,,,
ih_5544bef4018f,Will,Moore,33,4,6,10,-6,0,,,,
ih_67db96feb061,Lukas,Peterson,34,3,9,12,11,3,,,,
ih_6239fba07d23,Brandon,Holt,35,6,26,32,12,4,,,,
ih_e998067151a5,Jeremy,Langlois,30,2,7,9,13,12,,,,
ih_83a8aff71332,Luke,Coughlin,10,0,2,2,0,0,,,,
ih_3f00f0429eba,Charlie,Russell,35,6,9,15,-1,16,,,,
ih_0d3142d47944,Owen,Fowler,34,12,10,22,18,9,,,,
ih_29d5ca8fe904,Sully,Scholle,35,7,11,18,13,12,,,,
ih_1a7a7765753b,Brandon,Chabrier,31,0,12,12,8,5,,,,
ih_ab96f205ff43,Loic,Usereau,29,2,5,7,1,3,,,,
ih_19dc41db6fc8,Simon,Motew,10,0,2,2,-1,2,,,,
ih_14e82af6d7b5,Josh,Nadeau,30,17,13,30,6,4,,,,
ih_f61ad8a2e210,Nick,Peluso,8,0,2,2,2,1,,,,
ih_c67cb1a99cc1,Will,Gerrior,35,5,4,9,0,4,,,,
ih_cde8dc019319,Grayson,Arnott,12,1,0,1,-1,1,,,,
ih_b12589515f34,Brock,James,17,1,2,3,-3,1,,,,
ih_84bf0398d091,Thomas,Freel,34,4,10,14,4,3,,,,
ih_5ba956816493,Max,Scott,29,5,13,18,5,8,,,,
ih_1196900ccd47,Anthony,Calafiore,13,0,0,0,-6,2,,,,
ih_50c0534f41b6,Thomas,Pichette,33,5,8,13,2,4,,,,
ih_d9e4b37541e7,Bodie,Nobes,15,0,1,1,-3,1,,,,
ih_dcf47b8bf6bc,Oskar,Komarov,32,4,3,7,0,6,,,,
ih_6ba816955255,Jaden,Lipinski,30,3,9,12,4,9,,,,
ih_437120f31058,Miguel,Marques,33,10,13,23,12,9,,,,
ih_055be979f3f8,Frank,Djurasevic,34,5,9,14,6,10,,,,
ih_54240ffd7211,Justin,Poirier,27,18,11,29,3,6,,,,
ih_307d2a32cb9e,Alex,Carr,35,2,5,7,-6,11,,,,
ih_cc78e545bc06,Ryan,Philbrick,35,4,4,8,-2,4,,,,
ih_5c8441586476,Zach,Hahn,3,0,0,0,0,0,,,,
ih_87ae69126ffc,Marty,Lavins,22,5,5,10,-6,4,,,,
ih_42c00b1af7e0,Ryan,MacPherson,30,2,2,4,-3,5,,,,
ih_e6abd7f1ae09,Reid,Conn,11,0,0,0,-2,2,,,,
ih_e06ffca937cd,Jack,Cronin,7,0,1,1,-3,1,,,,
ih_39dfd2d27dc1,Ronan,Walsh,14,0,0,0,0,6,,,,
ih_7c3f675d70f2,Connor,DeTurris,23,0,1,1,-7,1,,,,
ih_0213f9962450,Josh,Player,25,1,1,2,-6,1,,,,
ih_880406c84431,Oscar,Plandowski,29,0,2,2,-10,6,,,,
ih_e81dda0c1f86,J.P.,Turner,35,3,1,4,-9,6,,,,
ih_e249c1fee901,Kristaps,Skrastins,34,3,6,9,-5,6,,,,
ih_f91ac738379d,Brendan,Fitzgerald,35,2,15,17,-10,6,,,,
ih_91e96c656b67,Félix,Gagnon,32,5,7,12,-7,8,,,,
ih_991db40eef18,Jason,Siedem,31,0,3,3,-7,3,,,,
ih_9a3f0072c932,Morgan,Winters,33,11,11,22,-17,7,,,,
ih_a1e2c4293d42,Cy,LeClerc,34,4,11,15,-20,3,,,,
ih_4519f133bcef,Nick,Ring,35,9,12,21,-13,4,,,,
ih_532cd682a762,Sam,Oliver,32,2,8,10,-13,4,,,,
ih_612ba0a760dd,Cam,MacDonald,33,7,7,14,-12,7,,,,
ih_713e615970d3,Conner,de Haro,33,0,10,10,-11,3,,,,
ih_39f1fb2cc7aa,Jacob,Newcombe,35,8,6,14,-13,4,,,,
ih_a93f867a79b1,Nick,De Angelis,27,0,3,3,-9,3,,,,
ih_119abeeb1b5e,Daniel,Buchbinder,1,0,0,0,0,0,,,,
ih_a3b77dae92b9,Dominick,Rivelli,19,1,1,2,2,1,,,,
ih_9536a9e4968c,TJ,Schweighardt,35,4,13,17,-7,2,,,,
ih_2acb6ed9236a,Jay,Ahearn,35,13,6,19,-8,7,,,,
ih_4401cf25ff67,James,Johnson,4,0,0,0,0,1,,,,
ih_2624b7ca277b,Cole,Lonsdale,17,0,1,1,-4,3,,,,
ih_9740ac6d53e5,Jaiden,Moriello,9,1,0,1,-4,2,,,,
ih_a32422fba074,Jack,Collins,15,1,0,1,-3,1,,,,
ih_c0208a3e1602,Chris,Delaney,35,3,17,20,1,4,,,,
ih_b5df9cb4f2cb,Tnias,Mathurin,9,1,1,2,-1,2,,,,
ih_c1dc27b9181f,Luke,Shipley,33,2,10,12,-17,10,,,,
ih_dbf3d80b47cf,Nate,Misskey,35,4,6,10,-6,7,,,,
ih_6d30a5e92f43,Dalyn,Wakely,35,7,12,19,-16,12,,,,
ih_f0dfeb33a908,David,Adaszynski,28,2,4,6,-5,1,,,,
ih_23f8cef410c6,Mirko,Buttazzoni,24,4,9,13,-10,6,,,,
ih_611ce7a8440e,Sean,Kilcullen,34,3,6,9,-6,2,,,,
ih_01705bb9fef5,Dillan,Bentley,33,14,11,25,-7,3,,,,
ih_828a79140315,Libor,Nemec,35,3,12,15,-15,11,,,,
ih_a4c604ab0812,Connor,Eddy,32,3,5,8,3,13,,,,
ih_1e710906bd7a,Josh,Mori,35,4,8,12,-2,11,,,,
ih_ef073d35a884,Lee,Parks,35,6,8,14,-9,7,,,,
ih_83311fe7a1ff,Ryan,Kroll,10,0,0,0,-2,4,,,,
ih_0a03cba12025,Jacob,MacDonald,8,0,0,0,-1,3,,,,
