athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ih_bd8f7fdacf08,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,G,Goaltender,Sr.,Sr,"Franklin, Mass.",Franklin,MA,domestic,Williston Northampton School,0,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_21a272216f1e,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,Jr.,Jr,"Shrewsbury, Mass.",Shrewsbury,MA,domestic,Worcester Academy,1,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_1113f996adcc,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,D,Defense,Sr.,Sr,"Hanover, N.H.",Hanover,NH,domestic,Kimball Union Academy,1,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_90477197be49,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,So.,So,"Duxbury, Mass.",Duxbury,MA,domestic,Tabor Academy,1,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_d2920a3a5af1,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,Sr.,Sr,"Saint-Anicet, Quebec",Saint-Anicet,,international,Phillips Academy,1,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_48648f36c169,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,D,Defense,Sr.,Sr,"Glenview, Ill.",Glenview,IL,domestic,Loyola Academy,1,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_486acf2ff347,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,Jr.,Jr,"Santa Cruz, Calif.",Santa Cruz,CA,domestic,New Trier (Ill.),0,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_63b199935d31,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,Sr.,Sr,"Plymouth, Mass.",Plymouth,MA,domestic,Williston Northampton School,0,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_0d038fd79133,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,Fr.,Fr,"Foxborough, Mass.",Foxborough,MA,domestic,Noble & Greenough School,0,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_215d09355c17,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,So.,So,"Nantucket, Mass.",Nantucket,MA,domestic,Winchendon School,0,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
ih_87d905579ec4,ice_hockey,2025-26,2025-26,D3,Women,,Amherst,F,Forward,Fr.,Fr,"Toronto, Ontario",Toronto,,international,Toronto French School,0,https://athletics.amherst.edu/sports/womens-ice-hockey/roster/2025-26
