athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
lax_3e72c5b73c45,Charlie,Fritz,,,5-10,70.0,168,168,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Attack A,Attack,Jr.,Jr,"Holly, Mich.",Holly,MI,domestic,Powers Catholic,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_842a82dbbeda,Antonio,Hart,,,5-7,67.0,185,185,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Goalkeeper GK,Goalie,R-Jr.,Jr,"Rochester, Mich.",Rochester,MI,domestic,Rochester Adams,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_c2dce03692cf,Ayden,Graves,,,6-0,72.0,150,150,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Long Stick Midfielder LSM,Multi,So.,So,"Battle Creek, Mich.",Battle Creek,MI,domestic,Lakeview,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_527b8e28c20e,Will,Bjork,,,5-10,70.0,150,150,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Attack A,Attack,So.,So,"Rockford, Mich.",Rockford,MI,domestic,Rockford High School,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_c2407b74081f,Luke,Fritz,,Detroit Mercy,6-1,73.0,185,185,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Midfielder MF,Midfield,R-Jr.,Jr,"Holly, Mich.",Holly,MI,domestic,Flint Powers,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_260c05faa72a,Sean,Kuzma,,,5-10,70.0,180,180,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Defense/Midfielder D/MF,Multi,So.,So,"Rockford, Mich.",Rockford,MI,domestic,Rockford,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_4a081d310284,Nat,Keller,,Kalamazoo College,5-11,71.0,195,195,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Defense D,Defense,Jr.,Jr,"Saline, Mich.",Saline,MI,domestic,Saline,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_3db55dd234c4,Jayden,Ashley,,,5-9,69.0,180,180,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Attack A,Attack,Sr.,Sr,"Lawrenceville, N.Y.",Lawrenceville,NY,domestic,Brasher Falls Central,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_5a1831c2028a,Logan,Flaherty,,Detroit Mercy,6-1,73.0,225,225,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Midfielder MF,Midfield,Sr.,Sr,"Southfield, Mich.",Southfield,MI,domestic,Groves,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
lax_422613e288a1,Dylan,Fallon,,,5-10,70.0,190,190,lacrosse,2025-26,2026,D2,Men,Great Lakes Intercollegiate Athletic Conference,Davenport,Midfielder MF,Midfield,R-Jr.,Jr,"Howell, Mich.",Howell,MI,domestic,Hartland,0,https://dupanthers.com/sports/mens-lacrosse/roster/2026
