athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_eeb2a16f89ff,Benn,Johnston,16,16,43,8,51,156,77,1,40,15,5,,0,0,,,,,
lax_1d3d5bfd92d3,Max,Sloat,16,16,36,8,44,132,60,2,7,12,0,,0,0,,,,,
lax_f04152e21313,Michael,Ortlieb,16,16,25,18,43,54,36,0,20,18,0,,0,0,,,,,
lax_436a6787839c,Kyle,Colsey,15,12,32,11,43,104,59,1,20,23,3,,0,0,,,,,
lax_6b780ef441a0,Liam,Kershis,16,16,17,15,32,53,32,1,9,21,0,,0,0,,,,,
lax_a3d399bca5ed,Brady,Scioletti,16,15,24,7,31,85,50,2,10,7,0,,0,0,,,,,
lax_acd7b682e1c3,Thomas,Mencke,16,2,7,17,24,38,21,1,5,13,3,,0,0,,,,,
lax_758b14d2494a,Aidan,Maguire,16,0,5,7,12,12,8,0,40,4,17,,0,0,,,,,
lax_2bcde82d666a,Tomas,Delgado,13,0,5,4,9,20,10,0,7,6,0,,0,0,,,,,
lax_f0fc5b4efa96,Jack,Pappendick,15,3,6,2,8,27,20,0,7,5,1,,0,0,,,,,
lax_46c8501ef1cb,Owen,Gaffney,7,0,3,4,7,10,5,0,0,2,0,,0,0,,,,,
lax_f2c46b71cfd7,Mac,Christmas,16,0,4,3,7,19,11,0,28,9,13,,0,0,,,,,
lax_90920a986b60,Austin,Hicks,7,0,3,3,6,7,5,1,4,4,0,,0,0,,,,,
lax_b1da38f0f9eb,Colin,McLane,5,0,3,3,6,5,3,0,2,1,0,,0,0,,,,,
lax_016c82fdcae3,Anthony,Drago,14,0,1,4,5,18,8,0,4,8,5,,0,0,,,,,
lax_465806719539,Cal,Girard,16,0,4,1,5,8,5,0,113,7,1,,165,114,,,,,
lax_ded7b31dfbf6,Connor,Nolen,16,0,3,1,4,4,3,2,17,3,8,,0,0,,,,,
lax_c593c828dede,Luke,Warrington,14,0,0,2,2,1,0,0,9,6,3,,0,0,,,,,
lax_c46b89a2e309,Nikolas,Menendez,16,16,0,2,2,1,0,0,30,2,20,,0,0,,,,,
lax_6b65b9fef66c,Ben,McCarthy,14,0,1,1,2,2,2,0,34,4,0,,54,49,,,,,
lax_9c4bed405b14,Will,Pedicano,15,0,1,1,2,8,3,0,26,4,17,,0,0,,,,,
lax_1feae95f2ca4,Ian,Dykes,5,0,2,0,2,6,3,0,0,4,1,,0,0,,,,,
lax_bb6d28788355,Henry,Bard,16,16,0,1,1,0,0,0,23,5,18,,0,0,,,,,
lax_39365935a30f,Will,Tantillo,13,0,0,1,1,1,0,0,10,2,3,,0,0,,,,,
lax_d681028848bf,Sam,Blake,3,0,0,1,1,0,0,0,0,0,0,,0,0,,,,,
lax_cd2f82ae8abc,Luke,Engelke,12,0,1,0,1,2,2,0,13,2,0,,21,22,,,,,
lax_2a39bb1abd34,Charlie,Johnson,16,16,1,0,1,1,1,0,29,3,19,,0,0,,,,,
lax_ee6acde20a5e,Owen,Mears,12,0,1,0,1,5,3,0,6,2,0,,0,0,,,,,
lax_edddd33da751,Patrick,Jameison,13,11,0,0,0,0,0,0,17,2,5,,0,0,,,,,
lax_b50efdf11422,Jack,Kiefer,6,0,0,0,0,0,0,0,1,0,1,,0,0,,,,,
lax_ce1a67ba5134,Henry,Blake,6,0,0,0,0,0,0,0,2,0,0,,0,0,,,,,
lax_690ec9b91c77,Jackson,Spells,5,0,0,0,0,0,0,0,2,0,1,,0,0,,,,,
lax_5e9972aa61f7,Petey,Malitas,6,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_4018898e9f4c,Luke,Christmas,5,0,0,0,0,0,0,0,3,1,0,,0,0,,,,,
lax_415072f2869c,Preston,Whitehurst,4,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_5e31609f1b25,Zach,Jepson,14,0,0,0,0,1,0,0,6,0,2,,0,0,,,,,
lax_0790d5fae8d8,Buck,Cunningham,9,5,0,0,0,0,0,0,9,2,0,,0,0,,,,,
lax_4d10142e9a96,Axel,Blom,2,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_13c12c50a767,Matthew,Sardis,2,0,0,0,0,0,0,0,0,0,0,,0,1,,,,,
lax_25d197ca4298,Marcos,Ramos,2,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_61796c33cd5f,Brendan,Fulham,5,0,0,0,0,0,0,0,2,1,0,,0,0,,,,,
lax_de245bc31e23,Joey,Spallina,19,19,35,52,87,111,73,3,29,38,7,,0,0,,,,,
lax_b39f095c58e0,Michael,Leo,19,19,35,23,58,117,73,2,17,33,0,,0,0,,,,,
lax_9aee4d83944a,Finn,Thomson,19,19,45,13,58,104,62,4,20,28,4,,0,0,,,,,
lax_78176ccccd5d,Luke,Rhoa,19,19,32,13,45,123,59,2,13,13,1,,0,0,,,,,
lax_925dc36ae2a6,Payton,Anderson,18,17,24,15,39,67,47,0,17,15,1,,0,0,,,,,
lax_0e563340c84c,Wyatt,Hottle,19,14,20,12,32,60,35,1,17,13,2,,0,0,,,,,
lax_5a1ad9b59cb9,Bogue,Hahn,19,1,6,5,11,38,20,0,13,8,1,,0,0,,,,,
lax_d191e4b5c10d,Matt,McIntee,18,0,7,3,10,37,16,0,5,8,3,,0,0,,,,,
lax_f713ad88c08e,John,Mullen,19,0,6,2,8,20,12,1,151,15,4,,229,197,,,,,
lax_f1c0cdc2cae4,Tucker,Kellogg,12,0,5,2,7,16,11,0,0,2,1,,0,0,,,,,
lax_317e14c79fce,Greg,Elijah-Brown,17,0,6,1,7,11,9,0,1,0,0,,0,0,,,,,
lax_ebe866f2613b,Billy,Dwan III,19,19,7,0,7,19,9,0,34,9,16,,0,0,,,,,
lax_67d74df3a645,Tyler,McCarthy,19,6,3,2,5,18,5,0,19,6,5,,0,0,,,,,
lax_224a2bf531ba,Dante,Bowen,19,0,0,4,4,1,1,0,16,6,14,,0,0,,,,,
lax_e312c260313b,Chuck,Kuczynski,18,3,2,1,3,3,2,0,28,2,14,,0,0,,,,,
lax_61bc2e398164,Charlie,Kraftson,9,0,2,1,3,4,2,0,1,2,0,,0,0,,,,,
lax_688a13063294,Drew,Angelo,18,0,3,0,3,4,4,0,17,2,1,,37,45,,,,,
lax_9e318262a8b8,Ted,Rawson,19,0,3,0,3,10,4,0,3,1,0,,0,0,,,,,
lax_d14cf0abc625,Jayden,Kittelberger,19,0,0,2,2,3,0,0,11,5,5,,0,0,,,,,
lax_6b3a38b9728f,Jimmy,McCool,19,19,0,1,1,1,0,0,38,8,3,,0,0,,,,,
lax_680606d13bd3,Jake,Spallina,18,0,1,0,1,4,3,0,14,3,4,,0,0,,,,,
lax_d2946d49b013,Vincent,Bolognino,19,0,0,0,0,1,1,0,28,1,12,,0,0,,,,,
lax_a371e832f324,Riley,Figueiras,19,19,0,0,0,2,0,0,59,9,26,,0,0,,,,,
lax_d3f326d44af1,Harry,Behan,1,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_d5911c4abbec,John,Olenik,1,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,
lax_28f73148268e,Dillon,Stephens,3,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_72af458171c8,Louis,D'Agostino,8,0,0,0,0,0,0,0,2,0,0,,0,0,,,,,
lax_e27f2deb59f4,Jack,Schell,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_75acb3d72680,Jordan,Beck,19,16,0,0,0,0,0,0,19,1,8,,0,0,,,,,
lax_5f49dd6e6236,Dylan,Sageder,19,0,0,0,0,0,0,0,2,0,1,,0,0,,,,,
lax_5fc2c0c5882e,Brett,Spallina,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_7d0e7b74280d,Joe,Filardi,10,0,0,0,0,0,0,0,2,0,0,,0,0,,,,,
lax_377ccdde3688,Ryder,Ochoa,5,0,0,0,0,0,0,0,1,1,1,,0,0,,,,,
lax_e9dad66409aa,Jake,Meyer,1,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,
lax_645726850645,Michael,Ippoliti,2,0,0,0,0,0,0,0,1,1,0,,0,0,,,,,
lax_b5e2940a2727,Owen,Duffy,17,17,31,40,71,132,71,0,16,35,4,,0,0,,,,,
lax_93b770a4c5ca,Dominic,Pietramala,18,18,55,8,63,158,94,4,24,25,5,,0,0,,,,,
lax_b52cce74b646,Brevin,Wilson,18,18,27,9,36,80,49,2,36,16,3,,0,0,,,,,
lax_6a44948259db,Mason,Szewczyk,18,18,17,12,29,59,30,2,9,9,1,,0,0,,,,,
lax_b14772c12174,Anthony,Raio,18,0,18,8,26,72,39,1,14,15,1,,0,0,,,,,
lax_bd98aeab28c3,Gary,Merrill,18,0,7,11,18,43,23,1,6,6,0,,0,0,,,,,
lax_48767fc1f021,James,Matan,18,18,10,5,15,32,19,2,5,8,1,,0,0,,,,,
lax_d6c3c17a0450,Brady,Wambach,18,0,11,4,15,23,13,0,188,10,2,,291,152,,,,,
lax_f87481e9fe20,Luke,Bair,18,0,14,1,15,65,33,0,7,16,1,,0,0,,,,,
lax_c468f07b933b,Caden,Harshbarger,14,14,7,7,14,26,16,1,9,11,0,,0,0,,,,,
lax_91c57d3f8019,Luke,Macaluso,18,5,9,4,13,39,17,0,15,10,0,,0,0,,,,,
lax_2a93fd1c08af,Andrew,Preis,12,0,4,4,8,16,9,0,1,3,0,,0,0,,,,,
lax_6892411189be,Brock,Geraci,8,0,5,2,7,11,8,0,4,2,0,,0,0,,,,,
lax_3629ebe8d40c,Matt,Wrede,11,0,2,4,6,9,4,0,4,4,0,,0,0,,,,,
lax_6659ba7c7618,Peter,Thomann,18,4,4,2,6,11,5,0,50,4,23,,0,0,,,,,
lax_f86dc011cd9b,Ty,English,18,0,6,0,6,23,14,0,39,11,13,,0,0,,,,,
lax_0a67b2aa2d5a,Owen,Dixon,14,0,5,0,5,9,8,0,0,4,0,,0,0,,,,,
lax_0f1e720c6958,Parker,Hoffman,18,0,4,0,4,14,9,0,21,7,0,,2,3,,,,,
lax_a370f27f765d,Alec,Levy,3,0,2,1,3,3,2,0,0,2,0,,0,0,,,,,
lax_37c0d791d430,Tayden,Bultman,7,0,2,1,3,3,2,0,0,0,0,,0,0,,,,,
lax_fd63e2fe7193,Leif,Hagerup,18,0,2,1,3,5,3,0,13,5,11,,0,0,,,,,
lax_9a41e7400c8f,Chase,Cellucci,15,14,1,1,2,3,3,0,26,4,12,,0,0,,,,,
lax_9009dfa253dc,Caswell,Friedman,17,0,2,0,2,3,3,0,10,4,4,,0,0,,,,,
lax_2eb5da32a489,Nate,Sage,9,0,2,0,2,5,4,0,0,2,0,,0,0,,,,,
lax_0e1d04c09402,Parker,McDonald,17,0,0,1,1,5,4,0,31,8,14,,0,0,,,,,
lax_8155b73426bf,Cole,Aasheim,18,18,0,1,1,3,1,0,29,6,11,,0,0,,,,,
lax_cc74a0ee787f,Grant,Pierce,2,0,0,1,1,0,0,0,3,0,2,,0,0,,,,,
lax_3edd88523500,Colin,Hannigan,10,0,0,1,1,1,0,0,9,1,0,,19,24,,,,,
lax_0347bf81685d,Niko,Karetsos,4,0,1,0,1,3,2,0,0,0,0,,0,0,,,,,
lax_eafd273ed49d,Jermaine,Anderson,4,0,0,0,0,2,0,0,0,0,0,,0,0,,,,,
lax_db8157cbdbdb,Kent,Goode,7,2,0,0,0,0,0,0,3,0,0,,0,0,,,,,
lax_b60a817ffa05,Teddy,Gabrielian,4,0,0,0,0,1,1,0,1,0,0,,0,0,,,,,
lax_14c055d861f3,Dean,Scalamandre,16,0,0,0,0,2,1,0,5,0,0,,0,0,,,,,
lax_799778f93e10,Caden,Whaling,6,0,0,0,0,0,0,0,0,0,1,,0,0,,,,,
lax_e485df8e9834,Kai,Prohaszka,18,18,0,0,0,1,0,0,13,1,10,,0,0,,,,,
lax_da3baffecd34,Brett,Koopman,18,0,0,0,0,2,1,0,6,1,3,,0,0,,,,,
lax_44c477672319,Ben,Fox,5,0,0,0,0,0,0,0,1,0,1,,0,0,,,,,
lax_41f6404b97c4,Josh,Marcus,17,16,0,0,0,0,0,0,21,12,0,,0,0,,,,,
lax_993b43545fa0,Brayson,Wilson,5,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_1950588db613,Graham,Riddle,2,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_928ccdaeac0c,Alec,Riddle,2,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_c69a0a206208,Luke,Macejka,2,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_01eebca22255,Nick,Pietramala,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_ab2f527eb0f0,Charlie,Pope,6,0,0,0,0,3,1,0,0,1,0,,0,0,,,,,
lax_55236aa5bef6,Hayden,Downs,6,0,0,0,0,0,0,0,1,0,1,,0,0,,,,,
lax_60a277e2e07f,John,Alie,16,16,47,28,75,142,87,2,21,39,3,,0,0,,,,,
lax_828335409cfd,Ezra,Moore,16,16,29,43,72,88,48,0,29,54,3,,0,1,,,,,
lax_970e9a5b3c06,Joe,Alie,16,16,45,7,52,93,67,1,21,21,6,,0,0,,,,,
lax_343c7396afdb,Michael,Blaymires,16,16,18,3,21,40,32,0,14,9,0,,0,0,,,,,
lax_f802d9bd1523,Ty,Washington,13,10,11,8,19,41,21,1,7,11,1,,0,0,,,,,
lax_de7e6047bfa8,Jack,Fischel,16,7,8,5,13,30,19,1,9,8,1,,0,0,,,,,
lax_f0bae7f239ba,Luke,Healy,14,10,6,2,8,20,10,0,6,11,1,,0,0,,,,,
lax_950379021390,Ryan,Curry,14,0,3,2,5,10,6,0,1,5,1,,0,0,,,,,
lax_54f95426c502,Ian,Kohut,14,0,4,0,4,14,9,0,3,5,0,,0,0,,,,,
lax_10936570c1d2,Dillon,O'Rourke,15,6,3,0,3,9,6,0,16,4,10,,0,0,,,,,
lax_f30f41441339,Nick,Ferge,16,0,2,1,3,6,4,0,19,8,6,,0,0,,,,,
lax_a231774e5013,Robert,Pope,9,0,2,0,2,9,4,0,1,5,0,,0,0,,,,,
lax_59a867d974a5,Landon,Clark,16,0,1,1,2,1,1,0,16,3,7,,0,0,,,,,
lax_1be490650075,Leo,Prosser,7,3,1,1,2,8,5,0,0,5,1,,0,0,,,,,
lax_3f1ab8812527,Hudson,O'Hara,7,0,0,2,2,3,0,0,0,0,0,,0,0,,,,,
lax_bba9fe6a8e90,Jackson,Campisano,14,0,1,0,1,1,1,0,30,4,8,,0,0,,,,,
lax_fdd50ab72603,Nolan,Hudnut,16,15,1,0,1,2,1,0,32,10,3,,0,0,,216,15.37,215,0.499
lax_7c002638d160,Isaac,Miller,16,11,1,0,1,1,1,0,14,3,7,,0,0,,,,,
lax_fae0eabc738a,Matt,Kirton,15,13,0,1,1,1,0,0,27,8,9,,0,0,,,,,
lax_a9316f85157a,Niko,Madden,16,0,0,1,1,2,1,0,54,8,1,,116,296,,,,,
lax_d484ee5f5d3d,Josh,Seipp,3,0,0,1,1,0,0,0,0,0,0,,0,0,,,,,
lax_41b080787bb4,Zach,Bailiff,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_cc0ad24c298a,Brandon,Boyle,3,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_74e0a10f69b9,Sam,Boylston,1,0,0,0,0,1,0,0,0,0,0,,0,0,,,,,
lax_a793908e418c,John,Burkhardt,11,0,0,0,0,1,0,0,0,1,0,,0,0,,,,,
lax_e1021663d202,Samuel,Churchill,6,0,0,0,0,0,0,0,1,0,1,,2,18,,,,,
lax_16750dafbfd4,Grant,Crossley,2,0,0,0,0,0,0,0,0,0,0,,0,0,,2,19.94,1,0.333
lax_c9573d27534e,Christian,Davis,5,0,0,0,0,0,0,0,4,3,0,,0,0,,,,,
lax_97fe186b76c8,Charles,Ellswood,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_c72955e51c74,Zander,Gorman,10,0,0,0,0,0,0,0,2,0,1,,0,0,,,,,
lax_a5a8b257b6a5,Grant,Guthrie,9,0,0,0,0,0,0,0,5,2,0,,21,73,,,,,
lax_bdb5dd73a9fe,Ayden,Hanna,15,0,0,0,0,1,0,0,1,7,2,,0,0,,,,,
lax_b485cad42afc,Andrew,Hoffmann,4,0,0,0,0,0,0,0,3,1,0,,0,0,,37,21.72,18,0.327
lax_59570688328d,Ziggy,Iannessa,12,0,0,0,0,3,1,0,10,1,0,,31,82,,,,,
lax_2f5d8d756ae5,Brian,O'Connor II,3,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
