athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
lax_88610d40ed30,Carmen,DeCaro,,,5' 6'',66.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,A,Attack,Fr.,Fr,"Bensalem, PA",Bensalem,PA,domestic,Bensalem High School,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_5c7348c2fad3,Brianna,Gora,,,,,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfield,So.,So,"Nazareth, Pa.",Nazareth,PA,domestic,Northampton,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_a6ac8c03d008,Avery,Weaber,,,5' 3'',63.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,A,Attack,Fr.,Fr,"Hershey, PA",Hershey,PA,domestic,Hershey High School,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_6f0d19cda2d9,Emma,Beach,,,5' 4'',64.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,A,Attack,Fr.,Fr,"Dallastown, PA",Dallastown,PA,domestic,Dallastown Area High School,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_3fd2320a23c6,Katlyn,Krebs,,,5' 5'',65.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defense,Sr.,Sr,"New Freedom, Pa.",New Freedom,PA,domestic,Susquehannock,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_08eb9301ed36,Rylee,Kernaghan,,,5' 5'',65.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defense,Jr.,Jr,"Lancaster, Pa.",Lancaster,PA,domestic,Cocalico High School,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_738d0d72049a,Clara,Stamper,,,5' 5'',65.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfield,So.,So,"Middletown, Md.",Middletown,MD,domestic,Middletown,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_c0bec9472021,Mary,Moraca,,,5' 6'',66.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfield,Sr.,Sr,"Mullica Hill, N.J.",Mullica Hill,NJ,domestic,Clearview Regional,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_5b70a1522c74,Addison,Geary,,,5' 6'',66.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfield,Fr.,Fr,"Warrington, PA",Warrington,PA,domestic,Central Bucks High School,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_8cf2f74fa683,Emily,Johnson,,,5' 7'',67.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defense,So.,So,"Baltimore, Md.",Baltimore,MD,domestic,Sparrows Point,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_70e0fa0eb58e,Erin,Donnelly,,,5' 2'',62.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defense,So.,So,"Audubon, Pa.",Audubon,PA,domestic,Methacton,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_f56a87acd0f2,Shannon,Meder,,,5' 5'',65.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfield,Jr.,Jr,"Oreland, Pa.",Oreland,PA,domestic,Springfield Township High School,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_abf851e0fabf,Maggie,Handley,,,5' 5'',65.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,A,Attack,So.,So,"Langhorne, Pa.",Langhorne,PA,domestic,Neshaminy,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_81ba5bc45c42,Briar,Brown,,,5' 3'',63.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defense,So.,So,"Freeland, Md.",Freeland,MD,domestic,Hereford,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_cb40d7e95ef2,Hailey,Jordan,,,5' 6'',66.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,D,Defense,Sr.,Sr,"Baltimore, Md.",Baltimore,MD,domestic,Mercy High School,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_b2ec6b2dda59,Clare,Roussey,,,5' 4'',64.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,A,Attack,Sr.,Sr,"Cranford, N.J.",Cranford,NJ,domestic,Cranford,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_91a6a1a36e13,Kayleigh,Dunn,,,5' 4'',64.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfield,Sr.,Sr,"Washington Township, N.J.",Washington Township,NJ,domestic,Westwood Regional,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
lax_c6396d8542b5,Jodylynn,Cadden,,,5' 8'',68.0,,,lacrosse,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,M,Midfield,Jr.,Jr,"Street, Md.",Street,MD,domestic,North Harford,0,https://millersvilleathletics.com/sports/womens-lacrosse/roster/2026
