athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
row_db934ff493b4,Lily,Abbott,,Duke,6-1,73.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"6'1""",Rower,Sr.,Sr,"Teddington, England",Teddington,,international,Kingston Grammar School,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_87ee36f5f303,Ava,Andrews,"English major, Journalism minor",,6-0,72.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"6'0""",Rower,Sr.,Sr,"Manhattan, NY",Manhattan,NY,domestic,Grace Church High School,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_bc1934d41d0c,Alexandra,Ausfahl,,,5-11,71.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'11""",Rower,Fr.,Fr,"Rye, NY",Rye,NY,domestic,Rye HS,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_189caf0ccf5f,Claire,Banks,,,5-10,70.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'10""",Rower,Sr.,Sr,"Darien, CT",Darien,CT,domestic,Darien High School,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_8631cd466220,Eve,Barrancotto,Undeclared,,5-9,69.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'9""",Rower,Sr.,Sr,"Oxford, England",Oxford,,international,Eastlake High School,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_b9c1cff4198e,Sadie,Batista,,,5-11,71.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'11""",Rower,Fr.,Fr,"Wayland, MA",Wayland,MA,domestic,Wayland HS,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_8071b1eb9862,Lily,Bonnem,,,5-11,71.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'11""",Rower,Fr.,Fr,"Bronxville, NY",Bronxville,NY,domestic,Miss Porter's School,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_19382f8c7335,Giulia,Bosio,Data Science,,5-8,68.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'8""",Rower,Sr.,Sr,"Turin, Italy",Turin,,international,"Liceo Scientifico Galileo Ferraris, Torino",0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_bfc2895dbaa7,Minou,Bouman,Engineering,,5-11,71.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'11""",Rower,Sr.,Sr,"Amsterdam, Netherlands",Amsterdam,,international,Het Amsterddams Lyceum,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_f895a4f3138c,Ava,Brooks,,,5-7,67.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'7""",Rower,Fr.,Fr,"Fairfax, CA",Fairfax,CA,domestic,Archie Williams HS,0,https://calbears.com/sports/womens-rowing/roster/2025-26
row_eefd33460b6e,Annie,Brown,Undeclared,,5-10,70.0,,,rowing,2025-26,2025-26,D1,Women,Atlantic Coast Conference,California,"5'10""",Rower,Sr.,Sr,"New York City, NY",New York City,NY,domestic,The Lawrenceville School,0,https://calbears.com/sports/womens-rowing/roster/2025-26
