athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
row_315896cc77c0,Alisia,Cacciola,Business,,5-6,66.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'6""",Rower,Jr.,Jr,"Avon, Conn.",Avon,CT,domestic,Avon,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_988dd7e2ff32,Jatsiri,Contreras,,,5-2,62.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'2""",Rower,So.,So,"Methuen, Mass.",Methuen,MA,domestic,Methuen,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_6f6fed5c4ddf,Sofia,Corcier,,,5-0,60.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'0""",Rower,Fr.,Fr,"Norwell, Mass.",Norwell,MA,domestic,Norwell,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_814d82bebfe1,Maddie,Cunniffe,Pre-Clinical Health Science,,5-2,62.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'2""",Rower,So.,So,"Stony Brook, N.Y.",Stony Brook,NY,domestic,Ward Melville,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_563e79a8811d,Esmeralda,Maquez,,,5-1,61.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'1""",Rower,So.,So,"Derby, Conn.",Derby,CT,domestic,Derby,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_d190bd77e24a,Riley,Molongoski,Political Science,,5-4,64.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'4""",Rower,Jr.,Jr,"Tyngsborough, Mass.",Tyngsborough,MA,domestic,Bishop Guertin,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_5d9586daaeee,Nayeli,Orellana,Biology,,5-6,66.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'6""",Rower,So.,So,"Winthrop, Mass.",Winthrop,MA,domestic,St. Joseph,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_ef1343195320,Bella,Perryman,,,5-10,70.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'10""",Rower,Sr.,Sr,"Lewiston, Maine",Lewiston,ME,domestic,St. Dominic Academy,1,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_4748ec37de63,Lilly,Petullo,,,5-1,61.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'1""",Rower,So.,So,"Sterling, Mass.",Sterling,MA,domestic,Kolbe Academy,1,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
row_cecd6c203fcf,Anna,Shew,Mathematics/Business,,5-9,69.0,,,rowing,2025-26,2025-26,D2,Women,Northeast-10 Conference,Assumption,"5'9""",Rower,So.,So,"Sandy Hook, Conn.",Sandy Hook,CT,domestic,Newtown,0,https://assumptiongreyhounds.com/sports/womens-rowing/roster/2025-26
