athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ski_cbe2676e6650,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"6'3""",Other,Sr.,Sr,"Fairbanks, Alaska",Fairbanks,AK,domestic,West Valley High School,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_fc18c8d1cac0,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"6'3""",Other,Fr.,Fr,"Fairbanks, Alaska",Fairbanks,AK,domestic,West Valley High School,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_926a04d9e908,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"6'0""",Other,Jr.,Jr,"Pewaukee, Wis.",Pewaukee,WI,domestic,Pewaukee High School,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_19d747ed7e98,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"6'0""",Other,So.,So,"Anchorage, Alaska",Anchorage,AK,domestic,West Anchorage High School,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_ca8e2a12bc26,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"5'11""",Other,So.,So,"Anchorage, Alaska",Anchorage,AK,domestic,West Anchorage High School,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_85f89a2a32e6,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"5'9""",Other,Jr.,Jr,"North Vancouver, B.C.",North Vancouver,,international,Sutherland Secondary,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_8a9a73761d8b,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"5'11""",Other,Jr.,Jr,"Leutkirch, Germany",Leutkirch,,international,Hans-Multscher Gymnasium,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_834993140865,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"5'10""",Other,So.,So,"Liberec, Czech Republic",Liberec,,international,Gymnázium Jeronýmova,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_37397da519d7,skiing,2025-26,2025-26,D2,Men,Great Northwest Athletic Conference,Alaska Fairbanks,"6'0""",Other,So.,So,"Roccavione, Italy",Roccavione,,international,Peano-Pellico,0,https://alaskananooks.com/sports/mens-skiing/roster/2025-26
ski_c018c31f83f0,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Nordic,Nordic,So.,So,"Steamboat Springs, CO",Steamboat Springs,CO,domestic,,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_7fdc67e43983,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,Sr.,Sr,"Samedan, Switzerland",Samedan,,international,Academia Engiadina,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_303854d2ac93,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Nordic,Nordic,Gr.,Gr,"LaClusaz, France",LaClusaz,,international,University Grenobles Alpes,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_ac107c9a2f3f,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,Jr.,Jr,"Park City, UT",Park City,UT,domestic,Winter Sports School,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_e4e1b0a2c5c4,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Nordic,Nordic,Jr.,Jr,"Bozeman, MT",Bozeman,MT,domestic,Bozeman HS,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_dceb7e717ad0,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Nordic,Nordic,Jr.,Jr,"McCall, ID",McCall,ID,domestic,McCall-Donnelly HS,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_0782d787f478,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,Fr.,Fr,"Steamboat Springs, CO",Steamboat Springs,CO,domestic,Steamboat Mountain School,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_4cf8111332f0,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,Fr.,Fr,"Oslo, Norway",Oslo,,international,Donski HS,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_689d5afa69f7,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,Fr.,Fr,"Ostersund, Sweden",Ostersund,,international,Wargentin Skolah,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_43b7514d9db3,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Nordic,Nordic,Gr.,Gr,"Oslo, Norway",Oslo,,international,WANG Toppidrett,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_b97492e46d71,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,Fr.,Fr,"Therwil, Switzerland",Therwil,,international,Davos Sportsgymnasium,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_216ac6406628,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,Fr.,Fr,"Edmonton, AB, Canada",Edmonton,,international,Burke HS,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_8a4ce418001a,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Alpine,Alpine,So.,So,"Big Sky, MT",Big Sky,MT,domestic,Lone Peak HS,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_99a93005176c,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Nordic,Nordic,Fr.,Fr,"Bozeman, MT",Bozeman,MT,domestic,Bozeman High School,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_c018c31f83f0_2,skiing,2025-26,2025-26,D1,Men,Big Sky Conference,Montana St.,Nordic,Nordic,So.,So,"Steamboat Springs, CO Major Ecology & Conservation Biology Gianluca Böhm",Steamboat Springs,,international,Academia Engiadina,0,https://msubobcats.com/sports/mens-skiing/roster/2025-26
ski_884ec2624405,skiing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Northern Michigan,,UNK,So.,So,"Stillwater, Minn.",Stillwater,MN,domestic,Stillwater,0,https://nmuwildcats.com/sports/mens-skiing/roster/2025-26
ski_15385b4f9163,skiing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Northern Michigan,,UNK,Sr.,Sr,"Bloomington, Minn.",Bloomington,MN,domestic,Bloomington Jefferson,0,https://nmuwildcats.com/sports/mens-skiing/roster/2025-26
ski_1f62ec3579c6,skiing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Northern Michigan,,UNK,Fr.,Fr,"Chippewa Falls, Wisc.",Chippewa Falls,WI,domestic,,0,https://nmuwildcats.com/sports/mens-skiing/roster/2025-26
ski_51430e7bee4f,skiing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Northern Michigan,,UNK,Sr.,Sr,"Canmore, Alb.",Canmore,,international,Canmore Collegiate,0,https://nmuwildcats.com/sports/mens-skiing/roster/2025-26
ski_67e955791a94,skiing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Northern Michigan,,UNK,R-Jr.,Jr,"Stillwater, Minn.",Stillwater,MN,domestic,,0,https://nmuwildcats.com/sports/mens-skiing/roster/2025-26
ski_81892f50a3f8,skiing,2025-26,2025-26,D2,Men,Great Lakes Intercollegiate Athletic Conference,Northern Michigan,,UNK,Sr.,Sr,"Parnu, Estonia",Parnu,,international,,0,https://nmuwildcats.com/sports/mens-skiing/roster/2025-26
ski_64eeed79220b,skiing,2025-26,2025-26,D3,Men,Independent,St Scholastica,,UNK,Sr.,Sr,"Frisco, CO",Frisco,CO,domestic,Summit HS,0,https://csssaints.com/sports/mens-nordic-skiing/roster/2025-26
ski_5099c431fcce,skiing,2025-26,2025-26,D3,Men,Independent,St Scholastica,,UNK,Sr.,Sr,"Tomahawk, WI",Tomahawk,WI,domestic,Lakeland Union High School,0,https://csssaints.com/sports/mens-nordic-skiing/roster/2025-26
ski_d6d5720f9821,skiing,2025-26,2025-26,D3,Men,Independent,St Scholastica,,UNK,Jr.,Jr,"Burlington, VT",Burlington,VT,domestic,Burlington High School,0,https://csssaints.com/sports/mens-nordic-skiing/roster/2025-26
ski_b80246bb9fb3,skiing,2025-26,2025-26,D3,Men,Independent,St Scholastica,,UNK,Sr.,Sr,"Sussex, WI",Sussex,WI,domestic,Home School,0,https://csssaints.com/sports/mens-nordic-skiing/roster/2025-26
ski_eab1ada22968,skiing,2025-26,2025-26,D3,Men,Independent,St Scholastica,,UNK,Sr.,Sr,"Breckenridge, CO",Breckenridge,CO,domestic,Summit HS,0,https://csssaints.com/sports/mens-nordic-skiing/roster/2025-26
ski_91de34f639c0,skiing,2025-26,2025-26,D3,Men,Independent,St Scholastica,,UNK,Fr.,Fr,"Minnetonka, MN",Minnetonka,MN,domestic,Minnetonka HS,0,https://csssaints.com/sports/mens-nordic-skiing/roster/2025-26
