athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ski_d5f73e70eed0,skiing,2025-26,2025-26,D3,Women,Great Northeast Athletic Conference,Colby-Sawyer,,UNK,Sr.,Sr,"Francestown, N.H.",Francestown,NH,domestic,ConVal Regional,0,https://www.colby-sawyerathletics.com/sports/womens-skiing/roster/2025-26
ski_c27b75dbceb6,skiing,2025-26,2025-26,D3,Women,Great Northeast Athletic Conference,Colby-Sawyer,,UNK,Sr.,Sr,"Steamboat Springs, Colo.",Steamboat Springs,CO,domestic,,0,https://www.colby-sawyerathletics.com/sports/womens-skiing/roster/2025-26
ski_5ebe55a04467,skiing,2025-26,2025-26,D3,Women,Great Northeast Athletic Conference,Colby-Sawyer,,UNK,Jr.,Jr,"Silver Lake, N.H.",Silver Lake,NH,domestic,Kennett High School,0,https://www.colby-sawyerathletics.com/sports/womens-skiing/roster/2025-26
ski_b81b4fb3438d,skiing,2025-26,2025-26,D3,Women,Great Northeast Athletic Conference,Colby-Sawyer,,UNK,So.,So,"Highgate, VT",Highgate,VT,domestic,St. Johnsbury Academy,1,https://www.colby-sawyerathletics.com/sports/womens-skiing/roster/2025-26
ski_05f9320dbd3b,skiing,2025-26,2025-26,D3,Women,Great Northeast Athletic Conference,Colby-Sawyer,,UNK,Fr.,Fr,"Irasburg, VT",Irasburg,VT,domestic,,0,https://www.colby-sawyerathletics.com/sports/womens-skiing/roster/2025-26
ski_cc1b5f035b10,skiing,2025-26,2025-26,D3,Women,Great Northeast Athletic Conference,Colby-Sawyer,,UNK,Sr.,Sr,"Epping, N.H.",Epping,NH,domestic,Epping High School,0,https://www.colby-sawyerathletics.com/sports/womens-skiing/roster/2025-26
ski_7daf96e563ff,skiing,2025-26,2025-26,D3,Women,Independent,William Smith,"5'4""",Other,SR,Sr,"Ridgefield, Conn.",Ridgefield,CT,domestic,Ridgefield,0,https://hwsathletics.com/sports/womens-skiing/roster/2025-26
ski_4dd91cce3c44,skiing,2025-26,2025-26,D3,Women,Independent,William Smith,"5'6""",Other,SR,Sr,"Lake Placid, N.Y.",Lake Placid,NY,domestic,Northwood School,0,https://hwsathletics.com/sports/womens-skiing/roster/2025-26
ski_01c75ce60a86,skiing,2025-26,2025-26,D3,Women,Independent,William Smith,"5'4""",Other,JR,Jr,"Fairport, N.Y.",Fairport,NY,domestic,Fairport High School,0,https://hwsathletics.com/sports/womens-skiing/roster/2025-26
ski_3b597a5a523f,skiing,2025-26,2025-26,D3,Women,Independent,William Smith,"5'2""",Other,SO,So,"Sparta, N.J.",Sparta,NJ,domestic,Sparta,0,https://hwsathletics.com/sports/womens-skiing/roster/2025-26
