athlete_id,first_name,last_name,gp,gs,minutes,goals,assists,points,shots,sog,gwg,pk_goals,pk_att,yc,rc,gk_ga,gk_gaa,gk_saves,gk_sv_pct,gk_shutouts
soc_fe9e8f49828d,Johannes,Hanken Tjostheim,15,7,544,8,0,16,20,14,2,0,0,0,0,,,,,
soc_9ef6e26ae7ca,Ask,Ekeland,17,13,1088,5,4,14,46,14,3,1,1,3,0,,,,,
soc_621814797f2a,Russell,Brown,16,6,666,2,5,9,29,12,1,0,0,3,0,,,,,
soc_f230662530b5,Michael,Asare,14,12,717,3,0,6,17,12,0,0,0,3,0,,,,,
soc_d774c512fd7b,Nikolai,Rojel,14,9,578,2,1,5,13,4,0,0,0,0,0,,,,,
soc_f58f31fb5b7a,Bryan,Toro,15,4,592,2,1,5,7,2,0,0,0,4,0,,,,,
soc_8f013e618436,Ziad,Abdul-Malak,17,10,715,1,2,4,19,9,0,0,0,0,0,,,,,
soc_d86fe1dfddb9,Jack,Burkhardt,17,17,1407,1,2,4,14,3,1,1,1,2,0,,,,,
soc_37022d53be67,Dylan,Mafong,15,7,650,2,0,4,15,8,0,0,0,2,0,,,,,
soc_b6944d63fff9,Patrick,Reddy,6,0,139,1,2,4,5,2,0,0,0,0,0,,,,,
soc_95099ff249f4,Erick,Almendares,12,5,398,1,1,3,6,1,0,0,0,0,0,,,,,
soc_2553bce915e4,Mitchell,Shevchenko-Rogers,4,0,91,1,1,3,2,1,0,0,0,0,0,,,,,
soc_6056a8e7c98f,CJ,Williams,16,15,1222,1,1,3,3,3,0,0,0,3,1,,,,,
soc_b5e7140762f0,Aidan,Farwell,15,7,673,0,2,2,4,1,0,0,0,2,0,,,,,
soc_03d9ec776913,Devon,Galluzzo,6,0,150,0,2,2,4,2,0,0,0,2,0,,,,,
soc_4a4861a5da2a,Marci,Killeen,13,11,942,0,2,2,11,1,0,0,0,3,1,,,,,
soc_295c4cc1621d,Henry,Wassarman,8,3,392,1,0,2,4,1,0,0,0,0,0,,,,,
soc_1bd30b238208,Alexi,Karalis,2,0,66,0,1,1,1,0,0,0,0,0,0,,,,,
soc_d2fae5425417,Harald,Race,2,0,65,0,1,1,2,2,0,0,0,0,0,,,,,
soc_9b1dc02c680c,Max,Andrews,2,2,159,0,0,0,1,0,0,0,0,0,0,,,,,
soc_61c64154f8f7,Christian,Bejar,4,4,268,0,0,0,1,0,0,0,0,0,0,,,,,
soc_b7533c049388,Andrej,Borak,14,14,1260,0,0,0,0,0,0,0,0,3,0,,,,,
soc_4181eb55af8d,Patrick,Donovan,3,3,245,0,0,0,0,0,0,0,0,0,0,,,,,
soc_3d8f8936f783,Connor,Gibson,13,7,708,0,0,0,4,1,0,0,0,3,0,,,,,
soc_8ad51617a51e,Moritz,Gundelach,14,14,1120,0,0,0,3,1,0,0,0,2,0,,,,,
soc_6715d8035f0f,Fynn,Henze,17,16,1395,0,0,0,1,0,0,0,0,1,0,,,,,
soc_693205e2a3ca,Sander,Martinsen-Wold,12,1,358,0,0,0,8,2,0,0,0,1,0,,,,,
soc_54a8334d529d,Watts,Richmond,4,0,90,0,0,0,0,0,0,0,0,0,0,,,,,
soc_50c671896d9e,Leo,Seidel,1,0,25,0,0,0,0,0,0,0,0,0,0,,,,,
soc_d876ee3e1467,Luka,Lukic,18,14,1063,8,1,17,41,21,1,2,2,3,0,,,,,
soc_66857075a282,Malcolm,Zalayet,18,11,1070,4,2,10,32,14,1,1,1,0,0,,,,,
soc_d3bd08e65f63,Alfredo,Ortiz,18,18,1520,3,1,7,12,6,2,1,2,0,0,,,,,
soc_00201e76a5b6,Junhwan,Park,16,6,598,3,1,7,17,10,1,0,0,2,0,,,,,
soc_102195fc3ddb,Kieran,Bracken Serra,17,12,984,1,4,6,6,4,0,0,0,2,0,,,,,
soc_21b3e67b6c9f,Cam,Wilkerson,18,16,1235,2,2,6,16,6,2,0,0,1,0,,,,,
soc_32a9b34c2734,Callen,Lewis,16,5,746,2,0,4,15,5,0,0,0,0,0,,,,,
soc_4588ded6fa1d,Beau,Morrison,18,18,1465,2,0,4,5,3,1,0,0,0,0,,,,,
soc_a7666c3459cb,Noe,Morales,18,17,1264,1,1,3,37,13,0,0,0,2,0,,,,,
soc_23055d1f19ff,Gaku,Nishimura,14,13,1042,0,3,3,13,1,0,0,0,2,0,,,,,
soc_746a8801c781,Cesar,Cordova,16,11,801,0,1,1,8,1,0,0,0,4,0,,,,,
soc_96296bd18051,Adrian,Jacobs,3,1,104,0,1,1,5,2,0,0,0,0,0,,,,,
soc_6c0b8a7fc373,Rohan,McEligot,16,3,528,0,1,1,12,4,0,0,0,3,0,,,,,
soc_bc39cd23c0c8,Wisdom,Onuoma,6,5,372,0,1,1,4,1,0,0,0,0,0,,,,,
soc_43db5243274b,D'Andre,Pickett,13,12,965,0,1,1,4,3,0,0,0,0,0,,,,,
soc_cfe6f0325c12,Zack,Andoh,5,0,214,0,0,0,0,0,0,0,0,0,0,3,1.26,1,0.25,
soc_502b20649886,Brendan,Bell,5,2,121,0,0,0,2,2,0,0,0,1,0,,,,,
soc_b9dff1a03113,Jack,Bowers,1,0,8,0,0,0,0,0,0,0,0,0,0,,,,,
soc_9dee0f2cd157,Marco,Brougher,9,3,460,0,0,0,0,0,0,0,0,0,0,5,0.98,18,0.783,
soc_86db710337bf,Sintayehu,Clements,7,5,422,0,0,0,3,0,0,0,0,0,0,,,,,
soc_f07a001206d1,Kai,Djerbaka,3,0,56,0,0,0,0,0,0,0,0,1,0,,,,,
soc_2e45caad66ec,Griffin,Gustafson,1,0,25,0,0,0,0,0,0,0,0,0,0,,,,,
soc_839a0c31e2b7,Allan,Juarez,16,4,677,0,0,0,7,3,0,0,0,3,0,,,,,
soc_60500b494ff0,Connor,Lambe,16,15,944,0,0,0,0,0,0,0,0,0,0,18,1.71,37,0.673,
soc_bb543ebc5720,Giancarlo,Mota,13,2,368,0,0,0,0,0,0,0,0,0,0,,,,,
soc_6a9547d5d79a,Cameron,Robie,3,1,82,0,0,0,0,0,0,0,0,0,0,,,,,
soc_9b4305253aa9,Nico,Ruiz,2,0,18,0,0,0,1,0,0,0,0,0,0,,,,,
