athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
soc_ad07a243aaa5,Emma,Sawich,Physical Therapy,,5-8,68.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,GK,Goalkeeper,Sr.,Sr,"McMurray, Pa.",McMurray,PA,domestic,Peters Township,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_8e0afb01b657,Izzy,Renner,Nursing,,6-0,72.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,GK,Goalkeeper,Fr.,Fr,"Wolverine Lake, Mich.",Wolverine Lake,MI,domestic,Walled Lake Central,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_42fbf0dbd404,Hayley,Smith,Psychology,,5-6,66.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,D,Defender,Fr.,Fr,"Bargersville, Ind.",Bargersville,IN,domestic,Center Grove,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_bb618c8cecd0,Kaitlyn,Dempster,Occuptional Therapy,,5-6,66.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,M,Midfielder,Fr.,Fr,"Oakland Township, Mich.",Oakland Township,MI,domestic,Rochester Adams,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_f4f889e8eaf0,Evangelia,Barakos,Biology,,5-2,62.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,M,Midfielder,So.,So,"York, Pa.",York,PA,domestic,Central York,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_928b99f90acd,Caterina,Schiavo,Molecular Biology,,5-7,67.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,D,Defender,Jr.,Jr,"Sicklerville, N.J.",Sicklerville,NJ,domestic,Winslow Township,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_6034e23ed59b,Anouk,Landgraff,Nursing,,5-3,63.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,F,Forward,So.,So,"Washington Boro, Pa.",Washington Boro,PA,domestic,Penn Manor,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_6d4e9d2f5869,Lucia,Johnson,Marketing,Eastern Michigan / Akron,5-5,65.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,M,Midfielder,Jr.,Jr,"Cincinnati, Ohio",Cincinnati,OH,domestic,Turpin,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_e628d8214adc,Meredith,Artz,Political Science Pre-Law,,5-4,64.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,M,Midfielder,Fr.,Fr,"Monroe Township, N.J.",Monroe Township,NJ,domestic,Monroe Township,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_90e6091864a8,Riley,Kerr,Business,,5-7,67.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,F,Forward,Fr.,Fr,"Greensburg, Pa.",Greensburg,PA,domestic,Greensburg Central Catholic,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_14b80d797c3d,Riley,Cerqua,Biology,,5-5,65.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,D,Defender,Jr.,Jr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,North Allegheny,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_c00ad71d04fd,Hayden,Barry,Physical Therapy,,5-9,69.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,D,Defender,Fr.,Fr,"Downingtown, Pa.",Downingtown,PA,domestic,Downingtown West,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_93a538255d65,Maggie,Ratchford,Exercise Physiology,,5-4,64.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,M,Midfielder,So.,So,"Scranton, Pa.",Scranton,PA,domestic,Abington Heights,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_a2483e6f1ee2,Jacklyn,Hajnosz,Physical Therapy,,5-4,64.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,F,Forward,So.,So,"Duncansville, Pa.",Duncansville,PA,domestic,Hollidaysburg Area,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_42e947e5eba7,Ashlyn,Fetterman,Business,,5-2,62.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,F,Forward,Fr.,Fr,"Hollsopple, Pa.",Hollsopple,PA,domestic,Conemaugh Township,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_4176cc2b703c,Maridza,Desir,Criminal Justice,,5-6,66.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,F,Forward,Sr.,Sr,"St. Lazare, Quebec",St. Lazare,,international,Monteverde Academy,1,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_e5ec911a9d36,Lauren,Persichetty,MBA,,5-4,64.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,D,Defender,Gr.,Gr,"Staten Island, N.Y.",Staten Island,NY,domestic,Susan E. Wagner,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_2f768090c753,Raine,Korpics,Exercise Physiology,,5-3,63.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,F,Forward,Sr.,Sr,"Walnutport, Pa.",Walnutport,PA,domestic,Northampton Area,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_4de511c4fe4c,Mercedez,Paino,Nursing,,5-2,62.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,M,Midfielder,Jr.,Jr,"Langhorne, Pa.",Langhorne,PA,domestic,Neshaminy,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_fa93a1a6bd1e,Angelina,Kasak,Finance & Business Analytics,,5-1,61.0,,,soccer,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,M,Midfielder,Fr.,Fr,"Lemont, Pa.",Lemont,PA,domestic,Pennsylvania Charter Cyber,0,https://sfuathletics.com/sports/womens-soccer/roster/2025
soc_62eef1c41dd9,Amy,Sidaway,Business Management and Psychology,,5-10,70.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,GK,Goalkeeper,Jr.,Jr,"Shelby Township, Mich.",Shelby Township,MI,domestic,Utica Eisenhower,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_66c2154c4e94,Abby,Ochs,Biology,,5-8,68.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,GK,Goalkeeper,Sr.,Sr,"Nokesville, Va.",Nokesville,VA,domestic,Patriot,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_9c5a581178c0,Molly,Seventko,Communication Studies,,5-7,67.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,F,Forward,Sr.,Sr,"Leesburg, Va.",Leesburg,VA,domestic,Loudoun County,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_2a4529393a6f,Julia,Joyner,Undecided,,5-3,63.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,F,Forward,Fr.,Fr,"Fairfax, Va.",Fairfax,VA,domestic,Robinson,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_4270385baec3,Avery,Spell,Marketing,,5-8,68.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,MF,Midfielder,So.,So,"Virginia Beach, Va.",Virginia Beach,VA,domestic,Floyd E. Kellam,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_87087353e148,McKenna,Kolasch,"Cellular, Molecular, and Physiological Biology",VCU,5-2,62.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,MF,Midfielder,Jr.,Jr,"Haymarket, Va.",Haymarket,VA,domestic,Battlefield,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_0d8b333f264f,Alex,Dalakis,Finance,,5-6,66.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,F,Forward,Jr.,Jr,"Vienna, Va.",Vienna,VA,domestic,Madison,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_1e6930c7e69c,Addy,Hennessy,Finance,,5-8,68.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,D,Defender,Fr.,Fr,"Norfolk, Va.",Norfolk,VA,domestic,Norfolk Academy,1,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_a846c24f72fa,Bella,DiTommaso,Business Management,,5-7,67.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,D,Defender,Jr.,Jr,"Ashburn, Va.",Ashburn,VA,domestic,Broad Run,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_ff76c3cc5c9c,AP,Webb,Communication Studies & Leadership,,5-6,66.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,F,Forward,Jr.,Jr,"Lynchburg, Va.",Lynchburg,VA,domestic,E.C. Glass,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
soc_7a4ae752dc84,QB,Osuna,Biology,,5-3,63.0,,,soccer,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,F/MF,Multi,Sr.,Sr,"Williamsburg, Va.",Williamsburg,VA,domestic,Warhill,0,https://www.cnusports.com/sports/womens-soccer/roster/2025
