athlete_id,first_name,last_name,gp,gs,ab,r,h,doubles,triples,hr,rbi,tb,bb,so,sb,sb_att,avg,ip,era,w,l,sv,k,app
sb_b8880a590388,Anaya,Togia,47,40,116,19,40,6,0,7,26,67,8,14,1,2,0.345,6.1,3.32,0,0,0,4,
sb_e69d98075e3a,Kayla,Lee,44,35,96,15,31,0,0,0,3,31,9,24,13,16,0.323,,,,,,,
sb_7a8f03102772,Maddie,Rey,50,45,129,30,41,8,0,4,25,61,9,20,10,10,0.318,,,,,,,
sb_03b8cea3910a,Carly,Raven,47,46,118,33,35,10,1,8,33,71,37,22,8,9,0.297,0.0,0.0,0,0,0,0,
sb_239a0af54d32,Gator,Robinson,50,50,135,31,37,11,2,8,28,76,24,19,7,7,0.274,,,,,,,
sb_7e7ed122b3a5,Sophia,Everett,40,30,93,16,25,5,2,5,16,49,4,22,4,5,0.269,,,,,,,
sb_4f1e3aa8e14c,Kayli,Counts,51,48,142,23,38,7,0,2,24,51,14,21,10,11,0.268,,,,,,,
sb_e8de585d0db1,Emma,Jackson,48,38,100,19,26,1,1,0,6,29,9,25,10,12,0.26,,,,,,,
sb_6d0875719640,Xiomei,Geluz,36,12,35,8,6,0,0,0,1,6,2,5,2,5,0.171,,,,,,,
sb_f97bae8b3498,Mya,McGowan,34,24,44,6,4,0,0,1,3,7,11,14,1,1,0.091,82.1,7.82,4,14,1,29,
sb_0d4868cbab8f,Alyssa,Herrera,6,3,8,0,0,0,0,0,0,0,0,1,0,0,0.0,,,,,,,
sb_181b83da9154,Kiki,Mashhoud,,,,,,,,,,,,,,,,66.2,7.24,3,9,2,14,
sb_12a325b2a2a2,Isa,Torres,54,54,185,78,98,21,7,16,56,181,26,12,13,15,0.53,,,,,,,
sb_62f7b0ef9998,Jaysoni,Beachum,62,62,170,52,69,13,1,10,69,114,54,8,4,5,0.406,,,,,,,
sb_41d47a0e621a,Ashtyn,Danley,62,62,201,50,71,16,3,12,57,129,17,15,7,7,0.353,,,,,,,
sb_d671346b6680,Marin,Heller,48,48,136,45,48,15,4,2,25,77,23,16,13,15,0.353,,,,,,,
sb_f23da05634a3,Makenna,Sturgis,61,49,145,34,51,15,0,3,32,75,5,5,4,4,0.352,,,,,,,
sb_b9a00f0cb65a,Anna,Hinde,61,61,154,20,53,6,0,9,43,86,22,10,1,1,0.344,,,,,,,
sb_97894e600c98,Bella,Ruggiero,56,49,141,31,41,9,1,0,27,52,19,10,3,6,0.291,,,,,,,
sb_859aea7af9c5,Kennedy,Harp,49,46,142,30,41,9,1,6,31,70,17,24,3,3,0.289,,,,,,,
sb_4bb53336ccda,Hayley,Griggs,62,58,153,39,42,11,3,7,31,80,24,22,6,8,0.275,,,,,,,
sb_9b6d0cd585db,Shelby,McKenzie,56,46,117,31,32,3,0,7,27,56,27,20,2,2,0.274,,,,,,,
sb_169a4e38a909,Angelee,Bueno,44,20,54,26,16,3,1,0,9,21,9,6,3,3,0.296,,,,,,,
sb_1162591fe518,Madi,Frey,44,7,25,16,6,2,0,1,5,11,6,4,1,2,0.24,,,,,,,
sb_8b9e643dc478,Addie,DeLong,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,,,,,,,
sb_2793e5200d7d,Jadyn,Burney,42,42,120,28,38,2,2,3,16,53,22,21,20,20,0.317,,,,,,,
sb_7a1e56664e14,Vanessa,Flores,42,40,108,4,30,3,0,1,13,36,20,8,0,0,0.278,,,,,,,
sb_4f5cdd207ac0,Madelyn,Lopez,36,34,105,12,29,4,0,0,7,33,9,7,4,4,0.276,,,,,,,
sb_ab6d6d6ac029,Madison,Knight,44,43,124,28,33,8,0,15,38,86,29,24,1,1,0.266,,,,,,,
sb_899f2ecf8015,Lauren,Fox,40,39,81,12,20,1,1,0,6,23,13,22,7,8,0.247,,,,,,,
sb_28136d408486,Kendall,Gaunt,38,33,90,11,22,7,0,5,16,44,13,28,7,8,0.244,,,,,,,
sb_af7497c0eaf5,Gabby,Lantier,41,41,76,17,16,0,1,0,9,18,12,21,5,5,0.211,,,,,,,
sb_01c550b8d14b,Kaimi,Tulua,34,19,62,4,13,1,0,4,14,26,5,14,0,0,0.21,,,,,,,
sb_f45315b700c4,Mackenzie,Knight,16,1,4,4,1,0,0,0,0,1,1,2,2,2,0.25,,,,,,,
