athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
sb_a5f8ad8fd5ae,Brooke,Gray,,,5' 3'',63.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,LHP,Pitcher,Jr.,Jr,"Louisville, Ky.",Louisville,KY,domestic,Ballard,0,https://gocards.com/sports/softball/roster/2026
sb_53d707ecdc06,Madison,Pickens,,,5' 5'',65.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,OF/UT,Multi,So.,So,"Flowery Branch, Ga.",Flowery Branch,GA,domestic,Buford,0,https://gocards.com/sports/softball/roster/2026
sb_44022813510e,Addy,O'Dell,,,5' 4'',64.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,INF/C,Multi,Fr.,Fr,"Newton, Ill.",Newton,IL,domestic,Newton Community,0,https://gocards.com/sports/softball/roster/2026
sb_1302fa25425e,Ryann,Sanders,,,5' 9'',69.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,RHP,Pitcher,So.,So,"Bentonville, Ark.",Bentonville,AR,domestic,Bentonville,0,https://gocards.com/sports/softball/roster/2026
sb_12321f2d9fb3,Riley,Janda,,,5' 9'',69.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,INF,Infield,So.,So,"Greenwood, Ind.",Greenwood,IN,domestic,Center Grove,0,https://gocards.com/sports/softball/roster/2026
sb_f05e2905befb,Ava,Venturelli,,,5' 7'',67.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,OF,Outfield,Jr.,Jr,"Taunton, Mass.",Taunton,MA,domestic,Taunton,0,https://gocards.com/sports/softball/roster/2026
sb_1e851693f50e,Camryn,Lookadoo,,,5' 3'',63.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,INF/UT,Multi,Jr.,Jr,"Georgetown, Ky.",Georgetown,KY,domestic,Great Crossing,0,https://gocards.com/sports/softball/roster/2026
sb_b1079b1e96a0,Chelsea,Mack,,,5' 5'',65.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,OF,Outfield,Sr.,Sr,"Brecksville, Ohio",Brecksville,OH,domestic,Brecksville,0,https://gocards.com/sports/softball/roster/2026
sb_cbedcd93269c,Jac,Hasty,,,5' 10'',70.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,C/INF,Multi,Jr.,Jr,"Chesapeake, Va.",Chesapeake,VA,domestic,Western Branch,0,https://gocards.com/sports/softball/roster/2026
sb_960a242514bf,Easton,Lotus,,,5' 3'',63.0,,,softball,2025-26,2026,D1,Women,Atlantic Coast Conference,Louisville,INF,Infield,R-Sr.,Sr,"New Lenox, Ill.",New Lenox,IL,domestic,Marist,0,https://gocards.com/sports/softball/roster/2026
