athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
st_cbf27b315aa8,Reese,McKinney,,,5-5,65.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Flyer,Athlete,Jr.,Jr,"Malvern, Ark.",Malvern,AR,domestic,Magnet Cove HS,0,https://ucasports.com/sports/stunt/roster/2026
st_62f664128390,Josie,Brandenberger,,,4-7,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Tumbler/Flyer,Athlete,So.,So,"Bethany, Okla.",Bethany,OK,domestic,Putnam City West HS,0,https://ucasports.com/sports/stunt/roster/2026
st_2e7a3f4217c5,Natalee,Taylor,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_267f8b090d5c,Emma,Daves,,,5-3,63.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Base/Tumbler,Athlete,Jr.,Jr,"Bryant, Ark.",Bryant,AR,domestic,Bryant HS,0,https://ucasports.com/sports/stunt/roster/2026
st_4ed4ff4e0081,McKenna,Wood,,,5-3,63.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Main Base,Athlete,So.,So,"Clarksville, Ark.",Clarksville,AR,domestic,Clarksville HS,0,https://ucasports.com/sports/stunt/roster/2026
st_acb20397f02d,McKenzie,Cherry,,,5-7,67.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Backspot,Athlete,So.,So,"Marion, Ark.",Marion,AR,domestic,Marion HS,0,https://ucasports.com/sports/stunt/roster/2026
st_4b61e3fbaedc,Sarah,Lomax,,,5-6,66.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Flyer,Athlete,So.,So,"Russellville, Ark.",Russellville,AR,domestic,Russellville HS,0,https://ucasports.com/sports/stunt/roster/2026
st_62f21870b993,Marleigh,Thessing,,,5-3,63.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Base,Athlete,Jr.,Jr,Conway,Conway,AR,domestic,St. Joseph HS,0,https://ucasports.com/sports/stunt/roster/2026
st_0a52b859f0d1,Savannah,Ligon,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Side Base/Tumbler,Athlete,So.,So,"Hot Springs, Ark.",Hot Springs,AR,domestic,Lakeside HS,0,https://ucasports.com/sports/stunt/roster/2026
st_926f27fcf271,Emma,Cole,,,5-7,67.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Backspot/Tumbler,Athlete,So.,So,"Canyon Lake, Calif.",Canyon Lake,CA,domestic,Temescal Canyon HS,0,https://ucasports.com/sports/stunt/roster/2026
st_d4941ade5515,Cara,Hobbs,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_eefdaecbd92b,Bevan,Sober,,,5-8,68.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Backspot,Athlete,Sr.,Sr,"North Little Rock, Ark.",North Little Rock,AR,domestic,Abundant Life Christian,0,https://ucasports.com/sports/stunt/roster/2026
st_ae95c170d149,Kierstyn,Harvey,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_37fde6b5c422,Maddie,Hamilton,,,5-3,63.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Flyer,Athlete,So.,So,"Goodyear, Ariz.",Goodyear,AZ,domestic,Estrella Foothills HS,0,https://ucasports.com/sports/stunt/roster/2026
st_9cbf40da95d8,Arianna,Williams,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_51a131c03b4e,Kynnadi,Finks,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_851921bf4f7b,Breanna,Campbell,,,5-3,63.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Main Base,Athlete,So.,So,"Bryant, Ark.",Bryant,AR,domestic,Bryant HS,0,https://ucasports.com/sports/stunt/roster/2026
st_ee563b6fd667,Alivia,Reeves,,,5-5,65.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Base,Athlete,Jr.,Jr,"East End, Ark.",East End,AR,domestic,,0,https://ucasports.com/sports/stunt/roster/2026
st_f6b73fc86bfe,Jordan,Ballard,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_e5500e000355,Zandrea,Story,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_1abda97459d9,Milana,Anderson,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_8cf378d0d740,Aspen,Carter,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_2fd690db1677,Galilee,Gresser,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_b32d151153b1,Kalani,Wilhite,,,4-11,59.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Main Base/Tumbler,Athlete,So.,So,"Conway, Ark.",Conway,AR,domestic,Conway HS,0,https://ucasports.com/sports/stunt/roster/2026
st_1b507d397481,Kailee,Martinez,,,5-5,65.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Main Base,Athlete,So.,So,"Murrieta, Calif.",Murrieta,CA,domestic,Murietta Mesa HS,0,https://ucasports.com/sports/stunt/roster/2026
st_f483bb13a000,Alexa,Okpala,,,,,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,,Athlete,Fr.,Fr,Fr.,Fr.,,international,,0,https://ucasports.com/sports/stunt/roster/2026
st_5c9e64ed27f3,Zoey,Davis,,,5-4,64.0,,,stunt,2025-26,2026,D1,Women,ASUN Conference,Central Ark.,Flyer/Tumbler,Athlete,So.,So,"Marion, Ark.",Marion,AR,domestic,Marion HS,0,https://ucasports.com/sports/stunt/roster/2026
