athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
st_ab32f0dbf384,Brayonna,Walz,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,Jr.,Jr,"Lancaster, Pa.",Lancaster,PA,domestic,McCaskey,0,https://albrightathletics.com/sports/stunt/roster/2026
st_222b981c1b16,Olivia,Ronan,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,FY,Fr,"Aston, Pa.",Aston,PA,domestic,Sun Valley,0,https://albrightathletics.com/sports/stunt/roster/2026
st_f80f95f0056c,Jacqueline,Wohrle,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,Jr.,Jr,"Lansdale, Pa.",Lansdale,PA,domestic,North Penn,0,https://albrightathletics.com/sports/stunt/roster/2026
st_db07ea9754a0,Mackenzie,Baildon,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,So.,So,"Norristown, Pa.",Norristown,PA,domestic,Lansdale Catholic,0,https://albrightathletics.com/sports/stunt/roster/2026
st_6a54b36107c6,Tracy,Byrd,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,FY,Fr,"Aston, Pa.",Aston,PA,domestic,Sun Valley,0,https://albrightathletics.com/sports/stunt/roster/2026
st_44c42fda69b0,Ebony,Milburn,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,So.,So,"Lancaster, Pa.",Lancaster,PA,domestic,McCaskey,0,https://albrightathletics.com/sports/stunt/roster/2026
st_6f70287b9f0f,Rayne,Solt,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,FY,Fr,"Walnutport, Pa.",Walnutport,PA,domestic,21st Century Cyber Charter,0,https://albrightathletics.com/sports/stunt/roster/2026
st_8c77ae1fe1ee,Emily,McAuliffe,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,Jr.,Jr,"Broomall, Pa.",Broomall,PA,domestic,Marple Newtown,0,https://albrightathletics.com/sports/stunt/roster/2026
st_918252850c62,Morgan,Hanley,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,Sr.,Sr,"Bridgeport, Pa.",Bridgeport,PA,domestic,Upper Merion,0,https://albrightathletics.com/sports/stunt/roster/2026
st_9936e7a3f962,Aniyah,Baez,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,Jr.,Jr,"Harlem, N.Y.",Harlem,NY,domestic,Assembly Gateway School,0,https://albrightathletics.com/sports/stunt/roster/2026
st_865129aa7aba,Jade,Garcia,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,FY,Fr,"Reading, Pa.",Reading,PA,domestic,Reading,0,https://albrightathletics.com/sports/stunt/roster/2026
st_50272c512c72,Sierra,Lawson,,,,,,,stunt,2025-26,2026,D3,Women,Middle Atlantic Conferences,Albright,,Athlete,FY,Fr,"Coatesville, Pa.",Coatesville,PA,domestic,Coatesville,0,https://albrightathletics.com/sports/stunt/roster/2026
st_3c4892f51b90,Faith,Fitzgerald,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Blue Earth, Minn.",Blue Earth,MN,domestic,Blue Earth Area,0,https://bvuathletics.com/sports/stunt/roster
st_2ed7c9a41f33,Layla,Henschke,History Education,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Blue Earth, Minn.",Blue Earth,MN,domestic,Blue Earth Area,0,https://bvuathletics.com/sports/stunt/roster
st_b1a3a26ae0d7,Leslie,Salmeron,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,So.,So.,,international,,0,https://bvuathletics.com/sports/stunt/roster
st_f44c70e33133,Madison,Monahan,Psychology,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Sr.,Sr,"Churdan, Iowa",Churdan,IA,domestic,South Central Calhoun,0,https://bvuathletics.com/sports/stunt/roster
st_be6f6bbaada9,Trinity,Brazel,Social Work,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Laurens, Iowa",Laurens,IA,domestic,Pocahontas Area,0,https://bvuathletics.com/sports/stunt/roster
st_efb10c27c04f,Hazel,Keith,Political Science,,"5'4""",64.0,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Jr.,Jr,"Cedar Falls, Iowa",Cedar Falls,IA,domestic,Cedar Falls,0,https://bvuathletics.com/sports/stunt/roster
st_a7f5df75bc94,Alexis,Harris,Social Work,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Schuyler, Neb.",Schuyler,NE,domestic,David City,0,https://bvuathletics.com/sports/stunt/roster
st_3b7bda3397ee,Hannah,Barker,Criminal Justice and Social Work,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Jr.,Jr,"Britt, Iowa",Britt,IA,domestic,West Hancock,0,https://bvuathletics.com/sports/stunt/roster
st_b5e7da730ddc,Belen,Rodriguez,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Sr.,Sr,"Estherville, Iowa",Estherville,IA,domestic,Estherville Lincoln Central,0,https://bvuathletics.com/sports/stunt/roster
st_c9acd5e2674f,Linda,Padilla,Rehab Health Sciences,,"4'11""",59.0,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Storm Lake, Iowa",Storm Lake,IA,domestic,Storm Lake,0,https://bvuathletics.com/sports/stunt/roster
st_7c2bc815d712,Keesha,Lindemann,Criminal Justice,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Sanborn, Iowa",Sanborn,IA,domestic,Sheldon,0,https://bvuathletics.com/sports/stunt/roster
st_9bd81d5aa9cb,Addison,Halverson,Biology (Pre-Vet),,"5'4""",64.0,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Jr.,Jr,"Onawa, Iowa",Onawa,IA,domestic,West Monona,0,https://bvuathletics.com/sports/stunt/roster
st_bf8492163e5b,Payton,Young,,Indian Hills CC,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Sr.,Sr,Sr.,Sr.,,international,,0,https://bvuathletics.com/sports/stunt/roster
st_113b7291babe,Kendall,Dahle,Biomedical Science,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Lake Mills, Iowa",Lake Mills,IA,domestic,Lake Mills,0,https://bvuathletics.com/sports/stunt/roster
st_80df83040ca2,Allison,Martin,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,So.,So.,,international,,0,https://bvuathletics.com/sports/stunt/roster
st_98754a65dd33,Eva,Bruns,Education,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Waverly, Iowa",Waverly,IA,domestic,Waverly-Shell Rock,0,https://bvuathletics.com/sports/stunt/roster
st_0c8586d3ac1c,Hadley,Crist,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Palo, Iowa",Palo,IA,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_f1b5a575c8bf,Zahra,Davis,Biology,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Des Moines, Iowa",Des Moines,IA,domestic,Ankeny,0,https://bvuathletics.com/sports/stunt/roster
st_c424a5d8ecca,Joselyn,Factor,Criminal Justice,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Charter Oak, Iowa",Charter Oak,IA,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_079c0c4efe73,Yamilet,Flores-Galvez,Nursing,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Ida Grove, Iowa",Ida Grove,IA,domestic,OABCIG,0,https://bvuathletics.com/sports/stunt/roster
st_b2b4158779e1,Marifer,Garcia,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"South Sioux City, Neb.",South Sioux City,NE,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_b43563f84e95,Amaulah,Gardfrey,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Sheldon, Iowa",Sheldon,IA,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_2651227400f8,Danielle,Jepson,Conservation Law Enforcement,Morningside University,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Storm Lake, Iowa",Storm Lake,IA,domestic,Storm Lake,0,https://bvuathletics.com/sports/stunt/roster
st_d87912fa4c27,Jennifer,Karsjens,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Britt, Iowa",Britt,IA,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_5fc22ac640b5,Jasmine,Kooima,Elementary Education,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Rock Valley, Iowa",Rock Valley,IA,domestic,Western Christian,0,https://bvuathletics.com/sports/stunt/roster
st_1b052e8d5054,Danielle,Mielke,Biology,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,So.,So,"Graettinger, Iowa",Graettinger,IA,domestic,GTRA,0,https://bvuathletics.com/sports/stunt/roster
st_7a5db1af82a2,Jaysalynn,Moon,Nursing,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Indianola, Iowa",Indianola,IA,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_0db60fa89f8b,Valeria,Najera-Torres,Computer Science,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Holstein, Iowa",Holstein,IA,domestic,Ridge View,0,https://bvuathletics.com/sports/stunt/roster
st_ca8e25ccb1e0,Mariella,Richards-Hernandez,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Red Oak, Iowa",Red Oak,IA,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_f79e039c12fc,Brenna,Ross,Criminal Justice (Forensic Science),,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Ringstead, Iowa",Ringstead,IA,domestic,North Union,0,https://bvuathletics.com/sports/stunt/roster
st_788df4fc7a4b,Alicia,Sanchez,,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Estherville, Iowa",Estherville,IA,domestic,,0,https://bvuathletics.com/sports/stunt/roster
st_08ea32762ea1,Madison,Singbeil,Pre-Vet,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Solon, Iowa",Solon,IA,domestic,Solon,0,https://bvuathletics.com/sports/stunt/roster
st_6bb26cfb74eb,Malia,Urban,Elementary Education,,,,,,stunt,2025-26,2026,D3,Women,American Rivers Conference,Buena Vista,,Athlete,Fr.,Fr,"Callender, Iowa",Callender,IA,domestic,Southeast Valley,0,https://bvuathletics.com/sports/stunt/roster
st_bc399f58fea6,Enza,Visco,Self-Directed,,5-6,66.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Tumbler,Athlete,So.,So,"Riverside, Calif.",Riverside,CA,domestic,California School,0,https://gallaudetbison.com/sports/stunt/roster/2026
st_8d1fef51bd2d,Ciarra,Tate,,,5-1,61.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Base,Athlete,So.,So,"Pembroke Pines, Fla.",Pembroke Pines,FL,domestic,Franklin Academy,1,https://gallaudetbison.com/sports/stunt/roster/2026
st_fce23ab11a65,Alma,Robinson,Business Adminstration,,5-7,67.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Flyer,Athlete,Fy.,Fr,"Austin, Texas",Austin,TX,domestic,Texas School,0,https://gallaudetbison.com/sports/stunt/roster/2026
st_e39392101a5c,Nicholle,Bradach,,,5-3,63.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Tumbler/ Flyer,Athlete,So.,So,"Fishers, Ind.",Fishers,IN,domestic,Indiana School,0,https://gallaudetbison.com/sports/stunt/roster/2026
st_54395a56e746,Reza,Mosher,American Sign Language,,5-5,65.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Flyer,Athlete,So.,So,"Danville, Calif.",Danville,CA,domestic,California School,0,https://gallaudetbison.com/sports/stunt/roster/2026
st_bdadc46c029f,Natalie,Greene,Information Technology,,6-2,74.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Back Spotter,Athlete,Fy.,Fr,"Houston, Texas",Houston,TX,domestic,Willowridge,0,https://gallaudetbison.com/sports/stunt/roster/2026
st_589e9f5b23ba,Luisa,Skjeveland,,,5-7,67.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Tumbler/ Back Spotter,Athlete,So.,So,Carmel. Ind.,Carmel. Ind.,,international,Indiana School,0,https://gallaudetbison.com/sports/stunt/roster/2026
st_2ae8a265d277,Noelle,Jones,Education,,5-1,61.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Tumbler,Athlete,Fy.,Fr,"Hatfield, Pa.",Hatfield,PA,domestic,Pennsylvania School,0,https://gallaudetbison.com/sports/stunt/roster/2026
st_06514200ef27,Annabelle,Abenchuchan,,,5-2,62.0,,,stunt,2025-26,2026,D3,Women,Independent,Gallaudet,Base,Athlete,Fy.,Fr,"St. Augustine, Fla.",St. Augustine,FL,domestic,Florida School,0,https://gallaudetbison.com/sports/stunt/roster/2026
