athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
sw_58a501008caa,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,Free/IM,Multi,Fr.,Fr,"Elkridge, Md.",Elkridge,MD,domestic,Long Reach,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_67c0a53dda3d,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,Free/Fly,Multi,Fr.,Fr,"Novi Sad, Serbia",Novi Sad,,international,E-General,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_565296eaa4e7,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,Free/Fly,Multi,Fr.,Fr,"York, Pa.",York,PA,domestic,Dallastown,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_a6259e33859c,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,Breast/IM,Multi,So.,So,"Lancaster, Pa.",Lancaster,PA,domestic,Manheim Township,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_7585fe413af1,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,,UNK,Sr.,Sr,"Reading, Pa.",Reading,PA,domestic,Wilson,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_6aaf22e08ded,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,,UNK,So.,So,"Allentown, Pa.",Allentown,PA,domestic,Emmaus,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_ee8b960ccd94,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,,UNK,Jr.,Jr,"Mayfield, Pa.",Mayfield,PA,domestic,Lakeland,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_aec042c01ea9,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,Free/Back/IM,Multi,Fr.,Fr,"Webster, Texas",Webster,TX,domestic,Clear Brook,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_e8606834c19f,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,,UNK,Sr.,Sr,"Trenton, Mich.",Trenton,MI,domestic,Trenton,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_d3d02c94cbc6,swimming,2025-26,2025-26,D2,Women,Pennsylvania State Athletic Conference,Millersville,,UNK,Sr.,Sr,"Delran, N.J.",Delran,NJ,domestic,Delran,0,https://millersvilleathletics.com/sports/womens-swimming-and-diving/roster/2025-26
