athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ten_fec53bfab744,tennis,2025-26,2026,D3,Men,Northeast Conference,Saint Francis,"6'5""",Player,So.,So,"Altoona, Pa.",Altoona,PA,domestic,Altoona Area,0,https://sfuathletics.com/sports/mens-tennis/roster
ten_655414a21257,tennis,2025-26,2026,D3,Men,Northeast Conference,Saint Francis,"5'11""",Player,So.,So,"Bethlehem, Pa.",Bethlehem,PA,domestic,Saucon Valley High School,0,https://sfuathletics.com/sports/mens-tennis/roster
ten_d47fef24ff88,tennis,2025-26,2026,D3,Men,Northeast Conference,Saint Francis,"5'10""",Player,Jr.,Jr,"Bethlehem, Pa.",Bethlehem,PA,domestic,Freedom High School,0,https://sfuathletics.com/sports/mens-tennis/roster
ten_b703ee61265e,tennis,2025-26,2026,D3,Men,Northeast Conference,Saint Francis,"6'4""",Player,Sr.,Sr,"Cagus, Puerto Rico",Cagus,PR,domestic,Notre Dame,0,https://sfuathletics.com/sports/mens-tennis/roster
ten_f44e4d068157,tennis,2025-26,2026,D3,Men,Northeast Conference,Saint Francis,"5'7""",Player,Jr.,Jr,"Bengaluru, India",Bengaluru,,international,Clarence,0,https://sfuathletics.com/sports/mens-tennis/roster
ten_6b00de2e2f3b,tennis,2025-26,2026,D3,Men,Northern Athletics Collegiate Conference,St Norbert,,Player,Sr.,Sr,"De Pere, Wis.",De Pere,WI,domestic,De Pere,0,https://athletics.snc.edu/sports/mens-tennis/roster/2026
ten_6c3688f8467b,tennis,2025-26,2026,D3,Men,Northern Athletics Collegiate Conference,St Norbert,,Player,Jr.,Jr,"Green Bay, Wis.",Green Bay,WI,domestic,Laurel Springs,0,https://athletics.snc.edu/sports/mens-tennis/roster/2026
ten_27c7096edd3e,tennis,2025-26,2026,D3,Men,Northern Athletics Collegiate Conference,St Norbert,,Player,Fr.,Fr,"Green Bay, Wis.",Green Bay,WI,domestic,Laurel Springs,0,https://athletics.snc.edu/sports/mens-tennis/roster/2026
ten_0d4ef161a281,tennis,2025-26,2026,D3,Men,Northern Athletics Collegiate Conference,St Norbert,,Player,Sr.,Sr,"De Pere, Wis.",De Pere,WI,domestic,De Pere,0,https://athletics.snc.edu/sports/mens-tennis/roster/2026
ten_5aab712248f1,tennis,2025-26,2026,D3,Men,Northern Athletics Collegiate Conference,St Norbert,,Player,So.,So,"Wauwatosa, Wis.",Wauwatosa,WI,domestic,Marquette University High School,0,https://athletics.snc.edu/sports/mens-tennis/roster/2026
