athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ten_900c38fb3c1b,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Senior,Sr,"Kirkland, Wash.",Kirkland,WA,domestic,Connections Academy,1,https://hokiesports.com/sports/womens-tennis/roster
ten_6b9eb4d312b9,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Sophomore,So,"Lima, Peru",Lima,,international,Liceo Naval Almirante Guise,0,https://hokiesports.com/sports/womens-tennis/roster
ten_1f223808eb22,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Senior,Sr,"Bad Tölz, Germany",Bad Tölz,,international,Bayside High School,0,https://hokiesports.com/sports/womens-tennis/roster
ten_8e8322ec9e7e,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Sophomore,So,"Lynchburg, Va.",Lynchburg,VA,domestic,Virginia Episcopal School,0,https://hokiesports.com/sports/womens-tennis/roster
ten_0c4584fea3d3,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Sophomore,So,"Hilton Head Island, S.C.",Hilton Head Island,SC,domestic,Connections Academy,1,https://hokiesports.com/sports/womens-tennis/roster
ten_bae310556de5,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Junior,Jr,"Milton, Ga.",Milton,GA,domestic,Rivers Academy,1,https://hokiesports.com/sports/womens-tennis/roster
ten_271f3cc91545,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Sophomore,So,"Kyiv, Ukraine",Kyiv,,international,Optima Osvita,0,https://hokiesports.com/sports/womens-tennis/roster
ten_a4bb8d8a7339,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Sophomore,So,"London, England",London,,international,Putney High,0,https://hokiesports.com/sports/womens-tennis/roster
ten_2f0b4fae619f,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Virginia Tech,,Player,Junior,Jr,"New York, N.Y.",New York,NY,domestic,Laurel Springs School,0,https://hokiesports.com/sports/womens-tennis/roster
ten_e88347a7318e,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,Jr.,Jr,"New York, N.Y.",New York,NY,domestic,,0,https://bceagles.com/sports/womens-tennis/roster
ten_1b3ed8a8e857,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,Jr.,Jr,"Rosedale, N.Y.",Rosedale,NY,domestic,Benjamin N. Cardozo,0,https://bceagles.com/sports/womens-tennis/roster
ten_ddec95e80040,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,So.,So,"Wayland, MA",Wayland,MA,domestic,Dwight Global,0,https://bceagles.com/sports/womens-tennis/roster
ten_150b61928783,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,So.,So,"Kennebunkport, ME",Kennebunkport,ME,domestic,Maine Connections Academy,1,https://bceagles.com/sports/womens-tennis/roster
ten_b6c61d89412e,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,Sr.,Sr,"Glen Head, N.Y.",Glen Head,NY,domestic,Jericho High School,0,https://bceagles.com/sports/womens-tennis/roster
ten_bc86bcdfeba4,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,Jr.,Jr,"Toronto, Ontario",Toronto,,international,Bill Crothers Secondary School,0,https://bceagles.com/sports/womens-tennis/roster
ten_c9cbbd55fca4,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,Sr.,Sr,"Bellevue, WA",Bellevue,WA,domestic,The Bear Creek School,0,https://bceagles.com/sports/womens-tennis/roster
ten_e88347a7318e_2,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Boston College,,Player,Jr.,Jr,"New York, N.Y. Olivia Benton",New York,,international,Gian Octa,0,https://bceagles.com/sports/womens-tennis/roster
ten_8487b1aeb42b,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Florida St.,,Player,So.,So,"Sugar Hill, Ga.",Sugar Hill,GA,domestic,North Gwinnett High School,0,https://seminoles.com/sports/wten/roster
ten_86b5b12c08e4,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Florida St.,,Player,R-Sr.,Sr,"Bath, England",Bath,,international,Ralph Allen School,0,https://seminoles.com/sports/wten/roster
ten_a5caf6a41577,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Florida St.,,Player,Jr.,Jr,"Maitland, Fla.",Maitland,FL,domestic,,0,https://seminoles.com/sports/wten/roster
ten_1e8668603772,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Florida St.,,Player,So.,So,"Newcastle upon Tyne, Great Britain",Newcastle upon Tyne,,international,Loughborough Amherst School,0,https://seminoles.com/sports/wten/roster
ten_8eb15dfa9dd1,tennis,2025-26,2026,D1,Women,Atlantic Coast Conference,Florida St.,,Player,Sr.,Sr,"Munich, Germany",Munich,,international,Institut für Lernsysteme,0,https://seminoles.com/sports/wten/roster
