athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ten_b7262fc92b36,Augustina,Abdo,Deciding,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,So.,So,"Quito, Ecuador",Quito,,international,Liceo International,0,https://lopers.com/sports/womens-tennis/roster
ten_84d34dfb1e16,Jasmine,Ben Aba,Deciding,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,Jr.,Jr,"La Marsa, Tunisia",La Marsa,,international,,0,https://lopers.com/sports/womens-tennis/roster
ten_dd1e9b5269ad,Patricija,Cechanaviciute,,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,So.,So,Lithuania,Lithuania,,international,,0,https://lopers.com/sports/womens-tennis/roster
ten_6e149f7854b3,Fabiana,Gamboa,Business Administration,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,Sr.,Sr,"Maracaibo, Venezuela",Maracaibo,,international,,0,https://lopers.com/sports/womens-tennis/roster
ten_85bf24f4727b,Hannah,Klaiber,Deciding,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,So.,So,"Pfullingen, Germany",Pfullingen,,international,Friedrich-Schiller Gymnasium,0,https://lopers.com/sports/womens-tennis/roster
ten_5e60dbf24075,Kit,Schrock,Deciding,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,Fr.,Fr,"Kearney, NE",Kearney,NE,domestic,Kearney Catholic,0,https://lopers.com/sports/womens-tennis/roster
ten_8522185f60a5,Stella,Stempson,Deciding,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,Fr.,Fr,"Lincoln, NE",Lincoln,NE,domestic,Lincoln East,0,https://lopers.com/sports/womens-tennis/roster
ten_ffc509b78484,Julia,Wartecka,Psychology,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,Sr.,Sr,"Trzebiszewo, Poland",Trzebiszewo,,international,AZS Pozna,0,https://lopers.com/sports/womens-tennis/roster
ten_8736e478c013,Valentina,Zamora,Deciding,,,,,,tennis,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Player,So.,So,"Santa Cruz, Bolivia",Santa Cruz,,international,Santa Cruz International,0,https://lopers.com/sports/womens-tennis/roster
ten_d0b65edf9c04,Luci,Consigliere,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,Sr.,Sr,"Granada, Spain",Granada,,international,Dulce Nombre de Maria PP Escolapios,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_84a2b0f9ddf4,Duda,Coutinho Barreto,,,5-7,67.0,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,So.,So,"Rio de Janeiro, Brazil",Rio de Janeiro,,international,Colegio Reino,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_f611efc50abf,Callie,Culbertson,,,5-3,63.0,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,So.,So,"Carlisle, Pa.",Carlisle,PA,domestic,Carlisle,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_56c608195862,Mia,Gassert,,,5-6,66.0,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,So.,So,"Shoemakersville, Pa.",Shoemakersville,PA,domestic,Hamburg Area,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_4115d8408a76,Hailey,Guerrero,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,Jr.,Jr,"Reading, Pa.",Reading,PA,domestic,Reading,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_4f7bb85b6ece,Lauren,Hayes,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,Sr.,Sr,"Jasper, Ind.",Jasper,IN,domestic,Mountain Vista (Colo.),0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_292b653e9361,Marian,Hayes,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,So.,So,"Jasper, Ind.",Jasper,IN,domestic,Jasper,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_1ddb86e2d394,Anna,Lauerer,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,So.,So,"Darmstadt, UN",Darmstadt,,international,,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_565b5bac8440,Jade,Miller,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,Fr.,Fr,,,,unknown,,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_97a471e96230,Annika,Rojas,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,Sr.,Sr,"Ft. Lauderdale, Fla.",Ft. Lauderdale,FL,domestic,Rafa Nadal International School,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_fd7725d17d28,Olivia,Roth,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Player,Sr.,Sr,"McSherrystown, Pa.",McSherrystown,PA,domestic,Delone Catholic,0,https://millersvilleathletics.com/sports/womens-tennis/roster
ten_13cd61fb1a17,Nadia,Cases Mundet,,Frederic Mistral School,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,Jr.,Jr,"Barcelona, Spain",Barcelona,,international,Frederic Mistral School,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_6bc872047dd0,Daniela,de Lucas Rivera,,Colegio Filipenses Sagrado Corazon de Jesus,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,Jr.,Jr,"Madrid, Spain",Madrid,,international,Colegio Filipenses Sagrado Corazon de Jesus,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_184e35b76ee4,Terez,Drasilova,,ES American School,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,Fr.,Fr,"Naples, Fla.",Naples,FL,domestic,ES American School,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_9236c2b11db6,Abril,Manas Hernandez,,,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,So.,So,"Barcelona, Spain",Barcelona,,international,,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_a2fabda1ad10,Asli,Oktay,,,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,So.,So,"Istanbul, Turkey",Istanbul,,international,,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_8b0fc1ab224a,Kavya,Singh,,West Liberty University (W.Va.),,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,Sr.,Sr,"Agra, India",Agra,,international,,,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_cd5cd11c9b8b,Ariadna,Solis Guals,,IES D'Auro,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,Jr.,Jr,"Santpedor, Spain",Santpedor,,international,IES D'Auro,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_192462fd5dd3,Abby,VanPelt,,,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,So.,So,"Austin, Minn.",Austin,MN,domestic,,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_ee0467a0c7f0,Katie,VanPelt,,,,,,,tennis,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Player,So.,So,"Austin, Minn.",Austin,MN,domestic,,0,https://goldeneaglesports.com/sports/womens-tennis/roster/2026
ten_b905418f440a,Marianna,Brooks,,,,,,,tennis,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Virginia Union,"5'10""",Player,Jr.,Jr,"Laurel, MD",Laurel,MD,domestic,Reservoir HS,0,https://vuusports.com/sports/womens-tennis/roster/2026
ten_16c1a3b49e95,Madison,Hill,Finance,Lincoln (PA) University,,,,,tennis,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Virginia Union,,Player,Jr.,Jr,"Laurel, MD",Laurel,MD,domestic,Reservoir HS,0,https://vuusports.com/sports/womens-tennis/roster/2026
ten_63d99c4c2677,Bethany,Himalaya,Criminal Justice,,,,,,tennis,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Virginia Union,,Player,Sr.,Sr,"Kapolei, HI",Kapolei,HI,domestic,Kapolei HS,0,https://vuusports.com/sports/womens-tennis/roster/2026
ten_be0e563004f5,Maya,Mercer,Business Marketing,,,,,,tennis,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Virginia Union,,Player,So.,So,"Newport News, VA",Newport News,VA,domestic,Warwick HS,0,https://vuusports.com/sports/womens-tennis/roster/2026
ten_88961eed3e8b,Andrea,Sanjurjo,Health Sciences,,5-10,70.0,,,tennis,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Virginia Union,"5'10""",Player,Gr.,Gr,"Carolina, PR",Carolina,PR,domestic,Leilehua HS,0,https://vuusports.com/sports/womens-tennis/roster/2026
ten_9d63eed54c68,Alana,Simmons,Computer Information Systems,,,,,,tennis,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Virginia Union,,Player,Jr.,Jr,"Upper Marlboro, MD",Upper Marlboro,MD,domestic,St. Frances HS,0,https://vuusports.com/sports/womens-tennis/roster/2026
ten_ba2f032a430a,Briana,Velinor,,,5-6,66.0,,,tennis,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Virginia Union,"5'6""",Player,Sr.,Sr,"Sennery, St. Lucia",Sennery,,international,,0,https://vuusports.com/sports/womens-tennis/roster/2026
ten_461670580a7f,Sofia,Benito,,,5-4,64.0,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,PennWest Edinboro,"5'4""",Player,So.,So,"Madrid, Spain",Madrid,,international,Colegio San Gabriel,0,https://gofightingscots.com/sports/womens-tennis/roster
ten_c05dedd1183d,Olivia,Brown,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,PennWest Edinboro,,Player,Fr.,Fr,"Aukland, New Zealand",Aukland,,international,Macleans College,0,https://gofightingscots.com/sports/womens-tennis/roster
ten_f252be143193,Cecilia,Carayol,,French Touch Academy,5-5,65.0,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,PennWest Edinboro,"5'5""",Player,Sr.,Sr,"Aussac, France",Aussac,,international,French Touch Academy,1,https://gofightingscots.com/sports/womens-tennis/roster
ten_cf457c3ccdfa,Izzy,Hanek,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,PennWest Edinboro,,Player,Sr.,Sr,"Jefferson, Ohio",Jefferson,OH,domestic,Jefferson Area,0,https://gofightingscots.com/sports/womens-tennis/roster
ten_76b6bd05f0cd,Luciana,Ponce,,,5-6,66.0,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,PennWest Edinboro,"5'6""",Player,Gr.,Gr,"Tarija, Bolivia",Tarija,,international,La Salle High School,0,https://gofightingscots.com/sports/womens-tennis/roster
ten_a809310d6411,Neza,Rogl,,,,,,,tennis,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,PennWest Edinboro,,Player,Fr.,Fr,"Ljubljana, Slovenia",Ljubljana,,international,Gimnazija Bežigrad,0,https://gofightingscots.com/sports/womens-tennis/roster
ten_2746d2d2b198,Molly,Bennett,,Jones College,5-6,66.0,,,tennis,2025-26,2026,D2,Women,Gulf South Conference,Mississippi College,"5'6""",Player,Sr.,Sr,"Madison, Miss",Madison,MS,domestic,Madison Central,0,https://www.gochoctaws.com/sports/womens-tennis/roster
ten_8b759b0d46ff,Emily,Buchanan,,Dallas Baptist,6-1,73.0,,,tennis,2025-26,2026,D2,Women,Gulf South Conference,Mississippi College,"6'1""",Player,Sr.,Sr,"Jackson, Miss",Jackson,MS,domestic,Jackson Academy,1,https://www.gochoctaws.com/sports/womens-tennis/roster
ten_39a253d6a70e,Lilly-Sophia,Fule,,,,,,,tennis,2025-26,2026,D2,Women,Gulf South Conference,Mississippi College,,Player,Fr.,Fr,,,,unknown,,0,https://www.gochoctaws.com/sports/womens-tennis/roster
ten_777c92aa51e1,Mariana,Munoz,,Colegio Peruano Britanico,5-5,65.0,,,tennis,2025-26,2026,D2,Women,Gulf South Conference,Mississippi College,"5'5""",Player,So.,So,"Lima, Peru",Lima,,international,Colegio Peruano Britanico,0,https://www.gochoctaws.com/sports/womens-tennis/roster
