athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tfi_651beee54a19,Nick,Abdalla,Aviation Systems Mgmt.,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Distance,Distance,Sr.,Sr,"Omaha, NE",Omaha,NE,domestic,Omaha South,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_29e955fd2d55,Parker,Ablott,Industrial Distribution,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,High Jump,Jumps,Fr.,Fr,"Hastings, NE",Hastings,NE,domestic,Hastings,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_60e56fa20c8a,Oscar,Aguado-Mendez,Physics,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Distance,Distance,Jr.,Jr,"Lexington, NE",Lexington,NE,domestic,Lexington,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_35ecb1144225,Jaren,Aurand,Deciding,Cloud County C.C.,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Throws,Throws,Jr.,Jr,"Courtland, KS",Courtland,KS,domestic,Pike Valley,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_47ffcec30612,Tyson,Baker,Exercise Science,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Middle Distance,Distance,R-Jr.,Jr,"Fremont, NE",Fremont,NE,domestic,Fremont,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_9c5f08ec9abe,Rylan,Basart,Physics (Engineering),,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Javelin,Throws,Sr.,Sr,"Stockton, KS",Stockton,KS,domestic,Stockton,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_2e34baa71c4a,Brennen,Bhave,Biology,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Distance,Distance,Fr.,Fr,"Ames, IA",Ames,IA,domestic,Ames,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_f5a1491fe24f,Sam,Boettcher,Elementary Ed K-6,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Throws,Throws,R-So.,So,"Ord, NE",Ord,NE,domestic,Ord,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_ba4d479b58b5,Tanner,Bolte,Business Administration (Mgmt.),,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Throws,Throws,R-Fr.,Fr,"Bruning, NE",Bruning,NE,domestic,Bruning-Davenport-Shickley,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_b26947f117b2,Luke,Brachle,Deciding,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,High Jump/Hurdles,Multi,Fr.,Fr,"Kearney, NE",Kearney,NE,domestic,Kearney,0,https://lopers.com/sports/mens-track-and-field/roster
tfi_255a3f0f6665,Joshua,Bradley,P.E. 7-12 Education,,,,,,track_indoor,2025-26,2025-26,D2,Men,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,Distance,Distance,Fr.,Fr,"Lincoln, NE",Lincoln,NE,domestic,Lincoln Southeast,0,https://lopers.com/sports/mens-track-and-field/roster
