athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tfi_5831e9554bdb,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Pole Vault,Vault,Jr.,Jr,"Altoona, Pa.",Altoona,PA,domestic,Bellwood-Antis,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_c1b16d4cfbaf,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Jumps,Jumps,Fr.,Fr,"Roaring Spring, Pa.",Roaring Spring,PA,domestic,Central Martinsburg,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_77fbffc188e8,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Jumps,Jumps,So.,So,"Palmrya, Va.",Palmrya,VA,domestic,Fork Union Military Academy,1,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_3917d91afaab,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Distance,Distance,Sr.,Sr,"Somerset, Pa.",Somerset,PA,domestic,Somerset,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_4e7297a0c204,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Distance,Distance,Fr.,Fr,"Maytown, Pa.",Maytown,PA,domestic,Donegal,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_51cc8b0d32fa,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Throws,Throws,Fr.,Fr,"Ellicott City, Md.",Ellicott City,MD,domestic,Centennial,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_72ca93329044,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Throws,Throws,So.,So,"Johnstown, Pa.",Johnstown,PA,domestic,Richland,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_2ed3cdbfe29d,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Jumps,Jumps,Jr.,Jr,"Johnstown, Pa.",Johnstown,PA,domestic,Ferndale,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_c5a09a400884,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Jumps,Jumps,So.,So,"Tualatin, Ore.",Tualatin,OR,domestic,Tualatin,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_765aa6e209c7,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Distance,Distance,Gr.,Gr,"Philadelphia, Pa.",Philadelphia,PA,domestic,Father Judge,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_86f971bc225f,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Jumps,Jumps,Fr.,Fr,"Culpeper, Va.",Culpeper,VA,domestic,Culpeper,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_d0e6f6715aa5,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Throws,Throws,So.,So,"Narragansett, R.I.",Narragansett,RI,domestic,Narragansett,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_46ece5dd3bc2,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Distance,Distance,So.,So,"New Berlin, Pa.",New Berlin,PA,domestic,Mifflinburg,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_dd7579893f67,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Distance,Distance,So.,So,"Calvin, Pa.",Calvin,PA,domestic,Southern Huntingdon,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_3c6c03d2fcc4,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Sprints/Jumps,Multi,So.,So,"Bowie, Md.",Bowie,MD,domestic,Bishop McNamara,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_cfbd75d9af7a,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Distance,Distance,Jr.,Jr,"Saint Marys, PA",Saint Marys,PA,domestic,Saint Marys,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_5ea1d35cb10b,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Throws,Throws,Sr.,Sr,"Holidaysburg, Pa.",Holidaysburg,PA,domestic,Holidaysburg Area,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_420bd8c0ced2,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Throws,Throws,So.,So,"Whitehall, Pa.",Whitehall,PA,domestic,Allentown Central Catholic,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_7d4286aac829,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Sprints,Sprints,Fr.,Fr,"Waldorf, Md.",Waldorf,MD,domestic,DeMatha Catholic,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_4686834248bb,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Sprints,Sprints,Fr.,Fr,"London, United Kingdom",London,,international,Bethesda Chevy-Chase,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_dd09fd9bce2c,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Sprints,Sprints,So.,So,"Irwin, Pa.",Irwin,PA,domestic,Norwin,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_ad96f29cf0ce,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Throws,Throws,So.,So,"Harrisburg, Pa.",Harrisburg,PA,domestic,Susquenita,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
tfi_3600ca436851,track_indoor,2025-26,2025-26,D3,Men,Northeast Conference,Saint Francis,Sprints,Sprints,Sr.,Sr,"Middletown, N.J.",Middletown,NJ,domestic,Middletown North,0,https://sfuathletics.com/sports/mens-track-and-field/roster/2025-26
