athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tfi_ec13f3989c11,Selma,Anderson,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,So.,So,"Allendale, Mich.",Allendale,MI,domestic,Ottawa Hills,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_883738c0eabb,Lauren,Augustyn,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,So.,So,"Mansfield, Mass.",Mansfield,MA,domestic,Bishop Feehan,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_cd4aad0e52b1,Leah,Bello,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Fr.,Fr,"Miami, Fla.",Miami,FL,domestic,Mourning,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_ee8d563b1b3c,Lizzie,Bigelow,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Sr.,Sr,"Storrs, CT",Storrs,CT,domestic,EO Smith,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_894fdcb2fb8e,Samantha,Bloch,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,RF,UNK,"West Bloomfield, Mich.",West Bloomfield,MI,domestic,Walled Lake Northern,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_d16c78929b00,Maisie,Burns,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,So.,So,"Lancashire, UK",Lancashire,,international,,,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_5f45af52357c,Taleea,Buxton,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Jr.,Jr,,,,unknown,Bishop McDevitt High School,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_4c7e40ccb285,Madison,Ceasar,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,So.,So,"Houston, Texas",Houston,TX,domestic,Cy-Fair,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_1a97b21456bf,Emeline,Clark,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Fr.,Fr,,,,unknown,Monroe-Woodbury,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_cf542ea81beb,Mackenzie,Cook,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Fr.,Fr,"Madbury, N.H.",Madbury,NH,domestic,Oyster River,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_b7e9f05026fd,Abigail,Craig,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,R-Sr.,Sr,"San Antonio, Texas",San Antonio,TX,domestic,San Antonio Christian,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_79eaa2e36f3a,Emma,Eastman,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,D,Other,R-Sr.,Sr,"Sandwich, MA",Sandwich,MA,domestic,Sandwich,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_a58e6f1383c9,Beatriz,Fernandes,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,R-Jr.,Jr,"Lisbon, Portugal",Lisbon,,international,Jose Augusto Lucas Secondary,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_2a00b3137bb4,Grace,Finnegan,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,R-Fr.,Fr,"Rockville, Md.",Rockville,MD,domestic,Richard Montgomery,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_ff4febe00012,Shayla,Ford,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Jr.,Jr,,,,unknown,,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_130390d4968d,Billie,Frazier,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Fr.,Fr,"Sicklerville, N.J.",Sicklerville,NJ,domestic,Timber Creek,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
tfi_1a84b7bc7763,Leah,Futey,,,,,,,track_indoor,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Syracuse,,UNK,Jr.,Jr,"Rio Rancho, NM",Rio Rancho,NM,domestic,Cleveland,0,https://cuse.com/sports/womens-track-and-field/roster/2025-26
