athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tfi_95e1604034ea,Gianna,Anderson,Biology (Pre-Vet),,5-4,64.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Jr.,Jr,"Rostraver Township, Pa.",Rostraver Township,PA,domestic,Belle Vernon,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_ed0360dbda30,Adraya,Baxter,Health Science (PA),,5-7,67.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Sprints/Hurdles,Multi,Fr.,Fr,"Butler, Pa.",Butler,PA,domestic,Butler,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_16ecfa480282,Olivia,Brown,Exploratory,,5-6,66.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Fr.,Fr,"Homer City, Pa.",Homer City,PA,domestic,Bishop Mccort,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_bc6f9a25710f,Sarah,Colman,Nursing,,5-5,65.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Jr.,Jr,"Westlake, Ohio.",Westlake,OH,domestic,Westlake,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_cf55e13d76b5,Nina,Connors,Nursing,,5-8,68.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,So.,So,"Adamstown, Md.",Adamstown,MD,domestic,Tuscarora,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_e9f8298cf89b,Jordan,Dean,Nursing,,5-6,66.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Jr.,Jr,"Waynesburg, Pa.",Waynesburg,PA,domestic,Waynesburg,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_c8d203bcc94d,Gabriella,del Pielago,Exploratory Studies (Health & Human Services),,5-4,64.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Sprints,Sprints,Jr.,Jr,"York, Pa.",York,PA,domestic,York Suburban,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_b001dae2bd88,Paige,Drake,Nursing,,5-2,62.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Sprints,Sprints,Sr.,Sr,"Monaca, Pa.",Monaca,PA,domestic,Central Valley,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_08586c120b27,Karsyn,Ford,Health Science (PA),,5-1,61.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Fr.,Fr,"Johnstown, Pa.",Johnstown,PA,domestic,Richland,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_829b8a276bcd,Taylor,Foster,Health Science/Occupational Therapy,,5-9,69.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Sr.,Sr,"Harrisburg, Pa.",Harrisburg,PA,domestic,Bishop McDevitt,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_1d40dc4c5ce5,Rosemary,Gaydos,Physician Assistant,,5-4,64.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Fr.,Fr,"Irwin, Pa.",Irwin,PA,domestic,Norwin,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfi_b2582858addb,Delaney,Hall,Health Science (PA),,5-3,63.0,,,track_indoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,So.,So,"Duncansville, Pa.",Duncansville,PA,domestic,Central Martinsburg,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
