athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tfo_95e1604034ea,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Jr.,Jr,"Rostraver Township, Pa.",Rostraver Township,PA,domestic,Belle Vernon,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_ed0360dbda30,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Sprints/Hurdles,Multi,Fr.,Fr,"Butler, Pa.",Butler,PA,domestic,Butler,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_16ecfa480282,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Fr.,Fr,"Homer City, Pa.",Homer City,PA,domestic,Bishop Mccort,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_bc6f9a25710f,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Jr.,Jr,"Westlake, Ohio.",Westlake,OH,domestic,Westlake,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_cf55e13d76b5,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,So.,So,"Adamstown, Md.",Adamstown,MD,domestic,Tuscarora,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_e9f8298cf89b,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Jr.,Jr,"Waynesburg, Pa.",Waynesburg,PA,domestic,Waynesburg,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_c8d203bcc94d,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Sprints,Sprints,Jr.,Jr,"York, Pa.",York,PA,domestic,York Suburban,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_b001dae2bd88,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Sprints,Sprints,Sr.,Sr,"Monaca, Pa.",Monaca,PA,domestic,Central Valley,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_08586c120b27,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Fr.,Fr,"Johnstown, Pa.",Johnstown,PA,domestic,Richland,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_829b8a276bcd,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Sr.,Sr,"Harrisburg, Pa.",Harrisburg,PA,domestic,Bishop McDevitt,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_1d40dc4c5ce5,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Fr.,Fr,"Irwin, Pa.",Irwin,PA,domestic,Norwin,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_b2582858addb,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,So.,So,"Duncansville, Pa.",Duncansville,PA,domestic,Central Martinsburg,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_87ede4d8ebc0,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Event,Other,So.,So,"New Bethlehem, Pa.",New Bethlehem,PA,domestic,Redbank Valley,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_5a98bd938da4,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,So.,So,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,Baldwin,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_dce024475dbe,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Fr.,Fr,"Patton, Pa.",Patton,PA,domestic,Cambria,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_9729b2f00f19,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Throws,Throws,Fr.,Fr,"South Williamsport, Pa.",South Williamsport,PA,domestic,South Williamsport Area,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_f3099bc87480,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,So.,So,"Severna Park, Md.",Severna Park,MD,domestic,Mount De Sales,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_494eba38296d,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Sr.,Sr,"Lower Burrell, Pa.",Lower Burrell,PA,domestic,Burrell,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_a6d15baa0a4f,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Sr.,Sr,"New Cumberland, Pa.",New Cumberland,PA,domestic,Red Land,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_21f9a38fb796,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Jr.,Jr,"Mars, Pa.",Mars,PA,domestic,Eden Christian,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_b85061f83567,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Distance,Distance,Sr.,Sr,"Summerville, Pa.",Summerville,PA,domestic,Clarion-Limestone,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_dcb5f6cb4328,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Throws,Throws,So.,So,"Saint Marys, Pa.",Saint Marys,PA,domestic,Saint Marys,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_1d247c3d901f,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Jumps,Jumps,Fr.,Fr,"Blairsville, Pa.",Blairsville,PA,domestic,River Valley,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_4fd278b75ad8,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Throws,Throws,Jr.,Jr,"Hazlet, N.J.",Hazlet,NJ,domestic,Raritan,0,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
tfo_3467d2b00d0c,track_outdoor,2025-26,2025-26,D3,Women,Northeast Conference,Saint Francis,Throws,Throws,Jr.,Jr,"Elma, N.Y.",Elma,NY,domestic,Buffalo Academy,1,https://sfuathletics.com/sports/womens-track-and-field/roster/2025-26
