athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
vb_38c91b4f712a,Jacob,Bayston,Marketing,Orange Coast College,5-10,70.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,L,Libero/DS,R-Jr.,Jr,"Bradley, IL",Bradley,IL,domestic,Bradley-Bourbonnais Community High School,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_82a8fab1cec6,Willy,Wang,Business Marketing,Long Beach CC,6-1,73.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,S,Setter,Jr.,Jr,"East Palo Alto, CA",East Palo Alto,CA,domestic,Long Beach CC,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_28731e687007,Caleb,Peters,Kinesiology,Simi Valley HS,6-3,75.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,S,Setter,Jr.,Jr,"Simi Valley, CA",Simi Valley,CA,domestic,Simi Valley HS,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_3b6674f31206,Jenson,Wright,Communication,San Luis Obispo HS,6-3,75.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,L,Libero/DS,Jr.,Jr,"San Luis Obispo, CA",San Luis Obispo,CA,domestic,San Luis Obispo HS,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_dd193f720a93,Grant,Dvorak,Business Administration,Irvine Valley College,6-6,78.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,S,Setter,Jr.,Jr,"Santa Ana, CA",Santa Ana,CA,domestic,Corona del Mar High School,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_16a462eb5acc,Koa,Laboy,Kinesiology,University Laboratory School,6-2,74.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,OH,Outside Hitter,Fr.,Fr,"Kailua, HI",Kailua,HI,domestic,University Laboratory School,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_282098fe107f,Logan,Finley,Business Admin.,Buchanan HS,6-4,76.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,OH/OPP,Multi,R-Jr.,Jr,"Clovis, CA",Clovis,CA,domestic,Buchanan HS,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_660e9040c9eb,Gabriel,Repplinger,Kinesiology,Valor Christian HS,6-2,74.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,OH,Outside Hitter,So.,So,"Castle Rock, CO",Castle Rock,CO,domestic,Valor Christian,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_57c44f29d6ad,Grant,Veldman,Business Administration,Carthage,6-9,81.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,OH,Outside Hitter,Jr.,Jr,"Mokena, IL",Mokena,IL,domestic,Chicago Christian High School,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_89b903e8966b,Braddock,Duckworth,Accounting,Sehome HS,6-6,78.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,MB,Middle Blocker,So.,So,"Bellingham, WA",Bellingham,WA,domestic,Sehome HS,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_88fd53f14f68,Brock,Henderson,Business,Orange Coast College,6-9,81.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,S,Setter,R-Sr.,Sr,"San Diego, CA",San Diego,CA,domestic,Del Norte High School,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_6feb5aeb424f,Logan,Freemon,Business Administration,Crescenta Valley HS,6-7,79.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,OPP/OH,Multi,So.,So,"Montrose, CA",Montrose,CA,domestic,Crescenta Valley HS,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_af3dbf1a9733,Cole,Oliver,Business Administration,Hope International,6-5,77.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,OH,Outside Hitter,Sr.,Sr,"Bellflower, CA",Bellflower,CA,domestic,Hope International,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
vb_215317951c4f,Matthew,Pimentel,Business Finance,Valley Christian HS,6-4,76.0,,,volleyball,2025-26,2025,D2,Men,Pacific West Conference,Vanguard,MB,Middle Blocker,Fr.,Fr,"Los Alamitos, CA",Los Alamitos,CA,domestic,Valley Christian,0,https://vanguardlions.com/sports/mens-volleyball/roster/2026
