athlete_id,first_name,last_name,mp,sets,kills,errors,ta,pct,assists,digs,aces,serve_errors,block_solos,block_assists,blocks,recv_errors,points
vb_a41655c85c21,Zoë,Gillen-Malveaux,19,64,106,35,235,0.302,4,,0,0,,,,,139.0
vb_c12fd86291a8,Lauren,Ingram,19,48,7,11,61,-0.066,4,,1,6,,,,,8.5
vb_1b97aea50565,Grace,Thrower,6,6,1,0,1,1.0,0,,0,0,,,,,1.0
vb_7a212c9d0111,Sydney,Tomlak,23,57,0,0,4,0.0,3,,0,0,,,,,0.0
vb_e0f3909264bd,Breonna,Goss,29,88,86,40,280,0.164,7,,4,6,,,,,118.5
vb_ed30e6c052e3,Millie,Muir,21,44,6,1,37,0.135,220,,2,6,,,,,15.5
vb_5eaff8c36579,Taylor,Williams,31,110,331,136,1101,0.177,22,,33,29,,,,,388.0
vb_95ef2507dd81,Mailinh,Godschall,31,112,1,1,15,0.0,138,,30,67,,,,,31.0
vb_b0c6f2e2d5c0,Ashby,Zubchevich,30,102,330,205,883,0.142,22,,31,71,,,,,378.0
vb_93fa3c3272d1,Avery,Hamlin,28,66,98,70,366,0.077,14,,13,19,,,,,120.0
vb_747a039a2367,Christina,Barrow,20,53,3,1,9,0.222,21,,8,13,,,,,11.0
vb_a7912fb4b8cb,Olivia,Wayne,27,82,149,70,437,0.181,4,,8,26,,,,,173.5
vb_392c01e650c7,Ngozi,Iloh,30,106,183,66,458,0.255,7,,11,22,,,,,246.0
vb_f6e308ad829d,Aly,Donoghue,6,6,0,0,0,0.0,1,,0,0,,,,,0.0
vb_5c710bce866a,Charlotte,Glass,31,95,46,18,166,0.169,615,,5,24,,,,,62.5
vb_17dc11abd4f9,Nikki,Quinn,14,36,3,0,7,0.429,169,,2,12,,,,,7.0
vb_90744b8aedd5,Ava,Utterback,20,47,27,11,64,0.25,0,,12,28,,,,,40.5
vb_89d7f22664ac,Kamden,Schrand,33,125,0,1,8,-0.125,82,,34,48,,,,,34.0
vb_7293a331700f,Addison,Makun,8,11,11,6,24,0.208,0,,0,0,,,,,17.0
vb_53d8579c3373,Hannah,Kenny,33,124,2,2,10,0.0,50,,36,40,,,,,38.0
vb_c89bb69a7268,Chloe,Chicoine,33,124,413,94,1145,0.279,62,,15,23,,,,,446.5
vb_71cc9ed8b691,Nayelis,Cabello,32,122,82,27,278,0.198,1271,,25,23,,,,,162.0
vb_4580c1dc7888,Molly,Wilson,26,65,3,1,7,0.286,46,,7,17,,,,,10.0
vb_6219b7f45f59,Hannah,Sherman,33,121,122,48,278,0.266,6,,0,0,,,,,222.5
vb_671adb05279d,Jessica,Drapp,7,7,0,0,0,0.0,0,,0,1,,,,,0.0
vb_c54ccaec8bbe,Cara,Cresse,33,123,301,93,607,0.343,6,,8,5,,,,,414.5
vb_c14b5a01de99,Molly,Urban,15,29,0,0,0,0.0,1,,4,13,,,,,4.0
vb_ea656d9066a3,Alanna,Bankston,7,7,4,3,13,0.077,0,,0,0,,,,,5.0
vb_afd5bd21e51f,Payton,Petersen,33,121,393,159,1011,0.231,32,,16,36,,,,,436.5
vb_da42864b93f7,Kalyssa,Blackshear,32,120,336,80,857,0.299,8,,0,0,,,,,399.5
vb_1735c7f3551b,Reese,Robins,12,22,14,10,44,0.091,1,,0,0,,,,,21.5
vb_a57430383913,Mackenzie,Boyer,4,8,6,1,14,0.357,2,,0,0,,,,,8.5
vb_1ab41ca862a8,Zoe,Behrendt,31,116,6,1,20,0.25,675,,21,22,,,,,28.0
vb_f9b8434c09de,Lauren,Schutter,28,95,69,23,158,0.291,4,,0,0,,,,,140.5
vb_ab20ad5b3339,Erin,Curtis,13,21,2,1,5,0.2,0,,1,8,,,,,3.0
vb_0f5c05847b36,Meghan,Clifford,8,16,13,8,35,0.143,1,,0,1,,,,,25.0
vb_df9f7da75a59,Julia,Bohlinger,31,113,2,0,6,0.333,16,,10,20,,,,,12.0
vb_368e650657a2,Sadie,Swift,4,6,1,1,5,0.0,0,,0,2,,,,,3.5
vb_90bad85dbdc4,Sienna,Cozza,21,74,1,1,7,0.0,347,,17,34,,,,,18.0
vb_cfc997e120e3,Bridget,Malone,23,38,84,26,229,0.253,1,,1,3,,,,,91.5
vb_5865a75b872f,Emily,Bobbitt,14,45,3,2,10,0.1,185,,9,19,,,,,12.0
vb_dcfd05390ce8,Jackie,Taylor,31,115,149,58,347,0.262,7,,29,52,,,,,266.0
vb_fed0fbfa24af,Safi,Hampton,31,114,399,151,1070,0.232,13,,17,23,,,,,440.5
vb_93787e6d80d4,Laynie,Smith,31,117,249,89,593,0.27,4,,0,0,,,,,311.0
vb_012b88966878,Maddy,May,31,117,1,4,14,-0.214,140,,23,17,,,,,24.0
vb_4b507c064f1c,Hailey,Pearce,30,96,233,96,613,0.223,15,,14,26,,,,,272.0
vb_efa160630a82,Cadence,Shea,4,4,0,0,0,0.0,0,,0,1,,,,,0.0
vb_0dc62cfff46b,Chelsea,Thorpe,31,117,318,115,740,0.274,13,,1,1,,,,,365.5
vb_8bcc15fc3a23,Marisse,Turner,4,5,2,0,5,0.4,0,,0,0,,,,,3.0
vb_5a4b5774e149,Veronica,Sierzant,10,27,45,8,104,0.356,66,,2,3,,,,,56.0
vb_9015cc4c268f,Emma,Ortiz,17,51,0,1,1,-1.0,4,,8,12,,,,,8.0
vb_3d531df95a19,Elizabeth,Turner,5,9,9,4,17,0.294,0,,0,3,,,,,10.0
vb_c6e0ab604d1c,Marie,Laurio,23,49,55,36,187,0.102,4,,2,17,,,,,63.0
vb_c814859c998f,Sydnie,Waller,26,85,169,65,428,0.243,4,,0,0,,,,,197.0
vb_179ca86abd74,Skylar,George,30,102,296,157,956,0.145,10,,30,51,,,,,349.0
vb_6f483615c031,Reese,Teves,19,63,1,2,4,-0.25,14,,22,28,,,,,23.0
vb_bb531777b481,Rana,Yamada,30,111,1,0,11,0.091,99,,21,30,,,,,22.0
vb_35570a05aba7,Zharia,Harris-Waddy,24,87,134,37,363,0.267,11,,11,12,,,,,195.0
vb_9731f741f931,Tehya,Maeva,30,109,60,11,161,0.304,1004,,29,33,,,,,114.5
vb_4a1129221bb6,Piper,Willinger,10,18,0,0,0,0.0,11,,5,8,,,,,5.0
vb_43898e14b836,Oreva,Evivie,13,31,22,6,64,0.25,1,,0,0,,,,,36.0
vb_7ee5a940e3a5,Gabriella,McLaughlin,30,111,418,194,1317,0.17,27,,24,23,,,,,465.5
vb_f4328f2407f6,Soana,Lea'ea,30,111,167,72,469,0.203,4,,0,0,,,,,215.5
vb_457d044b8969,Ashlee,Gnau,10,27,0,0,0,0.0,0,,6,8,,,,,6.0
vb_9c6487a4548d,Sophia,Johnson,30,112,3,1,9,0.222,95,399,20,32,0,0,0.0,20,23.0
vb_6cad6aa21955,Ashleigh,Woodruff,4,8,5,3,18,0.111,0,2,0,0,1,4,5.0,0,8.0
vb_f97c9fa1c6e7,Francesca,Popescu,30,112,0,0,4,0.0,43,268,28,38,0,0,0.0,13,28.0
vb_88ee99c5b80f,Mikayla,Hayden,30,111,251,106,617,0.235,3,56,21,40,13,113,126.0,2,341.5
vb_7be6ee59ad1b,Annemarie,O'Gara,23,62,34,18,121,0.132,2,13,0,1,0,26,26.0,0,47.0
vb_49d6da986b81,Dominique,Phills,29,99,210,148,683,0.091,6,134,5,20,5,41,46.0,33,240.5
vb_9621c45efc90,Grace,Agolli,10,13,11,6,26,0.192,0,7,0,1,0,0,0.0,2,11.0
vb_78e026156cbd,Natalie,Lau,14,36,17,5,44,0.273,238,58,7,4,1,14,15.0,1,32.0
vb_62815ea96d4d,Elise,Lau,16,46,0,0,4,0.0,3,67,5,2,0,0,0.0,19,5.0
vb_a8cbd66fb611,Sawyer,Thomsen,19,70,96,33,271,0.232,1,9,0,4,3,49,52.0,2,123.5
vb_fa7ec7438383,Arissa,Carbonara,24,68,155,106,523,0.094,3,105,8,14,2,17,19.0,30,173.5
vb_74587fe0f136,Ashley,Li,28,75,131,67,380,0.168,2,20,1,1,1,25,26.0,3,145.5
vb_3f8d19c0ca17,Maria,Știrbu,28,90,10,4,61,0.098,775,188,15,32,1,40,41.0,2,46.0
vb_51a1e394eac2,Cherlin,Antonio,6,19,23,12,72,0.153,0,7,0,0,1,1,2.0,0,24.5
vb_f4c4d390e315,Sophie,Scott,16,42,54,19,140,0.25,2,10,0,1,6,22,28.0,1,71.0
vb_8f5b3e13ebc6,Peyton,DeJardin,30,104,265,146,838,0.142,13,170,15,31,4,26,30.0,29,297.0
vb_938616880bf9,Zuzia,Maciejewicz,30,115,3,1,19,0.105,107,,8,36,,,,,11.0
vb_5e7ab64e9901,Clara,Vondran,27,92,105,37,323,0.211,20,,16,18,,,,,126.0
vb_2dc414c331cc,Alyssa,Forelli,18,46,7,0,17,0.412,72,,0,0,,,,,14.5
vb_a433bd175f22,Hailey,McFadden,9,20,13,16,39,-0.077,2,,1,4,,,,,24.0
vb_40f4fe4b8709,Sa'Mya,Dorsey,28,85,101,57,335,0.131,1,,0,0,,,,,128.0
vb_acdd52cabd7a,Laurna,Kerr,22,67,0,1,4,-0.25,12,,2,19,,,,,2.0
vb_64d92408ae87,Courtney,Bryant,30,115,379,125,1220,0.208,12,,41,36,,,,,446.5
vb_1f25d246f2de,Lily,Cropper,29,111,132,50,329,0.249,11,,22,21,,,,,213.5
vb_45d3653a88b0,Ashley,Mullen,14,50,0,1,5,-0.2,190,,2,16,,,,,2.0
vb_86d9e670497d,Talia,Francom,30,106,125,39,320,0.269,8,,0,0,,,,,213.5
vb_16393e231933,Jordan,Smith,30,103,210,115,617,0.154,7,,2,3,,,,,245.5
vb_79ab6d7c5d22,Sydney,Daniels,30,102,1,0,8,0.125,12,,17,19,,,,,18.0
vb_97a6f0718eb4,Rebecca,Ring,29,97,283,147,818,0.166,2,,7,16,,,,,312.5
vb_0ee131cc69f6,Elaisa,Villar,30,115,15,7,85,0.094,804,,29,53,,,,,52.0
vb_eacca85ee782,Malaya,Jones,33,123,526,114,1096,0.376,10,259,25,65,2,94,96.0,1,600.0
vb_8287d05f4b8f,Sarah,Frazee,19,57,0,0,3,0.0,11,58,0,0,0,0,0.0,12,0.0
vb_5ffc25027e9d,Kennedi,Rogers,22,64,175,56,437,0.272,4,53,4,8,3,27,30.0,10,195.5
vb_17516c62c351,Christa,Wilburn,33,120,122,50,375,0.192,13,190,47,85,4,16,20.0,36,181.0
vb_06dd56641c7e,Casey,Batenhorst,33,122,0,0,0,0.0,6,36,32,55,0,0,0.0,0,32.0
vb_3e3454f9b20b,Mia,Silva,21,56,0,0,0,0.0,4,45,7,11,0,0,0.0,0,7.0
vb_855561f4e00b,Averi,Carlson,33,123,49,11,141,0.27,1396,257,28,23,7,78,85.0,0,123.0
vb_99ac7ddfb2e5,Brooke,Gilmour,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0
