athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
vb_a41655c85c21,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,MB,Middle Blocker,Fr.,Fr,"Dallas, Texas",Dallas,TX,domestic,Greenhill High School,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_c12fd86291a8,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,OH,Outside Hitter,Jr.,Jr,"Dallas, Texas",Dallas,TX,domestic,The Hockaday School,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_1b97aea50565,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,OH,Outside Hitter,R-So.,So,"Manhattan Beach, Calif.",Manhattan Beach,CA,domestic,Harvard-Westlake,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_7a212c9d0111,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,DS/L,Libero/DS,Sr.,Sr,"Oakland, Mich.",Oakland,MI,domestic,Stoney Creek,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_e0f3909264bd,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,MB,Middle Blocker,So.,So,"Fishers, Ind.",Fishers,IN,domestic,Hamilton Southeastern,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_ed30e6c052e3,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,S,Setter,R-Jr.,Jr,"Stanford, Calif.",Stanford,CA,domestic,Sacred Heart Prep,1,https://goduke.com/sports/womens-volleyball/roster/2025
vb_5eaff8c36579,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,OH,Outside Hitter,So.,So,"Mountain View, Calif.",Mountain View,CA,domestic,Saint Francis,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_95ef2507dd81,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,DS/L,Libero/DS,So.,So,"Ellicott City, Md.",Ellicott City,MD,domestic,Centennial,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_b0c6f2e2d5c0,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,OH,Outside Hitter,Fr.,Fr,"La Cañada Flintridge, Calif.",La Cañada Flintridge,CA,domestic,High School,0,https://goduke.com/sports/womens-volleyball/roster/2025
vb_93fa3c3272d1,volleyball,2025-26,2025,D1,Women,Atlantic Coast Conference,Duke,OH,Outside Hitter,So.,So,"Austin, Texas",Austin,TX,domestic,Lake Travis,0,https://goduke.com/sports/womens-volleyball/roster/2025
