athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
vb_5c290defe053,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,MB,Middle Blocker,So.,So,"Vilonia, AR",Vilonia,AR,domestic,Arlington,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_8e79feb4e87c,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS/L,Libero/DS,So.,So,"Lakeland, Tenn.",Lakeland,TN,domestic,Arlington,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_eb1c561ad93d,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,MH,Middle Blocker,Sr.,Sr,"Corona, Calif.",Corona,CA,domestic,Woodcrest Christian,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_129cbadd07ad,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS,Libero/DS,Jr.,Jr,"Memphis, Tenn.",Memphis,TN,domestic,St. Agnes Academy,1,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_8848a14bcdc9,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,OH/OPP,Multi,So.,So,"Sussex, Wis.",Sussex,WI,domestic,Hamilton,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_05d1e1239638,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,OH/OPP,Multi,Jr.,Jr,"Orlando, FL",Orlando,FL,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_8bc280cdcfb9,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS/L,Libero/DS,Fr.,Fr,"Hackett, AR",Hackett,AR,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_e95eb2ba83b7,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,S,Setter,Jr.,Jr,"Santo Domingo, DR",Santo Domingo,,international,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_a0f8297a9ded,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS/L,Libero/DS,Fr.,Fr,"East Chicago, IN",East Chicago,IN,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_073b6324709b,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS/L,Libero/DS,Sr.,Sr,"Biala Podlaska, PL",Biala Podlaska,,international,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_a829d8dbd0be,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,RS,Opposite,Jr.,Jr,"Memphis, Tenn.",Memphis,TN,domestic,Homelife Academy,1,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_c5bfd5408c14,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS/L,Libero/DS,Fr.,Fr,"Vilonia, AR",Vilonia,AR,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_f2092c6749d8,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,MH/RS,Multi,Jr.,Jr,"Memphis, Tenn.",Memphis,TN,domestic,St. Agnes Academy,1,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_882fa78c639a,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,OH,Outside Hitter,Jr.,Jr,"Pinckneyville, Ill.",Pinckneyville,IL,domestic,Pinckneyville Community,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_097876bf05e1,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,MH,Middle Blocker,Sr.,Sr,"Union, Ky.",Union,KY,domestic,Covington Latin School,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_1942de02d5ce,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS/L,Libero/DS,Fr.,Fr,"Wentzville, MO",Wentzville,MO,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_911762918b03,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,S,Setter,Fr.,Fr,"Springfield, IL",Springfield,IL,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_e474480d6906,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,DS,Libero/DS,Jr.,Jr,"Memphis, Tenn.",Memphis,TN,domestic,Briarcrest Christian,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_8012055df704,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,"5'11""",Other,Fr.,Fr,"Sugar Land, TX",Sugar Land,TX,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_281d160fb5e9,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,OPP,Opposite,Jr.,Jr,"Demopolis, Ala.",Demopolis,AL,domestic,Demopolis,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_c3c9f7b2add4,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,OPP,Opposite,Jr.,Jr,"Chicago, IL",Chicago,IL,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_8f4dadf7737d,volleyball,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,MB,Middle Blocker,Fr.,Fr,"Demopolis, AL",Demopolis,AL,domestic,,0,https://cbubucs.com/sports/womens-volleyball/roster/2025
vb_2014878cb97a,volleyball,2025-26,2025,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,S,Setter,Fr.,Fr,"Albany, Minn.",Albany,MN,domestic,Albany H.S.,0,https://goldeneaglesports.com/sports/womens-volleyball/roster/2025
vb_ccb88b42ddfd,volleyball,2025-26,2025,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,OH,Outside Hitter,Jr.,Jr,"Wadena, Minn.",Wadena,MN,domestic,Wadena-Deer Creek H.S.,0,https://goldeneaglesports.com/sports/womens-volleyball/roster/2025
