athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_3aaf6faa7f6d,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Goalkeeper GK,Goalkeeper,R-So.,So,"Santa Ana, Calif.",Santa Ana,CA,domestic,Foothill,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_dc81884eb7c9,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Goalkeeper G,Goalkeeper,R-Fr.,Fr,Los Angeles,Los Angeles,,international,Harvard-Westlake,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_78273d6ff623,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Goalkeeper GK,Goalkeeper,Fr.,Fr,Fr. IES CAR Sant Cugat,Fr. IES CAR Sant Cugat,,international,IES CAR Sant Cugat,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_dbcb47033264,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Fr.,Fr,"Barcelona, Spain",Barcelona,,international,IES CAR Sant Cugat,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_016cd84e1459,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Fr.,Fr,"Huntington Beach, Calif.",Huntington Beach,CA,domestic,Kyoto Toba High School,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_626bdd157d18,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Defender D,Driver,So.,So,Laguna Hills,Laguna Hills,,international,JSerra,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_cd0640274564,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Center C,Center,R-So.,So,"Concord, Calif.",Concord,CA,domestic,De La Salle HS,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_3711f47b6c68,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Center C,Center,Jr.,Jr,"New York, N.Y.",New York,NY,domestic,Greenwich HS,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_0541b23350a3,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker A,Attacker,Sr.,Sr,"Barcelona, Spain",Barcelona,,international,IES CAR Sant Cugat,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_e239f39ec08e,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Fr.,Fr,"Tbilisi, Georgia",Tbilisi,GA,domestic,,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_b582e4ee2de7,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Defender D,Driver,Fr.,Fr,Fr. JSerra Catholic HS,Fr. JSerra Catholic HS,,international,JSerra Catholic,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_ca51bded45f7,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Utility UT,Utility,Gr.,Gr,Gr.,Gr.,,international,,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_564db5372167,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker A,Attacker,So.,So,"Downey, Calif.",Downey,CA,domestic,Mater Dei,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_ad380f408be7,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker A,Attacker,Sr.,Sr,"San Diego, Calif.",San Diego,CA,domestic,Cathedral Catholic,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_c714118af87a,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Utility UT,Utility,So.,So,"Dubrovnik, Croatia",Dubrovnik,,international,Private Gymnasium Dubrovnik,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_80f579a06a62,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker A,Attacker,So.,So,"Dixon, Calif.",Dixon,CA,domestic,Davis Senior,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_01ec3a48439e,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Sr.,Sr,"Irvine, Calif.",Irvine,CA,domestic,Huntington Beach,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_1bf7a1f63652,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Center C,Center,Fr.,Fr,"San Francisco, Calif.",San Francisco,CA,domestic,St. Ignatius Prep,1,https://calbears.com/sports/mens-water-polo/roster/2025
wp_6ddd01fad4bd,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,R-Jr.,Jr,"Danville, Calif.",Danville,CA,domestic,Monte Vista,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_bb781b5b9074,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Utility UT,Utility,Fr.,Fr,"Orinda, Calif.",Orinda,CA,domestic,Miramonte HS,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_000dcd0c0928,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Jr.,Jr,"Woodside, Calif.",Woodside,CA,domestic,Sacred Heart Prep,1,https://calbears.com/sports/mens-water-polo/roster/2025
wp_47e859d7d8c1,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker A,Attacker,R-Sr.,Sr,"Budapest, Hungary",Budapest,,international,Kurt Foundational,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_008651b16ab1,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Defender D,Driver,R-Fr.,Fr,"Granite Bay, Calif.",Granite Bay,CA,domestic,Granite Bay,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_e712f5d7eae7,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Sr.,Sr,"Laguna Beach, Calif.",Laguna Beach,CA,domestic,Laguna Beach,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_3c3294727588,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,GK,Goalkeeper,Sophomore,So,"Alamo, Calif.",Alamo,CA,domestic,Campolino,0,https://gostanford.com/sports/mens-water-polo/roster
wp_624b5b31d951,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,GK,Goalkeeper,Junior,Jr,"Atherton, Calif.",Atherton,CA,domestic,Sacred Heart Prep,1,https://gostanford.com/sports/mens-water-polo/roster
wp_9782d3c7f6b1,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,GK,Goalkeeper,Freshman,Fr,"Cape Town, South Africa",Cape Town,,international,Bishops Diocesan College,0,https://gostanford.com/sports/mens-water-polo/roster
wp_029d50bec114,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,GK,Goalkeeper,Freshman,Fr,"Atherton, Calif.",Atherton,CA,domestic,Menlo HS,0,https://gostanford.com/sports/mens-water-polo/roster
wp_f21ca0cdabdb,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Sophomore,So,"Greenwich, Conn.",Greenwich,CT,domestic,Brunswick School,0,https://gostanford.com/sports/mens-water-polo/roster
wp_4b94305a58b5,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,UT,Utility,Freshman,Fr,"Sleepy Hollow, Calif.",Sleepy Hollow,CA,domestic,Archie Williams,0,https://gostanford.com/sports/mens-water-polo/roster
wp_81fca029e419,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,UT,Utility,Redshirt Sophomore,So,"Piraeus, Greece",Piraeus,,international,Athinaiki Agogi & Paideia,0,https://gostanford.com/sports/mens-water-polo/roster
wp_acbfc7bcc435,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Redshirt Junior,Jr,"Berkeley, Calif.",Berkeley,CA,domestic,Berkeley HS,0,https://gostanford.com/sports/mens-water-polo/roster
wp_cc4c1aff53df,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Freshman,Fr,"Los Angeles, Calif.",Los Angeles,CA,domestic,Harvard-Westlake,0,https://gostanford.com/sports/mens-water-polo/roster
wp_0c8af85053c0,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,UT,Utility,Redshirt Senior,Sr,"Danville, Calif.",Danville,CA,domestic,Monte Vista,0,https://gostanford.com/sports/mens-water-polo/roster
wp_cd7c10973748,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Freshman,Fr,"Rome, Italy",Rome,,international,Liceo scientifico Charles Darwin,0,https://gostanford.com/sports/mens-water-polo/roster
wp_035f8578e7ef,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Redshirt Senior,Sr,"Naples, Italy",Naples,,international,Liceo Scientifico Francesco Saverio Nitti,0,https://gostanford.com/sports/mens-water-polo/roster
wp_0fdbd0274d6d,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,C,Center,Junior,Jr,"Bucharest, Romania",Bucharest,,international,Mark Twain International School,0,https://gostanford.com/sports/mens-water-polo/roster
wp_6ba33d28fdef,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Redshirt Sophomore,So,"Los Angeles, Calif./",Los Angeles,CA,domestic,Harvard-Westlake,0,https://gostanford.com/sports/mens-water-polo/roster
wp_4c62b2e5d48d,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Sophomore,So,"Budapest, Hungary",Budapest,,international,Eötvös József Gimnázium,0,https://gostanford.com/sports/mens-water-polo/roster
wp_1b08b5c4f9b5,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Junior,Jr,"Old Greenwich, Conn.",Old Greenwich,CT,domestic,Sacred Heart Prep,1,https://gostanford.com/sports/mens-water-polo/roster
wp_05ee6c8d8a88,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,2MD,Other,Junior,Jr,"Studio City, Calif.",Studio City,CA,domestic,Harvard-Westlake,0,https://gostanford.com/sports/mens-water-polo/roster
wp_5ebbcb1a46b2,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,2MD,Other,Freshman,Fr,"Manhattan Beach, Calif.",Manhattan Beach,CA,domestic,Harvard-Westlake,0,https://gostanford.com/sports/mens-water-polo/roster
wp_adc9a9eb1c00,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,A,Attacker,Redshirt Freshman,Fr,"Boca Raton, Fla.",Boca Raton,FL,domestic,Boca Raton Community HS,0,https://gostanford.com/sports/mens-water-polo/roster
wp_c386c990be95,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,Stanford,UTILITY,Utility,Redshirt Junior,Jr,"Bologna, Italy",Bologna,,international,International School,0,https://gostanford.com/sports/mens-water-polo/roster
