athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_3aaf6faa7f6d,Riley,Clansen,,,6-2,74.0,200,200,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Goalkeeper GK,Goalkeeper,R-So.,So,"Santa Ana, Calif.",Santa Ana,CA,domestic,Foothill,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_dc81884eb7c9,James,Peace III,,,6-6,78.0,208,208,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Goalkeeper G,Goalkeeper,R-Fr.,Fr,Los Angeles,Los Angeles,CA,domestic,Harvard-Westlake,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_78273d6ff623,Aran,Pina,Undeclared,,,,,,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Goalkeeper GK,Goalkeeper,Fr.,Fr,Fr. IES CAR Sant Cugat,Fr. IES CAR Sant Cugat,,international,IES CAR Sant Cugat,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_dbcb47033264,Tomas,Perrone,Undeclared,,,,,,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Fr.,Fr,"Barcelona, Spain",Barcelona,,international,IES CAR Sant Cugat,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_016cd84e1459,Kai,Inoue,Undeclared,,5-10,70.0,,,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Fr.,Fr,"Huntington Beach, Calif.",Huntington Beach,CA,domestic,Kyoto Toba High School,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_626bdd157d18,Maddox,Arlett,,,6-5,77.0,,,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Defender D,Driver,So.,So,Laguna Hills,Laguna Hills,CA,domestic,JSerra,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_cd0640274564,Dominic,Brown,Economics,,6-6,78.0,230,230,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Center C,Center,R-So.,So,"Concord, Calif.",Concord,CA,domestic,De La Salle HS,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_3711f47b6c68,Chase,Wilson,American Studies,Pepperdine,6-1,73.0,,,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Center C,Center,Jr.,Jr,"New York, N.Y.",New York,NY,domestic,Greenwich HS,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_0541b23350a3,Albert,Ponferrada,,,6-4,76.0,215,215,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker A,Attacker,Sr.,Sr,"Barcelona, Spain",Barcelona,,international,IES CAR Sant Cugat,0,https://calbears.com/sports/mens-water-polo/roster/2025
wp_e239f39ec08e,Beso,Akhvlediani,Undeclared,,,,,,water_polo,2025-26,2025,D1,Men,Atlantic Coast Conference,California,Attacker ATT,Attacker,Fr.,Fr,"Tbilisi, Georgia",Tbilisi,GA,domestic,,0,https://calbears.com/sports/mens-water-polo/roster/2025
