athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_b115f910bb39,water_polo,2025-26,2025,D2,Men,,Salem WV,Goalkeeper GK,Goalkeeper,"Houston, Texas Cypress Woods High School San Joaquin Delta College",UNK,"Houston, Texas",Houston,TX,domestic,Cypress Woods High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_e0df98097031,water_polo,2025-26,2025,D2,Men,,Salem WV,Goalkeeper GK,Goalkeeper,"Belgrade, Serbia Sports Gymnasium",Gr,"Belgrade, Serbia",Belgrade,,international,Sports Gymnasium,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_b7d656ce659b,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Mechanicsburg, Pennsylvania Cumberland Valley High School",UNK,"Mechanicsburg, Pennsylvania",Mechanicsburg,PA,domestic,Cumberland Valley High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_7050a275761a,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Belgrade, Serbia Sports Gymnasium",Gr,"Belgrade, Serbia",Belgrade,,international,Sports Gymnasium,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_1ab9a9ff7ab9,water_polo,2025-26,2025,D2,Men,,Salem WV,Wing W,Attacker,"Budapest, Hungary Csanadi Arpad Sport Gimnazium",UNK,"Budapest, Hungary",Budapest,,international,Csanadi Arpad Sport Gimnazium,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_7674bdba883a,water_polo,2025-26,2025,D2,Men,,Salem WV,Center Defender CD,Center,"Vukovar, Croatia Technical School Nikola Tesla",UNK,"Vukovar, Croatia",Vukovar,,international,Technical School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_f0333a42afa2,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Denton, Texas Denton High School",UNK,"Denton, Texas",Denton,TX,domestic,Denton High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_a8b79f97a9dd,water_polo,2025-26,2025,D2,Men,,Salem WV,Wing W,Attacker,"Belgrade, Serbia Arhiretoska Technicka Skola",Gr,"Belgrade, Serbia",Belgrade,,international,Arhiretoska Technicka Skola,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_79c1355a04bf,water_polo,2025-26,2025,D2,Men,,Salem WV,Center Defender CD,Center,"Belgrade, Serbia Farnacwutsko-Fuzioterapeutska Skola",Gr,"Belgrade, Serbia",Belgrade,,international,Farnacwutsko-Fuzioterapeutska Skola,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_c703a5be61ae,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Houston, Texas Jersey Village High School",UNK,"Houston, Texas",Houston,TX,domestic,Jersey Village High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_a70beace80a9,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Petit Valley, Trinidad and Tobago Queen's Royal College",UNK,"Petit Valley, Trinidad and Tobago",Petit Valley,,international,Queen's Royal College,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_6dbac8df588f,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Edmonton, Alberta, Canada Paul Kane High School",UNK,"Edmonton, Alberta, Canada",Edmonton,,international,Paul Kane High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_99ec252d0c35,water_polo,2025-26,2025,D2,Men,,Salem WV,Center C,Center,"Chicago, Illinois Fenwick High School",UNK,"Chicago, Illinois",Chicago,IL,domestic,Fenwick High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_567cccdcb564,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"El Dorado Hills, California Wheeler High School",UNK,"El Dorado Hills, California",El Dorado Hills,CA,domestic,Wheeler High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_653bb1e0f99d,water_polo,2025-26,2025,D2,Men,,Salem WV,Wing W,Attacker,"San Juan, Puerto Rico Cupeyville High School",UNK,"San Juan, Puerto Rico",San Juan,PR,domestic,Cupeyville High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_f0e4a6cc7bcc,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Stockton, California Lincoln High School",UNK,"Stockton, California",Stockton,CA,domestic,Lincoln High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
wp_96b639c2dfc6,water_polo,2025-26,2025,D2,Men,,Salem WV,Utility UT,Utility,"Napoleon, Ohio Napoleon High School",UNK,"Napoleon, Ohio",Napoleon,OH,domestic,Napoleon High School,0,https://salemtigers.com/sports/mens-water-polo/roster/2025
