athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,steals,exclusions,drawn_exclusions,blocks,gk_ga,gk_gaa,gk_saves,gk_sv_pct
wp_e239f39ec08e,Beso,Akhvlediani,23,,59,23,82,117,9,20,,9,,,,
wp_dbcb47033264,Tomas,Perrone,23,,29,16,45,81,18,10,,0,,,,
wp_c714118af87a,Patrik,Kolak,23,,18,27,45,42,6,15,,5,,,,
wp_0541b23350a3,Albert,Ponferrada,23,,17,25,42,49,17,10,,13,,,,
wp_016cd84e1459,Kai,Inoue,23,,23,17,40,43,6,9,,1,,,,
wp_e712f5d7eae7,William,Kelly,23,,23,16,39,39,18,6,,5,,,,
wp_cd0640274564,Dominic,Brown,27,,30,3,33,47,5,15,,1,,,,
wp_3711f47b6c68,Chase,Wilson,23,,30,2,32,47,8,14,,2,,,,
wp_01ec3a48439e,Nik,Mirkovic,23,,16,15,31,36,12,10,,9,,,,
wp_ad380f408be7,Marci,Szatmary,23,,10,15,25,26,3,7,,2,,,,
wp_47e859d7d8c1,Bende,Pardi,23,,15,8,23,27,5,12,,3,,,,
wp_564db5372167,Alex,Oprea,23,,12,9,21,26,8,8,,3,,,,
wp_000dcd0c0928,Luke,Bachler,23,,11,10,21,23,5,5,,0,,,,
wp_626bdd157d18,Maddox,Arlett,23,,19,1,20,34,4,24,,7,,,,
wp_80f579a06a62,Brennan,Fuchslin,23,,9,9,18,18,6,6,,1,,,,
wp_6ddd01fad4bd,Ryder,Hagan,23,,7,6,13,12,8,25,,5,,,,
wp_1bf7a1f63652,Gigo,Sarimsakci,23,,9,1,10,15,2,6,,1,,,,
wp_008651b16ab1,Seth,Bousfield,11,,4,4,8,8,2,11,,4,,,,
wp_b582e4ee2de7,Milan,Sumich,23,,5,1,6,15,3,11,,0,,,,
wp_bb781b5b9074,Patrick,Stice,23,,4,1,5,7,1,3,,0,,,,
wp_ca51bded45f7,Loui,Schuler,23,,2,2,4,5,2,5,,1,,,,
wp_3aaf6faa7f6d,Riley,Clansen,7,,0,2,2,0,5,1,,0,30,6.57,37,0.552
wp_78273d6ff623,Aran,Pina,21,,0,2,2,4,29,5,,1,208,10.18,166,0.444
wp_dc81884eb7c9,James,Peace III,1,,0,0,0,0,0,0,,0,4,4.0,6,0.6
wp_11adba46aa68,Andras,Toth,3,,9,3,12,20,3,3,,2,,,,
wp_68bab2c3b4c5,Luca,Provenziani,3,,7,5,12,15,8,2,,1,,,,
wp_df24150a52c4,Alessandro,Salipante,3,,4,4,8,10,2,4,,0,,,,
wp_bc2787a237a0,Luca,Silvestri,3,,4,2,6,18,4,5,,0,,,,
wp_8e08479459d0,Marco,Napolitano,3,,3,1,4,7,0,5,,1,,,,
wp_354a5d1f8a1f,Mark,Dyck,3,,2,0,2,5,1,5,,0,,,,
wp_1e7e83f049ed,Gianni,Farrugia,3,,2,0,2,3,0,2,,0,,,,
wp_39175cb4937a,Balazs,Berenyi,3,,1,0,1,4,0,7,,0,,,,
wp_81a500efb1a4,Barnabas,Eppel,3,,1,0,1,8,2,1,,0,,,,
wp_3dcdaa90e9a2,Diego,Tresa,3,,1,0,1,2,1,0,,0,,,,
wp_5a31ebbd4edd,Csongor,Bartuszek,1,,0,0,0,0,0,0,,0,,,,
wp_bdec31b16366,Matthew,Bonello DuPuis,3,,0,0,0,1,2,0,,0,35,13.39,9,0.205
wp_32388e6b328b,Brendan,Cassidy,1,,0,0,0,0,0,0,,0,,,,
wp_42af1a0d25a6,Christopher,Gray,3,,0,0,0,0,0,2,,0,,,,
wp_371683348062,Soren,Jessen,3,,0,0,0,1,0,2,,0,,,,
wp_fbbd23480bac,Kristof,Magony,3,,0,0,0,0,1,0,,0,5,3.61,1,0.167
wp_eaac292cbdf4,Charlie,Martin,1,,0,0,0,0,0,0,,0,,,,
