athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_b896490758ee,Talia,Fonseca,Media Studies,,6-0,72.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,G,Goalkeeper,R-So.,So,"Lizella, Ga.",Lizella,GA,domestic,Mount de Sales Academy,1,https://calbears.com/sports/womens-water-polo/roster/2026
wp_399c644a8747,Lexi,Nelson,Media Studies,,5-9,69.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,G,Goalkeeper,Fr.,Fr,"Menlo Park, Calif.",Menlo Park,CA,domestic,Menlo Atherton HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_f879631de5be,Julianne,Snyder,Integrative Biology,,5-6,66.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,Jr.,Jr,"Fresno, Calif.",Fresno,CA,domestic,Clovis West HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_4bd32808ed1f,Julia,Bonaguidi,Integrative Biology,,5-11,71.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,Jr.,Jr,"La Jolla, Calif.",La Jolla,CA,domestic,The Bishop's School,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_d61fcdc5f318,Nieve,Courtney,Interdisciplinary Studies,,5-5,65.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,R-Jr.,Jr,"San Clemente, Calif.",San Clemente,CA,domestic,San Clemente HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_4ac38286dfaf,Claire,Rowell,Master's: Real Estate Development - Finance,,5-6,66.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,R-Sr.,Sr,"Lafayette, Calif.",Lafayette,CA,domestic,Acalanes HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_62e3369983c1,Feline,Voordouw,Media Studies,,5-10,70.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,C,Center,Jr.,Jr,"Neede, Netherlands",Neede,,international,Sint Joris College,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_f41c13fc2b89,Rosalie,Hassett,American Studies,,5-9,69.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,So.,So,"Orinda, Calif.",Orinda,CA,domestic,Miramonte HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_ab1d3e1341a2,Kate,Meyer,Integrative Biology,,5-6,66.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,Jr.,Jr,"Santa Barbara, Calif.",Santa Barbara,CA,domestic,San Marcos HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_e86f68395b3a,Eszter,Varró,Economics,,6-0,72.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,C,Center,So.,So,"Budapest, Hungary",Budapest,,international,Városmajori Gimnázium,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_ee3cb46d5d0a,Gabby,Reichley,Media Studies,,5-10,70.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,D,Driver,Fr.,Fr,"San Anselmo, Calif.",San Anselmo,CA,domestic,Marin Academy,1,https://calbears.com/sports/womens-water-polo/roster/2026
wp_b1fecde198e5,Despoina,Drakotou,Molecular and Cell Biology,,5-9,69.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,U,Utility,Fr.,Fr,"Athens, Greece",Athens,,international,1st General HS of Kallipoli Piraeus,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_190a9c282594,Holly,Dunn,Media Studies,,6-1,73.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,U,Utility,So.,So,"Auckland, New Zealand",Auckland,,international,St Cuthbert's College,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_df2f6719395e,Mackenzie,Walker,Molecular Environmental Biology,,5-10,70.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,D,Driver,R-So.,So,"Davis, Calif.",Davis,CA,domestic,Davis Senior,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_422656ad9c43,Marina,Brown,Undeclared,,5-10,70.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,C,Center,Fr.,Fr,"Santa Barbara, Calif.",Santa Barbara,CA,domestic,San Marcos HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_e6b983f9f6ed,Abby,Roder,Undeclared,,5-10,70.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,D,Driver,So.,So,"Walnut Creek, Calif.",Walnut Creek,CA,domestic,Carondelet HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_9f66d5bf6916,Lindsey,Harris,Economics,,6-1,73.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,C,Center,Sr.,Sr,"Rossmoor, Calif.",Rossmoor,CA,domestic,Los Alamitos HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_a70f4125a1af,Reece,Helsel,Undeclared,,5-7,67.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,Fr.,Fr,"Clovis, Calif.",Clovis,CA,domestic,Clovis East HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_2894c8b91706,Abbi,Magee,Political Economy,,5-8,68.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,A,Attacker,Sr.,Sr,"Las Vegas, Nev.",Las Vegas,NV,domestic,American Heritage Academy,1,https://calbears.com/sports/womens-water-polo/roster/2026
wp_2cd9b01caf14,Maria,Bogachenko,Psychology,,5-9,69.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,U,Utility,So.,So,"Petah Tikva, Israel",Petah Tikva,,international,Hof Hasharon,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_f36891ae834b,Harper,Price,Undeclared,,5-11,71.0,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,California,D,Driver,Fr.,Fr,"Newport Beach, Calif.",Newport Beach,CA,domestic,Newport Harbor HS,0,https://calbears.com/sports/womens-water-polo/roster/2026
wp_a3125ebae5cf,Jackie,King,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,GK,Goalkeeper,Redshirt Sophomore,So,"Los Gatos, Calif.",Los Gatos,CA,domestic,Los Gatos,0,https://gostanford.com/sports/womens-water-polo/roster
wp_46d70f5fceed,Christine,Carpenter,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,GK,Goalkeeper,Junior,Jr,"Yucaipa, Calif.",Yucaipa,CA,domestic,Yucaipa,0,https://gostanford.com/sports/womens-water-polo/roster
wp_1c63113281b2,Izzy,Scott,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,GK,Goalkeeper,Sophomore,So,"Perth, Australia",Perth,,international,Presbyterian Ladies' College Perth,0,https://gostanford.com/sports/womens-water-polo/roster
wp_ac868332be56,Juliette,Dhalluin,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Redshirt Junior,Jr,"Mulhouse, France",Mulhouse,,international,Arizona State,0,https://gostanford.com/sports/womens-water-polo/roster
wp_bb3b019f4152,Claire,Minton,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Sophomore,So,"Clovis, Calif.",Clovis,CA,domestic,Clovis,0,https://gostanford.com/sports/womens-water-polo/roster
wp_bbe0865ea40a,Cici,De Luca,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Freshman,Fr,"Long Beach, Calif.",Long Beach,CA,domestic,Woodrow Wilson,0,https://gostanford.com/sports/womens-water-polo/roster
wp_104227758b4b,Maggie,Hawkins,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-M,Other,Senior,Sr,"Lafayette, Calif.",Lafayette,CA,domestic,Campolindo,0,https://gostanford.com/sports/womens-water-polo/roster
wp_df4ee699f6f0,Reagan,McEachen,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-M,Other,Junior,Jr,"Santa Barbara, Calif.",Santa Barbara,CA,domestic,San Marcos,0,https://gostanford.com/sports/womens-water-polo/roster
wp_22a27e5a5b65,Makenna,Stretz,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Sophomore,So,"Santa Barbara, Calif.",Santa Barbara,CA,domestic,San Marcos,0,https://gostanford.com/sports/womens-water-polo/roster
wp_ee5a331d46d0,Avery,Montiel,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Junior,Jr,"Newport Beach, Calif.",Newport Beach,CA,domestic,Newport Harbor,0,https://gostanford.com/sports/womens-water-polo/roster
wp_7219121ea4eb,Amber,Nowaczek,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Sophomore,So,"Shadow Hills, Calif.",Shadow Hills,CA,domestic,Harvard Westlake,0,https://gostanford.com/sports/womens-water-polo/roster
wp_5bf65bd85419,Kamryn,Barone,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Junior,Jr,"Mechanicsburg, Pa.",Mechanicsburg,PA,domestic,Santa Margarita Catholic,0,https://gostanford.com/sports/womens-water-polo/roster
wp_8b8ccac63f92,Quinn,Healy,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-MD,Other,Junior,Jr,"Capitola, Calif.",Capitola,CA,domestic,Soquel,0,https://gostanford.com/sports/womens-water-polo/roster
wp_cea94e0c7ce3,Sydney,Lowell,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Sophomore,So,"Menlo Park, Calif.",Menlo Park,CA,domestic,Castilleja School,0,https://gostanford.com/sports/womens-water-polo/roster
wp_45b6fc4b5147,Addison,Parrish,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-MD,Other,Freshman,Fr,"Santa Barbara, Calif.",Santa Barbara,CA,domestic,Dos Pueblos,0,https://gostanford.com/sports/womens-water-polo/roster
wp_039676a39a5c,Reagan,Weir,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-M,Other,Freshman,Fr,"Newport Beach, Calif.",Newport Beach,CA,domestic,Corona del Mar,0,https://gostanford.com/sports/womens-water-polo/roster
wp_c6a3d2144204,Sienna,Green,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-MD,Other,Redshirt Junior,Jr,"Mosman, Australia",Mosman,,international,SCEGGS Darlinghurst,0,https://gostanford.com/sports/womens-water-polo/roster
wp_263ce19883f5,Jenna,Flynn,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Redshirt Junior,Jr,"San Jose, Calif.",San Jose,CA,domestic,Leland,0,https://gostanford.com/sports/womens-water-polo/roster
wp_5055ba6a21f2,AliMarie,DePrez,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-MD,Other,Redshirt Freshman,Fr,"Upland, Calif.",Upland,CA,domestic,Claremont,0,https://gostanford.com/sports/womens-water-polo/roster
wp_3ccac4380653,Ella,Woodhead,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-M,Other,Redshirt Junior,Jr,"San Rafael, Calif.",San Rafael,CA,domestic,Sacred Heart Prep,1,https://gostanford.com/sports/womens-water-polo/roster
wp_df0f6f0686b5,Lucy,Haaland-Ford,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-MD,Other,Freshman,Fr,"Santa Barbara, Calif.",Santa Barbara,CA,domestic,San Marcos,0,https://gostanford.com/sports/womens-water-polo/roster
wp_ea642c73f13c,Natalia,Szczerba,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,DR,Driver,Freshman,Fr,"Palo Alto, Calif.",Palo Alto,CA,domestic,Sacred Heart Prep,1,https://gostanford.com/sports/womens-water-polo/roster
wp_045025cc2dc7,Serena,Browne,,,,,,,water_polo,2025-26,2025,D1,Women,Atlantic Coast Conference,Stanford,2-MD,Other,Redshirt Sophomore,So,"Montreal, Quebec, Canada",Montreal,,international,John Rennie,0,https://gostanford.com/sports/womens-water-polo/roster
wp_bd38e34f2ab9,Lily,Kirby,,,5-11,71.0,,,water_polo,2025-26,2025,D1,Women,Atlantic 10 Conference,La Salle,Goalkeeper,Goalkeeper,Jr.,Jr,"Stockton, Calif.",Stockton,CA,domestic,St. Mary's,0,https://goexplorers.com/sports/womens-water-polo/roster/2026
wp_0d4a5a0cd826,Avery,Rabago,,,5-4,64.0,,,water_polo,2025-26,2025,D1,Women,Atlantic 10 Conference,La Salle,Goalkeeper,Goalkeeper,Fr.,Fr,"Cypress, Calif.",Cypress,CA,domestic,Rosary Academy,1,https://goexplorers.com/sports/womens-water-polo/roster/2026
wp_63097aa801ef,Michaela,Burroughs,,,5-6,66.0,,,water_polo,2025-26,2025,D1,Women,Atlantic 10 Conference,La Salle,Goalkeeper,Goalkeeper,Fr.,Fr,"Dublin, Pa.",Dublin,PA,domestic,Pennridge,0,https://goexplorers.com/sports/womens-water-polo/roster/2026
wp_2d1f107fa0b0,Katelyn,Cuthbert,,,5-8,68.0,,,water_polo,2025-26,2025,D1,Women,Atlantic 10 Conference,La Salle,Goalkeeper,Goalkeeper,Jr.,Jr,"Perkasie, Pa.",Perkasie,PA,domestic,Pennridge,0,https://goexplorers.com/sports/womens-water-polo/roster/2026
