athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_f42575f21385,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,GK GK,Goalkeeper,So.,So,"Redwood City, CA",Redwood City,CA,domestic,Castilleja School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_b7af2c9ca030,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,GK GK,Goalkeeper,Fr.,Fr,"Atherton, CA",Atherton,CA,domestic,Sacred Heart Prep,1,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_6fd198832367,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,GK GK,Goalkeeper,Fr.,Fr,"Pasadena, CA",Pasadena,CA,domestic,John Muir High School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_56edeab4e785,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,GK GK,Goalkeeper,So.,So,"Fullerton, CA",Fullerton,CA,domestic,Sunny Hills High School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_d4096738095d,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,RS RS,Other,Sr.,Sr,"Santa Barbara, CA",Santa Barbara,CA,domestic,San Marcos Senior High School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_19b5403d2573,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,LS LS,Other,Jr.,Jr,"Burlingame, CA",Burlingame,CA,domestic,Burlingame High School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_d25db8cab9ba,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,Pomona,Other,Fr.,Fr,"Honolulu, HI",Honolulu,HI,domestic,Punahou School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_38ceb3ab4372,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,C C,Center,Sr.,Sr,"Los Angeles, CA",Los Angeles,CA,domestic,Harvard-Westlake HS,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_81bc6e4ac0e5,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,Pitzer,Other,Fr.,Fr,Fr. Alta Loma High School,Fr. Alta Loma High School,,international,Alta Loma High School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_7d5838572896,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,LS LS,Other,Jr.,Jr,"San Diego, CA",San Diego,CA,domestic,The Bishops School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_16d541bc7619,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,UT UT,Utility,Sr.,Sr,"Hillsborough, CA",Hillsborough,CA,domestic,Sacred Heart Prep,1,https://sagehens.com/sports/womens-water-polo/roster/2026
wp_0fa8304d951b,water_polo,2025-26,2025,D3,Women,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer,RS RS,Other,Sr.,Sr,"Atherton, CA",Atherton,CA,domestic,Castilleja High School,0,https://sagehens.com/sports/womens-water-polo/roster/2026
