athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wr_7529a0f766d7,Maria,Aiono,,,,,207,207,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,207 lbs,207,So.,So,"San Jose, Calif.",San Jose,CA,domestic,Edward C. Reed HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_1435ee410998,Jenna,Anderson,,,,,124,124,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,124 lbs,124,Fr.,Fr,"Moseley, Va.",Moseley,VA,domestic,Cosby HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_f824cab6b521,Madeline,Bowlin,,,,,124,124,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,124 lbs,124,Fr.,Fr,"Summerville, S.C.",Summerville,SC,domestic,Homeschool,1,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_4e9b960b02b1,Lana,Clayton,,,,,180,180,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,180 lbs,180,So.,So,"Lakenheath, England",Lakenheath,,international,Newsome HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_9fb1173fb69c,May,Cuyler,,,,,160,160,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,160 lbs,160,So.,So,"Alexandria, Va.",Alexandria,VA,domestic,Brentsville District HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_a9950ebba3c4,Kassey,Daugherty,,,,,131,131,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,131 lbs,131,So.,So,"Newport News, Va.",Newport News,VA,domestic,Menchville HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_64eb205957ca,Chloe,Dearwester,,,,,110,110,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,110 lbs,110,So.,So,"Cincinnati, Ohio",Cincinnati,OH,domestic,William Henry Harrison HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_72f29d0dfde0,Elizabeth,Donovan,,,,,124,124,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,124 lbs,124,Fr.,Fr,"Pelham, N.H.",Pelham,NH,domestic,Pelham HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_e7c7212b1085,Lexi,Fornshell,,,,,160,160,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,160 lbs,160,Jr.,Jr,"Cincinnati, Ohio",Cincinnati,OH,domestic,Lebanon High School,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_b5351cbacc9c,Kascidy,Garren,,,,,145,145,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,145 lbs,145,So.,So,"Columbus, Ohio",Columbus,OH,domestic,Olentangy Orange HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_010c6337e452,Carina,Giangeruso,,,,,138,138,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,138 lbs,138,So.,So,"Hamilton, N.J.",Hamilton,NJ,domestic,Northern Burlington County Regional,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_8197c679acaa,Isabella,Gretzinger,,,,,160,160,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,160 lbs,160,So.,So,"Ballston Lake, N.Y.",Ballston Lake,NY,domestic,Shenendehowa HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
wr_10cb405acef8,Zoe,Griffith,,,,,138,138,wrestling,2025-26,2025-26,D1,Women,Big South Conference,Presbyterian,138 lbs,138,Fr.,Fr,"Gouverneur, N.Y.",Gouverneur,NY,domestic,Governeur HS,0,https://gobluehose.com/sports/womens-wrestling/roster/2025-26
