sport,gender,division,official_name,matched_school
acro_tumbling,Women,D3,Adrian College,Adrian
acro_tumbling,Women,D2,Coker University,Coker
acro_tumbling,Women,D2,D'Youville University,DYouville
acro_tumbling,Women,D2,Emmanuel University (Georgia),Emmanuel GA
acro_tumbling,Women,D2,Hawaii Pacific University,Hawaii Pacific
acro_tumbling,Women,D2,Mars Hill University,Mars Hill
acro_tumbling,Women,D2,Newberry College,Newberry
baseball,Men,D3,Austin College,Austin College
baseball,Men,D2,Carson-Newman University,Carson-Newman
baseball,Men,D2,University of Indianapolis,
baseball,Men,D3,Maranatha Baptist University,Maranatha Baptist
baseball,Men,D3,New Jersey City University,New Jersey City
basketball,Men,D2,Carson-Newman University,Carson-Newman
basketball,Men,D2,University of Indianapolis,
basketball,Men,D2,"University of Puerto Rico, Bayamon",
basketball,Men,D2,"University of Puerto Rico, Mayaguez",
basketball,Men,D2,"University of Puerto Rico, Rio Piedras",
basketball,Women,D2,University of Indianapolis,
basketball,Women,D2,"University of Puerto Rico, Bayamon",
basketball,Women,D2,"University of Puerto Rico, Mayaguez",
basketball,Women,D2,"University of Puerto Rico, Rio Piedras",
basketball,Women,D3,Trinity Washington University,
beach_volleyball,Women,D2,Carson-Newman University,Carson-Newman
beach_volleyball,Women,D3,Huntingdon College,Huntingdon
beach_volleyball,Women,D1,University of San Diego,San Diego
beach_volleyball,Women,D3,Schreiner University,Schreiner
beach_volleyball,Women,D2,University of Tampa,Tampa
beach_volleyball,Women,D1,Tennessee Technological University,Tennessee Tech
beach_volleyball,Women,D1,University of Texas at Austin,Texas
beach_volleyball,Women,D1,University of Texas at El Paso,UTEP
beach_volleyball,Women,D2,Tusculum University,Tusculum
bowling,Women,D1,Alabama A&M University,Alabama A&M
bowling,Women,D3,Baldwin Wallace University,Baldwin Wallace
bowling,Women,D2,University of Indianapolis,
bowling,Women,D3,Lakeland University,Lakeland
bowling,Women,D3,"Pennsylvania State Univ. Erie, the Behrend College",Penn State Behrend
cross_country,Women,D1,University of Alabama,Alabama
cross_country,Women,D1,"University of Arkansas, Fayetteville",Arkansas
cross_country,Women,D3,Bard College,Bard
cross_country,Women,D2,Carson-Newman University,Carson-Newman
cross_country,Women,D3,Centenary College (Louisiana),Centenary Louisiana
cross_country,Women,D3,Centenary University (New Jersey),Centenary NJ
cross_country,Women,D3,Edgewood University,Edgewood
cross_country,Women,D3,Elms College,Elms
cross_country,Women,D3,Eureka College,Eureka
cross_country,Women,D1,Florida Atlantic University,Fla. Atlantic
