sport,gender,division,covered,universe,pct,list_year
acro_tumbling,Women,D1,11,11,100.0,2026
acro_tumbling,Women,D2,22,28,78.6,2026
acro_tumbling,Women,D3,8,9,88.9,2026
baseball,Men,D1,308,308,100.0,2026
baseball,Men,D2,251,253,99.2,2026
baseball,Men,D3,378,381,99.2,2026
basketball,Men,D1,364,364,100.0,2027
basketball,Women,D1,362,362,100.0,2027
basketball,Men,D2,291,296,98.3,2027
basketball,Women,D2,292,296,98.6,2027
basketball,Men,D3,407,407,100.0,2027
basketball,Women,D3,416,417,99.8,2027
beach_volleyball,Women,D1,65,69,94.2,2027
beach_volleyball,Women,D2,20,23,87.0,2027
beach_volleyball,Women,D3,11,13,84.6,2027
bowling,Women,D1,38,39,97.4,2026
bowling,Women,D2,35,36,97.2,2026
bowling,Women,D3,16,19,84.2,2026
cross_country,Men,D1,316,331,95.5,2026
cross_country,Women,D1,344,362,95.0,2026
cross_country,Men,D2,252,266,94.7,2026
cross_country,Women,D2,276,288,95.8,2026
cross_country,Men,D3,372,387,96.1,2026
cross_country,Women,D3,387,403,96.0,2026
equestrian,Women,D1,19,19,100.0,2026
equestrian,Women,D2,3,3,100.0,2026
equestrian,Women,D3,11,12,91.7,2026
fencing,Men,D1,20,22,90.9,2026
fencing,Women,D1,24,27,88.9,2026
fencing,Men,D2,1,1,100.0,2026
fencing,Women,D2,1,1,100.0,2026
fencing,Men,D3,12,12,100.0,2026
fencing,Women,D3,14,16,87.5,2026
field_hockey,Women,D1,83,83,100.0,2026
field_hockey,Women,D2,34,36,94.4,2026
field_hockey,Women,D3,162,164,98.8,2026
football,Men,D1,264,265,99.6,2027
football,Men,D2,156,160,97.5,2027
football,Men,D3,240,243,98.8,2027
golf,Men,D1,306,311,98.4,2027
golf,Women,D1,282,290,97.2,2027
golf,Men,D2,193,203,95.1,2027
golf,Women,D2,179,190,94.2,2027
golf,Men,D3,277,294,94.2,2027
golf,Women,D3,229,253,90.5,2027
gymnastics,Men,D1,12,12,100.0,2026
gymnastics,Women,D1,62,62,100.0,2026
gymnastics,Women,D2,4,4,100.0,2026
gymnastics,Men,D3,3,3,100.0,2026
gymnastics,Women,D3,18,18,100.0,2026
ice_hockey,Men,D1,61,61,100.0,2026
ice_hockey,Women,D1,40,40,100.0,2026
ice_hockey,Men,D2,7,7,100.0,2026
ice_hockey,Women,D2,5,5,100.0,2026
ice_hockey,Men,D3,87,89,97.8,2026
ice_hockey,Women,D3,76,78,97.4,2026
lacrosse,Men,D1,77,77,100.0,2027
lacrosse,Women,D1,133,133,100.0,2027
lacrosse,Men,D2,79,81,97.5,2027
lacrosse,Women,D2,106,114,93.0,2027
lacrosse,Men,D3,225,236,95.3,2027
lacrosse,Women,D3,258,275,93.8,2027
rowing,Women,D1,94,94,100.0,2027
rowing,Women,D2,10,14,71.4,2027
rowing,Women,D3,38,40,95.0,2027
rugby,Women,D1,14,14,100.0,2026
rugby,Women,D2,7,7,100.0,2026
rugby,Women,D3,8,10,80.0,2026
skiing,Men,D1,7,11,63.6,2026
skiing,Women,D1,7,11,63.6,2026
skiing,Men,D2,5,6,83.3,2026
skiing,Women,D2,4,7,57.1,2026
skiing,Men,D3,12,17,70.6,2026
skiing,Women,D3,12,17,70.6,2026
soccer,Men,D1,212,212,100.0,2027
soccer,Women,D1,345,348,99.1,2027
soccer,Men,D2,197,202,97.5,2027
soccer,Women,D2,254,259,98.1,2027
soccer,Men,D3,406,406,100.0,2027
soccer,Women,D3,415,417,99.5,2027
softball,Women,D1,308,308,100.0,2026
softball,Women,D2,265,274,96.7,2026
softball,Women,D3,381,396,96.2,2026
stunt,Women,D1,7,7,100.0,2026
stunt,Women,D2,21,31,67.7,2026
stunt,Women,D3,10,17,58.8,2026
swimming,Men,D1,133,136,97.8,2026
swimming,Women,D1,197,200,98.5,2026
swimming,Men,D2,71,77,92.2,2026
swimming,Women,D2,93,99,93.9,2026
swimming,Men,D3,220,232,94.8,2026
swimming,Women,D3,236,250,94.4,2026
tennis,Men,D1,231,232,99.6,2027
tennis,Women,D1,300,302,99.3,2027
tennis,Men,D2,126,134,94.0,2027
tennis,Women,D2,173,181,95.6,2027
tennis,Men,D3,294,299,98.3,2027
tennis,Women,D3,303,326,92.9,2027
track_indoor,Men,D1,279,284,98.2,2027
track_indoor,Women,D1,345,348,99.1,2027
track_indoor,Men,D2,182,198,91.9,2027
track_indoor,Women,D2,204,220,92.7,2027
track_indoor,Men,D3,313,318,98.4,2027
track_indoor,Women,D3,321,329,97.6,2027
track_outdoor,Men,D1,302,308,98.1,2027
track_outdoor,Women,D1,350,354,98.9,2027
track_outdoor,Men,D2,215,238,90.3,2027
track_outdoor,Women,D2,237,263,90.1,2027
track_outdoor,Men,D3,333,341,97.7,2027
track_outdoor,Women,D3,344,360,95.6,2027
triathlon,Women,D1,16,16,100.0,2026
triathlon,Women,D2,10,12,83.3,2026
triathlon,Women,D3,10,12,83.3,2026
volleyball,Men,D1,29,31,93.5,2027
volleyball,Women,D1,342,347,98.6,2027
volleyball,Men,D2,34,41,82.9,2027
volleyball,Women,D2,278,286,97.2,2027
volleyball,Men,D3,125,141,88.7,2027
volleyball,Women,D3,417,418,99.8,2027
water_polo,Men,D1,28,29,96.6,2026
water_polo,Women,D1,37,37,100.0,2026
water_polo,Men,D2,7,7,100.0,2026
water_polo,Women,D2,8,9,88.9,2026
water_polo,Men,D3,15,17,88.2,2026
water_polo,Women,D3,16,18,88.9,2026
wrestling,Men,D1,79,79,100.0,2026
wrestling,Women,D1,6,6,100.0,2026
wrestling,Men,D2,74,75,98.7,2026
wrestling,Women,D2,37,39,94.9,2026
wrestling,Men,D3,130,132,98.5,2026
wrestling,Women,D3,64,67,95.5,2026
