athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
sw_6e945ccb53f8,swimming,2025-26,2025-26,D3,Women,University Athletic Association,Rochester,Breaststroke/Freestyle,Multi,FY,Fr,"Boulder, CO",Boulder,CO,domestic,Fairview,0,https://uofrathletics.com/sports/womens-swimming-and-diving/roster/2025-26
row_36ce6f1bab2d,rowing,2025-26,2025-26,D1,Women,ASUN Conference,Stetson,,Rower,Fr.,Fr,"Sydney, New South Wales, Australia",Sydney,,international,,0,https://gohatters.com/sports/womens-rowing/roster/2025-26
xc_a7bdfa69f272,cross_country,2025-26,2025,D3,Men,Ohio Athletic Conference,Otterbein,,Runner,Sr.,Sr,Waynesfield,Waynesfield,OH,domestic,Waynesfield-Goshen,0,https://otterbeincardinals.com/sports/mens-cross-country/roster/2025
soc_f2a0d2beb905,soccer,2025-26,2025,D3,Women,North Coast Athletic Conference,John Carroll,F/D,Multi,Fy.,Fr,"Penfield, NY",Penfield,NY,domestic,Penfield,0,https://jcusports.com/sports/womens-soccer/roster/2025
lax_f7c54d81d2a3,lacrosse,2025-26,2026,D2,Women,Great Midwest Athletic Conference,Walsh,M,Midfield,Fr.,Fr,"Noblesville, Indiana",Noblesville,IN,domestic,Noblesville,0,https://athletics.walsh.edu/sports/womens-lacrosse/roster/2026
sw_52cad85aaba6,swimming,2025-26,2025-26,D3,Women,Midwest Conference,Milwaukee School of Engineering,"5'1""",Other,Fr.,Fr,"Sun Prairie, Wis.",Sun Prairie,WI,domestic,Lakeside Lutheran,0,https://msoeraiders.com/sports/womens-swimming-and-diving/roster/2025-26
bb_ada86d70d582,baseball,2025-26,2026,D3,Men,Southern Athletic Association,Millsaps,C,Catcher,Fr.,Fr,"Saint Cloud, Fla.",Saint Cloud,FL,domestic,Tohopekaliga,0,https://gomajors.com/sports/baseball/roster/2026
soc_1d3c7091569c,soccer,2025-26,2025,D1,Women,West Coast Conference,Portland,F,Forward,Fr.,Fr,"Kennewick, Wash.",Kennewick,WA,domestic,Kamiakin HS,0,https://portlandpilots.com/sports/womens-soccer/roster/2025
sw_d4e30f3cbd65,swimming,2025-26,2025-26,D2,Men,Great Midwest Athletic Conference,Findlay,,UNK,Fr.,Fr,"Dnipro, Ukraine",Dnipro,,international,Dnipro School,0,https://findlayoilers.com/sports/swimming-and-diving/roster/2025-26
bb_edbf43fbfe97,baseball,2025-26,2026,D3,Men,Middle Atlantic Conference Commonwealth,Stevenson,P,Pitcher,Jr.,Jr,"Phoenixville, Pa.",Phoenixville,PA,domestic,Phoenixville,0,https://gomustangsports.com/sports/baseball/roster/2026
fb_c1b35e48cd56,football,2025-26,2025,D3,Men,Old Dominion Athletic Conference,Averett,TE,TE,Jr.,Jr,"Bedford, Va.",Bedford,VA,domestic,Liberty High School,0,https://averettcougars.com/sports/football/roster/2025
tfi_fc68f38ea288,track_indoor,2025-26,2025-26,D2,Women,Rocky Mountain Athletic Conference,Regis,,UNK,So.,So,,,,unknown,,0,https://regisrangers.com/sports/womens-track-field/roster/2025-26
soc_916897463e26,soccer,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,West Chester,M/D,Multi,So.,So,"Perkasie, Pa.",Perkasie,PA,domestic,Pennridge,0,https://wcupagoldenrams.com/sports/womens-soccer/roster/2025
