school,sport,gender,division,conference,athletes,intl
A&M-Corpus Christi,baseball,Men,D1,Southland Conference,40,3
A&M-Corpus Christi,basketball,Men,D1,Southland Conference,17,2
A&M-Corpus Christi,basketball,Women,D1,Southland Conference,13,3
A&M-Corpus Christi,beach_volleyball,Women,D1,Southland Conference,20,6
A&M-Corpus Christi,cross_country,Men,D1,Southland Conference,13,7
A&M-Corpus Christi,cross_country,Women,D1,Southland Conference,13,7
A&M-Corpus Christi,golf,Women,D1,Southland Conference,8,4
A&M-Corpus Christi,soccer,Women,D1,Southland Conference,23,3
A&M-Corpus Christi,softball,Women,D1,Southland Conference,22,0
A&M-Corpus Christi,tennis,Men,D1,Southland Conference,10,10
A&M-Corpus Christi,tennis,Women,D1,Southland Conference,9,8
A&M-Corpus Christi,track_indoor,Men,D1,Southland Conference,34,7
A&M-Corpus Christi,track_indoor,Women,D1,Southland Conference,26,10
A&M-Corpus Christi,track_outdoor,Men,D1,Southland Conference,34,7
A&M-Corpus Christi,track_outdoor,Women,D1,Southland Conference,26,10
A&M-Corpus Christi,volleyball,Women,D1,Southland Conference,16,1
Abilene Christian,baseball,Men,D1,Western Athletic Conference,36,1
Abilene Christian,basketball,Men,D1,Western Athletic Conference,13,0
Abilene Christian,basketball,Women,D1,Western Athletic Conference,13,0
Abilene Christian,cross_country,Men,D1,Western Athletic Conference,11,0
Abilene Christian,cross_country,Women,D1,Western Athletic Conference,13,0
Abilene Christian,football,Men,D1,Western Athletic Conference,93,2
Abilene Christian,golf,Men,D1,Western Athletic Conference,7,2
Abilene Christian,golf,Women,D1,Western Athletic Conference,7,0
Abilene Christian,soccer,Women,D1,Western Athletic Conference,25,2
Abilene Christian,softball,Women,D1,Western Athletic Conference,22,1
Abilene Christian,tennis,Men,D1,Western Athletic Conference,8,7
Abilene Christian,tennis,Women,D1,Western Athletic Conference,7,7
Abilene Christian,track_indoor,Men,D1,Western Athletic Conference,26,1
Abilene Christian,track_indoor,Women,D1,Western Athletic Conference,39,2
Abilene Christian,track_outdoor,Men,D1,Western Athletic Conference,26,1
Abilene Christian,track_outdoor,Women,D1,Western Athletic Conference,39,2
Abilene Christian,volleyball,Women,D1,Western Athletic Conference,15,0
Adams State,baseball,Men,D2,Rocky Mountain Athletic Conference,33,9
Adams State,basketball,Men,D2,Rocky Mountain Athletic Conference,15,0
Adams State,basketball,Women,D2,Rocky Mountain Athletic Conference,11,1
Adams State,cross_country,Men,D2,Rocky Mountain Athletic Conference,25,5
Adams State,cross_country,Women,D2,Rocky Mountain Athletic Conference,20,7
Adams State,football,Men,D2,Rocky Mountain Athletic Conference,89,2
Adams State,golf,Women,D2,Rocky Mountain Athletic Conference,8,0
Adams State,lacrosse,Men,D2,Rocky Mountain Athletic Conference,28,0
Adams State,soccer,Men,D2,Rocky Mountain Athletic Conference,39,9
Adams State,soccer,Women,D2,Rocky Mountain Athletic Conference,28,1
Adams State,softball,Women,D2,Rocky Mountain Athletic Conference,22,1
Adams State,swimming,Men,D2,Rocky Mountain Athletic Conference,15,1
Adams State,swimming,Women,D2,Rocky Mountain Athletic Conference,11,1
Adams State,track_indoor,Men,D2,Rocky Mountain Athletic Conference,37,7
Adams State,track_indoor,Women,D2,Rocky Mountain Athletic Conference,24,7
Adams State,track_outdoor,Men,D2,Rocky Mountain Athletic Conference,37,7
Adams State,track_outdoor,Women,D2,Rocky Mountain Athletic Conference,24,7
Adams State,volleyball,Women,D2,Rocky Mountain Athletic Conference,18,1
Adams State,wrestling,Men,D2,Rocky Mountain Athletic Conference,35,2
Adams State,wrestling,Women,D2,Rocky Mountain Athletic Conference,23,0
Adelphi,baseball,Men,D2,Northeast-10 Conference,35,0
Adelphi,basketball,Men,D2,Northeast-10 Conference,12,0
Adelphi,basketball,Women,D2,Northeast-10 Conference,14,1
Adelphi,bowling,Women,D2,Northeast-10 Conference,11,0
Adelphi,cross_country,Men,D2,Northeast-10 Conference,10,0
Adelphi,cross_country,Women,D2,Northeast-10 Conference,16,0
Adelphi,field_hockey,Women,D2,Northeast-10 Conference,24,5
Adelphi,golf,Men,D2,Northeast-10 Conference,8,2
Adelphi,golf,Women,D2,Northeast-10 Conference,10,2
Adelphi,lacrosse,Men,D2,Northeast-10 Conference,51,3
Adelphi,lacrosse,Women,D2,Northeast-10 Conference,25,1
Adelphi,soccer,Men,D2,Northeast-10 Conference,32,18
Adelphi,soccer,Women,D2,Northeast-10 Conference,25,1
Adelphi,softball,Women,D2,Northeast-10 Conference,19,0
Adelphi,swimming,Men,D2,Northeast-10 Conference,18,3
Adelphi,swimming,Women,D2,Northeast-10 Conference,13,0
Adelphi,tennis,Men,D2,Northeast-10 Conference,8,8
Adelphi,tennis,Women,D2,Northeast-10 Conference,8,5
Adelphi,track_indoor,Men,D2,Northeast-10 Conference,29,0
Adelphi,track_indoor,Women,D2,Northeast-10 Conference,37,0
Adelphi,track_outdoor,Men,D2,Northeast-10 Conference,29,0
Adelphi,track_outdoor,Women,D2,Northeast-10 Conference,37,0
Adelphi,volleyball,Women,D2,Northeast-10 Conference,15,2
Adrian,baseball,Men,D3,Michigan Intercollegiate Athletic Association,50,0
Adrian,basketball,Men,D3,Michigan Intercollegiate Athletic Association,23,0
Adrian,basketball,Women,D3,Michigan Intercollegiate Athletic Association,22,0
Adrian,cross_country,Men,D3,Michigan Intercollegiate Athletic Association,16,0
Adrian,cross_country,Women,D3,Michigan Intercollegiate Athletic Association,11,0
Adrian,equestrian,Women,D3,Independent,11,0
Adrian,football,Men,D3,Michigan Intercollegiate Athletic Association,168,0
Adrian,golf,Men,D3,Michigan Intercollegiate Athletic Association,7,0
Adrian,golf,Women,D3,Michigan Intercollegiate Athletic Association,12,0
Adrian,ice_hockey,Men,D3,Michigan Intercollegiate Athletic Association,27,11
Adrian,ice_hockey,Women,D3,Michigan Intercollegiate Athletic Association,25,1
Adrian,lacrosse,Men,D3,Michigan Intercollegiate Athletic Association,33,0
Adrian,lacrosse,Women,D3,Michigan Intercollegiate Athletic Association,27,1
Adrian,rowing,Women,D3,Mid-Atlantic Rowing Conference,4,0
Adrian,rugby,Women,D3,Independent,9,0
Adrian,soccer,Men,D3,Michigan Intercollegiate Athletic Association,32,0
Adrian,soccer,Women,D3,Michigan Intercollegiate Athletic Association,27,1
Adrian,softball,Women,D3,Michigan Intercollegiate Athletic Association,24,0
Adrian,tennis,Men,D3,Michigan Intercollegiate Athletic Association,15,1
Adrian,tennis,Women,D3,Michigan Intercollegiate Athletic Association,10,0
Adrian,track_indoor,Men,D3,Michigan Intercollegiate Athletic Association,35,0
Adrian,track_indoor,Women,D3,Michigan Intercollegiate Athletic Association,28,0
Adrian,track_outdoor,Men,D3,Michigan Intercollegiate Athletic Association,35,0
Adrian,track_outdoor,Women,D3,Michigan Intercollegiate Athletic Association,28,0
Adrian,volleyball,Men,D3,Michigan Intercollegiate Athletic Association,19,2
Adrian,volleyball,Women,D3,Michigan Intercollegiate Athletic Association,29,1
Adrian,wrestling,Men,D3,Michigan Intercollegiate Athletic Association,38,0
Adrian,wrestling,Women,D3,Michigan Intercollegiate Athletic Association,24,0
Agnes Scott,basketball,Women,D3,Collegiate Conference of the South,10,0
Agnes Scott,cross_country,Women,D3,Collegiate Conference of the South,7,0
Agnes Scott,soccer,Women,D3,Collegiate Conference of the South,22,0
Agnes Scott,softball,Women,D3,Collegiate Conference of the South,13,1
Agnes Scott,tennis,Women,D3,Collegiate Conference of the South,7,0
Agnes Scott,track_outdoor,Women,D3,Collegiate Conference of the South,9,0
Agnes Scott,volleyball,Women,D3,Collegiate Conference of the South,10,0
Air Force,baseball,Men,D1,Mountain West Conference,44,0
Air Force,basketball,Men,D1,Mountain West Conference,16,0
Air Force,basketball,Women,D1,Mountain West Conference,13,0
Air Force,cross_country,Men,D1,Mountain West Conference,29,0
Air Force,cross_country,Women,D1,Mountain West Conference,15,0
Air Force,fencing,Men,D1,Mountain West Conference,24,1
Air Force,football,Men,D1,Mountain West Conference,124,0
Air Force,golf,Men,D1,Mountain West Conference,10,0
Air Force,gymnastics,Men,D1,Mountain West Conference,22,0
Air Force,gymnastics,Women,D1,Mountain West Conference,23,0
Air Force,ice_hockey,Men,D1,Mountain West Conference,23,0
Air Force,lacrosse,Men,D1,Mountain West Conference,49,0
Air Force,soccer,Men,D1,Mountain West Conference,20,0
Air Force,soccer,Women,D1,Mountain West Conference,32,0
Air Force,swimming,Men,D1,Mountain West Conference,31,0
Air Force,swimming,Women,D1,Mountain West Conference,44,1
Air Force,tennis,Men,D1,Mountain West Conference,5,0
Air Force,tennis,Women,D1,Mountain West Conference,8,0
