sport,athletes,men,women,d1,d2,d3,schools,teams,intl_pct,unknown_origin_pct,hs_listed_pct,height_pct,weight_pct,major_pct,prev_school_pct
acro_tumbling,1099,0,1099,383,565,151,41,41,5.6,0.1,93.0,55.4,0.0,33.2,10.2
baseball,38033,38033,0,11670,10699,15664,934,934,2.7,1.1,96.4,90.1,76.8,32.3,33.8
basketball,32614,17346,15268,10132,8993,13489,1081,2139,10.5,0.3,96.8,89.0,36.8,31.3,30.8
beach_volleyball,1678,0,1678,1151,352,175,96,96,12.6,0.0,93.7,81.3,0.0,27.2,31.6
bowling,804,0,804,338,315,151,89,89,7.8,1.9,84.2,39.1,0.0,34.0,15.0
cross_country,28178,14161,14017,10054,7353,10771,1020,1943,6.7,2.7,91.9,30.2,5.5,30.9,13.4
equestrian,1017,0,1017,679,61,277,33,33,2.8,2.3,72.2,26.3,0.0,36.2,14.6
fencing,1212,587,625,720,29,463,41,72,16.5,5.9,84.2,42.6,9.2,28.5,0.4
field_hockey,6300,0,6300,1968,789,3543,280,280,12.5,0.2,97.4,79.8,0.0,44.4,11.7
football,72512,72512,0,28806,18177,25529,660,660,1.5,0.5,94.4,90.3,89.3,25.7,23.7
golf,13447,8027,5420,4826,3563,5058,847,1463,20.2,3.1,89.0,38.8,8.7,28.7,19.3
gymnastics,2031,315,1716,1419,97,515,86,99,5.8,2.6,87.3,53.7,1.4,21.8,17.6
ice_hockey,7529,4478,3051,2710,330,4489,165,281,28.8,5.5,87.6,87.2,44.8,14.7,35.8
lacrosse,29221,15845,13376,8366,6285,14570,534,878,3.4,0.8,97.0,86.3,41.4,39.6,13.5
rowing,5763,0,5763,4375,207,1181,143,143,12.9,4.9,85.3,42.7,0.6,26.8,4.8
rugby,824,0,824,466,189,169,30,30,7.9,4.4,89.1,57.4,0.0,17.6,4.5
skiing,500,251,249,185,77,238,25,47,30.4,1.0,69.2,21.2,2.8,25.8,14.6
soccer,54537,26089,28448,15685,14663,24189,1022,1826,15.7,1.0,94.8,84.9,27.4,36.8,24.7
softball,20661,0,20661,6900,5807,7954,953,953,1.5,1.1,96.3,80.6,0.0,34.9,22.4
stunt,1046,0,1046,256,586,204,37,37,8.1,0.3,78.0,33.6,0.0,25.4,25.5
swimming,20808,9121,11687,8805,3383,8620,539,950,12.2,2.3,90.3,33.6,5.0,30.3,9.5
tennis,14019,6825,7194,4759,2968,6292,804,1425,40.1,3.2,82.4,51.1,8.5,32.6,17.2
track_indoor,60816,30803,30013,24545,14064,22207,881,1644,7.1,4.5,88.5,24.1,4.7,27.2,11.7
track_outdoor,64231,32946,31285,25340,15860,23031,943,1780,7.0,4.5,88.4,24.9,4.9,27.9,12.3
triathlon,321,0,321,137,97,87,36,36,33.0,1.9,72.9,38.3,0.0,29.6,7.5
volleyball,21394,3275,18119,6292,5623,9479,1037,1223,6.4,0.5,96.7,90.2,4.4,37.3,22.5
water_polo,2333,1125,1208,1445,311,577,69,111,19.7,0.1,93.2,71.6,23.0,40.3,17.6
wrestling,10727,8771,1956,2674,3217,4836,291,390,2.4,0.6,94.8,33.5,49.6,33.4,15.1
